Date,District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
2020-07-01,Bagalakote,20,208,6,123,80,0,5,0
2020-07-02,Bagalakote,10,218,0,123,90,0,5,0
2020-07-03,Bagalakote,8,226,0,123,98,0,5,0
2020-07-04,Bagalakote,0,226,0,123,98,0,5,0
2020-07-05,Bagalakote,4,230,14,137,88,0,5,0
2020-07-06,Bagalakote,33,263,0,137,120,1,6,0
2020-07-07,Bagalakote,26,289,4,141,141,1,7,0
2020-07-08,Bagalakote,24,313,9,150,156,0,7,0
2020-07-10,Bagalakote,6,355,0,150,198,0,7,0
2020-07-11,Bagalakote,37,392,0,150,233,2,9,0
2020-07-12,Bagalakote,7,399,28,178,210,2,11,0
2020-07-13,Bagalakote,37,436,31,209,214,2,13,0
2020-07-14,Bagalakote,78,514,0,209,288,4,17,0
2020-07-15,Bagalakote,34,548,0,209,319,3,20,0
2020-07-16,Bagalakote,39,587,7,216,346,5,25,0
2020-07-17,Bagalakote,29,616,0,216,374,1,26,0
2020-07-19,Bagalakote,60,689,21,264,394,2,31,0
2020-07-20,Bagalakote,54,743,0,264,445,3,34,0
2020-07-21,Bagalakote,65,808,54,318,456,0,34,0
2020-07-22,Bagalakote,70,878,0,318,524,2,36,0
2020-07-23,Bagalakote,106,984,0,318,630,0,36,0
2020-07-24,Bagalakote,184,1168,0,318,814,0,36,0
2020-07-25,Bagalakote,57,1225,159,477,712,0,36,0
2020-07-26,Bagalakote,41,1266,153,630,598,2,38,0
2020-07-27,Bagalakote,27,1293,13,643,610,2,40,0
2020-07-28,Bagalakote,115,1408,87,730,636,2,42,0
2020-07-29,Bagalakote,57,1465,21,751,670,2,44,0
2020-07-30,Bagalakote,126,1591,55,806,739,2,46,0
2020-07-31,Bagalakote,88,1679,0,806,826,1,47,0
2020-08-01,Bagalakote,134,1813,101,907,859,0,47,0
2020-08-02,Bagalakote,131,1944,60,967,928,2,49,0
2020-08-03,Bagalakote,209,2153,64,1031,1073,0,49,0
2020-08-04,Bagalakote,144,2297,28,1059,1188,1,50,0
2020-08-05,Bagalakote,149,2446,42,1101,1295,0,50,0
2020-08-06,Bagalakote,168,2614,33,1134,1429,1,51,0
2020-08-07,Bagalakote,148,2762,84,1218,1493,0,51,0
2020-08-08,Bagalakote,149,2911,376,1594,1266,0,51,0
2020-08-09,Bagalakote,149,3060,48,1642,1367,0,51,0
2020-08-10,Bagalakote,147,3207,333,1975,1180,1,52,0
2020-08-11,Bagalakote,135,3342,158,2133,1156,1,53,0
2020-08-12,Bagalakote,170,3512,212,2345,1114,0,53,0
2020-08-13,Bagalakote,143,3655,162,2507,1094,1,54,0
2020-08-14,Bagalakote,171,3826,296,2803,969,0,54,0
2020-08-15,Bagalakote,168,3994,138,2941,999,0,54,0
2020-08-16,Bagalakote,156,4150,44,2985,1111,0,54,0
2020-08-17,Bagalakote,164,4314,101,3086,1173,1,55,0
2020-08-18,Bagalakote,171,4485,264,3350,1079,1,56,0
2020-08-19,Bagalakote,163,4648,301,3651,941,0,56,0
2020-08-20,Bagalakote,159,4807,297,3948,803,0,56,0
2020-08-21,Bagalakote,115,4922,81,4029,837,0,56,0
2020-08-22,Bagalakote,138,5060,122,4151,852,1,57,0
2020-08-23,Bagalakote,139,5199,140,4291,850,1,58,0
2020-08-24,Bagalakote,53,5252,130,4421,770,3,61,0
2020-08-25,Bagalakote,83,5335,77,4498,776,0,61,0
2020-08-26,Bagalakote,154,5489,95,4593,830,5,66,0
2020-08-27,Bagalakote,121,5610,119,4712,829,3,69,0
2020-08-28,Bagalakote,148,5758,141,4853,833,3,72,0
2020-08-29,Bagalakote,152,5910,138,4991,846,1,73,0
2020-08-30,Bagalakote,132,6042,184,5175,794,0,73,0
2020-08-31,Bagalakote,172,6214,209,5384,756,1,74,0
2020-09-01,Bagalakote,136,6350,81,5465,809,2,76,0
2020-09-02,Bagalakote,166,6516,87,5552,888,0,76,0
2020-09-03,Bagalakote,123,6639,79,5631,931,1,77,0
2020-09-04,Bagalakote,98,6737,99,5730,929,1,78,0
2020-09-06,Bagalakote,180,7061,143,5937,1044,0,80,0
2020-09-07,Bagalakote,126,7187,126,6062,1044,1,81,0
2020-09-08,Bagalakote,212,7399,165,6227,1091,0,81,0
2020-09-09,Bagalakote,219,7618,169,6396,1139,2,83,0
2020-09-10,Bagalakote,77,7695,108,6504,1107,1,84,0
2020-09-11,Bagalakote,188,7883,129,6633,1165,1,85,0
2020-09-12,Bagalakote,175,8058,117,6750,1223,0,85,0
2020-09-13,Bagalakote,165,8223,52,6802,1336,0,85,0
2020-09-14,Bagalakote,166,8389,146,6948,1353,3,88,0
2020-09-15,Bagalakote,0,8389,0,6948,1353,0,88,0
2020-09-16,Bagalakote,158,8547,0,6948,1510,0,89,0
2020-09-17,Bagalakote,234,8781,671,7619,1069,4,93,0
2020-09-18,Bagalakote,206,8987,112,7731,1160,3,96,0
2020-09-19,Bagalakote,152,9139,54,7785,1257,1,97,0
2020-09-20,Bagalakote,90,9229,106,7891,1240,1,98,0
2020-09-21,Bagalakote,123,9352,154,8045,1207,2,100,0
2020-09-22,Bagalakote,77,9429,315,8360,967,2,102,0
2020-09-23,Bagalakote,50,9479,48,8408,969,0,102,0
2020-09-24,Bagalakote,60,9539,43,8451,986,0,102,0
2020-09-25,Bagalakote,135,9674,48,8499,1072,1,103,0
2020-09-26,Bagalakote,147,9821,42,8541,1176,1,104,0
2020-09-27,Bagalakote,46,9867,117,8658,1104,1,105,0
2020-09-28,Bagalakote,191,10058,71,8729,1224,0,105,0
2020-09-29,Bagalakote,128,10186,88,8817,1264,0,105,0
2020-09-30,Bagalakote,51,10237,468,9285,846,1,106,0
2020-10-01,Bagalakote,336,10573,69,9354,1112,1,107,0
2020-10-02,Bagalakote,68,10641,71,9425,1107,2,109,0
2020-10-03,Bagalakote,88,10729,207,9632,988,0,109,0
2020-10-04,Bagalakote,97,10826,145,9777,939,1,110,0
2020-10-05,Bagalakote,159,10985,148,9925,950,0,110,0
2020-10-06,Bagalakote,84,11069,92,10017,942,0,110,0
2020-10-07,Bagalakote,121,11190,150,10167,910,3,113,0
2020-10-08,Bagalakote,98,11288,334,10501,671,3,116,0
2020-10-09,Bagalakote,76,11364,108,10609,639,0,116,0
2020-10-10,Bagalakote,124,11488,145,10754,617,1,117,0
2020-10-11,Bagalakote,129,11617,79,10833,667,0,117,0
2020-10-12,Bagalakote,161,11778,69,10902,757,2,119,0
2020-10-13,Bagalakote,88,11866,92,10994,752,1,120,0
2020-10-14,Bagalakote,158,12024,95,11089,813,2,122,0
2020-10-15,Bagalakote,133,12157,48,11137,897,1,123,0
2020-10-16,Bagalakote,76,12233,111,11248,861,1,124,0
2020-10-17,Bagalakote,152,12385,143,11391,869,1,125,0
2020-10-18,Bagalakote,138,12523,79,11470,927,1,126,0
2020-10-19,Bagalakote,94,12617,65,11535,955,1,127,0
2020-10-20,Bagalakote,27,12644,37,11572,944,1,128,0
2020-10-21,Bagalakote,114,12758,185,11757,873,0,128,0
2020-10-22,Bagalakote,59,12817,258,12015,673,1,129,0
2020-10-24,Bagalakote,57,12891,150,12340,420,1,131,0
2020-10-25,Bagalakote,41,12932,112,12452,349,0,131,0
2020-10-26,Bagalakote,51,12983,72,12524,328,0,131,0
2020-10-27,Bagalakote,34,13017,77,12601,285,0,131,0
2020-10-28,Bagalakote,26,13043,46,12647,265,0,131,0
2020-10-29,Bagalakote,19,13062,49,12696,235,0,131,0
2020-10-30,Bagalakote,20,13082,50,12746,205,0,131,0
2020-10-31,Bagalakote,24,13106,54,12800,175,0,131,0
2020-12-01,Bagalakote,11,13516,9,13265,115,0,136,0
2020-12-02,Bagalakote,12,13528,27,13292,100,0,136,0
2020-12-03,Bagalakote,7,13535,10,13302,97,0,136,0
2020-12-04,Bagalakote,3,13538,23,13325,77,0,136,0
2020-12-05,Bagalakote,12,13550,7,13332,82,0,136,0
2020-12-06,Bagalakote,5,13555,8,13340,79,0,136,0
2020-12-07,Bagalakote,13,13568,8,13348,84,0,136,0
2020-12-08,Bagalakote,4,13572,7,13355,81,0,136,0
2020-12-09,Bagalakote,9,13581,14,13369,76,0,136,0
