Date,District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
2020-07-01,Ballari,85,919,0,405,485,0,29,0
2020-07-02,Ballari,65,984,62,467,484,4,33,0
2020-07-03,Ballari,97,1081,28,495,552,1,34,0
2020-07-04,Ballari,73,1154,20,515,605,0,34,0
2020-07-05,Ballari,90,1244,37,552,657,1,35,0
2020-07-06,Ballari,99,1343,18,570,737,1,36,0
2020-07-07,Ballari,45,1388,27,597,755,0,36,0
2020-07-08,Ballari,59,1447,30,627,780,4,40,0
2020-07-10,Ballari,66,1554,77,742,771,1,41,0
2020-07-11,Ballari,65,1619,230,972,605,1,42,0
2020-07-12,Ballari,63,1682,20,992,648,0,42,0
2020-07-13,Ballari,106,1788,32,1024,722,0,42,0
2020-07-14,Ballari,99,1887,17,1041,799,5,47,0
2020-07-15,Ballari,136,2023,61,1102,874,0,47,0
2020-07-16,Ballari,44,2067,45,1147,869,4,51,0
2020-07-17,Ballari,133,2200,34,1181,965,3,54,0
2020-07-19,Ballari,73,2428,85,1288,1080,3,60,0
2020-07-20,Ballari,234,2662,36,1324,1276,2,62,0
2020-07-21,Ballari,193,2855,8,1332,1461,0,62,0
2020-07-22,Ballari,134,2989,39,1371,1556,0,62,0
2020-07-23,Ballari,164,3153,36,1407,1679,5,67,0
2020-07-24,Ballari,136,3289,53,1460,1760,2,69,0
2020-07-25,Ballari,222,3511,80,1540,1902,0,69,0
2020-07-26,Ballari,579,4090,17,1557,2464,0,69,0
2020-07-27,Ballari,840,4930,43,1600,3258,3,72,0
2020-07-28,Ballari,452,5382,529,2129,3181,0,72,0
2020-07-29,Ballari,338,5720,100,2229,3417,2,74,0
2020-07-30,Ballari,343,6063,337,2566,3423,0,74,0
2020-07-31,Ballari,340,6403,148,2710,3619,0,74,0
2020-08-01,Ballari,269,6672,408,3118,3479,1,75,0
2020-08-02,Ballari,377,7049,105,3223,3749,2,77,0
2020-08-03,Ballari,305,7354,18,3241,4034,2,79,0
2020-08-04,Ballari,284,7638,483,3724,3830,5,84,0
2020-08-05,Ballari,631,8269,152,3876,4309,0,84,0
2020-08-06,Ballari,431,8700,423,4299,4313,4,88,0
2020-08-07,Ballari,684,9384,627,4926,4365,5,93,0
2020-08-08,Ballari,607,9991,180,5106,4783,9,102,0
2020-08-09,Ballari,380,10371,148,5254,5006,9,111,0
2020-08-10,Ballari,253,10624,193,5447,5059,7,118,0
2020-08-11,Ballari,736,11360,404,5851,5387,4,122,0
2020-08-12,Ballari,635,11995,380,6231,5634,9,130,0
2020-08-13,Ballari,445,12440,440,6671,5630,9,139,0
2020-08-14,Ballari,608,13048,277,6948,5952,9,148,0
2020-08-15,Ballari,759,13807,556,7504,6149,6,154,0
2020-08-16,Ballari,381,14188,704,8208,5817,9,163,0
2020-08-17,Ballari,319,14507,346,8554,5784,6,169,0
2020-08-18,Ballari,673,15180,500,9054,5948,9,178,0
2020-08-19,Ballari,537,15717,629,9683,5847,9,187,0
2020-08-20,Ballari,483,16200,389,10072,5933,8,195,0
2020-08-21,Ballari,540,16740,404,10476,6060,9,204,0
2020-08-22,Ballari,533,17273,522,10998,6064,7,211,0
2020-08-23,Ballari,406,17679,304,11302,6159,7,218,0
2020-08-24,Ballari,306,17985,442,11744,6017,6,224,0
2020-08-25,Ballari,551,18536,1004,12748,5558,6,230,0
2020-08-26,Ballari,510,19046,516,13264,5545,7,237,0
2020-08-27,Ballari,550,19596,460,13724,5629,6,243,0
2020-08-28,Ballari,484,20080,623,14347,5485,5,248,0
2020-08-29,Ballari,468,20548,773,15120,5176,4,252,0
2020-08-30,Ballari,428,20976,274,15394,5327,3,255,0
2020-08-31,Ballari,365,21341,580,15974,5107,5,260,0
2020-09-01,Ballari,393,21734,351,16325,5145,4,264,0
2020-09-02,Ballari,433,22167,470,16795,5103,5,269,0
2020-09-03,Ballari,424,22591,436,17231,5087,4,273,0
2020-09-04,Ballari,447,23038,409,17640,5117,8,281,0
2020-09-06,Ballari,396,23800,643,18860,4646,8,294,0
2020-09-07,Ballari,266,24066,652,19500,4265,7,301,0
2020-09-08,Ballari,404,24470,210,19710,4453,6,307,0
2020-09-09,Ballari,559,25029,491,20201,4513,8,315,0
2020-09-10,Ballari,375,25404,415,20616,4466,7,322,0
2020-09-11,Ballari,382,25786,359,20975,4481,8,330,0
2020-09-12,Ballari,366,26152,347,21322,4492,8,338,0
2020-09-13,Ballari,661,26813,406,21728,4739,8,346,0
2020-09-14,Ballari,264,27077,274,22002,4722,7,353,0
2020-09-15,Ballari,54,27131,0,22002,4776,0,353,0
2020-09-16,Ballari,381,27512,0,22002,5157,0,353,0
2020-09-17,Ballari,677,28189,953,22955,4874,7,360,0
2020-09-18,Ballari,296,28485,362,23317,4783,25,385,0
2020-09-19,Ballari,300,28785,215,23532,4861,7,392,0
2020-09-20,Ballari,298,29083,175,23707,4976,8,400,0
2020-09-21,Ballari,196,29279,954,24661,4209,9,409,0
2020-09-22,Ballari,181,29460,450,25111,3931,9,418,0
2020-09-23,Ballari,192,29652,0,25111,4123,0,418,0
2020-09-24,Ballari,21,29673,80,25191,4054,10,428,0
2020-09-25,Ballari,498,30171,208,25399,4336,8,436,0
2020-09-26,Ballari,462,30633,526,25925,4265,7,443,0
2020-09-27,Ballari,310,30943,635,26560,3931,9,452,0
2020-09-28,Ballari,164,31107,1489,28049,2600,6,458,0
2020-09-29,Ballari,313,31420,295,28344,2616,2,460,0
2020-09-30,Ballari,109,31529,489,28833,2234,2,462,0
2020-10-01,Ballari,486,32015,78,28911,2640,2,464,0
2020-10-02,Ballari,262,32277,57,28968,2843,2,466,0
2020-10-03,Ballari,253,32530,240,29208,2852,4,470,0
2020-10-04,Ballari,304,32834,235,29443,2918,3,473,0
2020-10-05,Ballari,170,33004,233,29676,2850,5,478,0
2020-10-06,Ballari,253,33257,354,30030,2745,4,482,0
2020-10-07,Ballari,258,33515,123,30153,2880,0,482,0
2020-10-08,Ballari,248,33763,275,30428,2850,3,485,0
2020-10-09,Ballari,217,33980,357,30785,2708,2,487,0
2020-10-10,Ballari,225,34205,272,31057,2658,3,490,0
2020-10-11,Ballari,226,34431,376,31433,2506,2,492,0
2020-10-12,Ballari,142,34573,179,31612,2467,2,494,0
2020-10-13,Ballari,38,34611,248,31860,2254,3,497,0
2020-10-14,Ballari,275,34886,181,32041,2345,3,500,0
2020-10-15,Ballari,282,35168,231,32272,2393,3,503,0
2020-10-16,Ballari,174,35342,283,32555,2282,2,505,0
2020-10-17,Ballari,189,35531,399,32954,2070,2,507,0
2020-10-18,Ballari,171,35702,207,33161,2032,2,509,0
2020-10-19,Ballari,186,35888,281,33442,1934,3,512,0
2020-10-20,Ballari,188,36076,164,33606,1957,1,513,0
2020-10-21,Ballari,145,36221,210,33816,1890,2,515,0
2020-10-22,Ballari,218,36439,178,33994,1928,2,517,0
2020-10-24,Ballari,129,36683,201,34376,1786,2,521,0
2020-10-25,Ballari,132,36815,175,34551,1741,2,523,0
2020-10-26,Ballari,47,36862,168,34719,1618,2,525,0
2020-10-27,Ballari,64,36926,168,34887,1511,3,528,0
2020-10-28,Ballari,69,36995,186,35073,1391,3,531,0
2020-10-29,Ballari,74,37069,175,35248,1290,0,531,0
2020-10-30,Ballari,82,37151,196,35444,1172,4,535,0
2020-10-31,Ballari,70,37221,166,35610,1074,2,537,0
2020-12-01,Ballari,7,38249,24,37461,205,1,583,0
2020-12-02,Ballari,20,38269,32,37493,193,0,583,0
2020-12-03,Ballari,22,38291,20,37513,195,0,583,0
2020-12-04,Ballari,13,38304,26,37539,182,0,583,0
2020-12-05,Ballari,23,38327,16,37555,188,1,584,0
2020-12-06,Ballari,28,38355,23,37578,193,0,584,0
2020-12-07,Ballari,15,38370,27,37605,180,1,585,0
2020-12-08,Ballari,22,38392,15,37620,186,1,586,0
2020-12-09,Ballari,15,38407,12,37632,189,0,586,0
2020-12-10,Ballari,27,38434,9,37641,206,1,587,0
2020-12-11,Ballari,20,38454,15,37656,211,0,587,0
2020-12-12,Ballari,23,38477,19,37675,214,1,588,0
2020-12-13,Ballari,36,38513,14,37689,236,0,588,0
2020-12-14,Ballari,17,38530,20,37709,232,1,589,0
2020-12-15,Ballari,17,38547,27,37736,222,0,589,0
2020-12-16,Ballari,17,38564,25,37761,213,1,590,0
2020-12-17,Ballari,21,38585,14,37775,220,0,590,0
2020-12-18,Ballari,24,38609,18,37793,225,1,591,0
2020-12-19,Ballari,24,38633,20,37813,228,1,592,0
2020-12-20,Ballari,19,38652,16,37829,231,0,592,0
2020-12-21,Ballari,36,38688,25,37854,241,1,593,0
2020-12-22,Ballari,41,38729,28,37882,253,1,594,0
2020-12-23,Ballari,20,38749,23,37905,249,1,595,0
2020-12-24,Ballari,28,38777,18,37923,259,0,595,0
2020-12-25,Ballari,13,38790,17,37940,255,0,595,0
2020-12-26,Ballari,7,38797,23,37963,238,1,596,0
2020-12-27,Ballari,11,38808,19,37982,230,0,596,0
2020-12-28,Ballari,13,38821,29,38011,213,1,597,0
2020-12-29,Ballari,14,38835,20,38031,207,0,597,0
2020-12-30,Ballari,13,38848,17,38048,203,0,597,0
2020-12-31,Ballari,8,38856,26,38074,185,0,597,0
2021-01-01,Ballari,4,38860,41,38115,148,0,597,0
2021-01-02,Ballari,22,38882,23,38138,147,0,597,0
2021-01-03,Ballari,9,38891,29,38167,127,0,597,0
2021-01-04,Ballari,15,38906,18,38185,124,0,597,0
2021-01-05,Ballari,14,38920,9,38194,129,0,597,0
2021-01-06,Ballari,10,38930,11,38205,128,0,597,0
2021-01-07,Ballari,19,38949,15,38220,132,0,597,0
2021-01-08,Ballari,21,38970,9,38229,144,0,597,0
2021-01-09,Ballari,9,38979,10,38239,143,0,597,0
2021-01-10,Ballari,18,38997,12,38251,149,0,597,0
2021-01-11,Ballari,2,38999,15,38266,136,0,597,0
2021-01-12,Ballari,14,39013,16,38282,134,0,597,0
2021-01-13,Ballari,17,39030,12,38294,139,0,597,0
2021-01-14,Ballari,12,39042,14,38308,137,0,597,0
2021-01-15,Ballari,12,39054,12,38320,137,0,597,0
2021-01-16,Ballari,8,39062,18,38338,127,0,597,0
2021-01-17,Ballari,10,39072,13,38351,124,0,597,0
2021-01-18,Ballari,7,39079,14,38365,117,0,597,0
2021-01-19,Ballari,2,39081,17,38382,102,0,597,0
2021-01-20,Ballari,9,39090,14,38396,97,0,597,0
2021-01-21,Ballari,7,39097,8,38404,96,0,597,0
2021-01-22,Ballari,7,39104,9,38413,94,0,597,0
2021-01-23,Ballari,11,39115,17,38430,88,0,597,0
2021-01-24,Ballari,6,39121,13,38443,81,0,597,0
2021-01-25,Ballari,1,39122,13,38456,69,0,597,0
2021-01-26,Ballari,3,39125,8,38464,64,0,597,0
2021-01-27,Ballari,4,39129,10,38474,58,0,597,0
2021-01-28,Ballari,2,39131,7,38481,53,0,597,0
2021-01-29,Ballari,3,39134,10,38491,46,0,597,0
2021-01-30,Ballari,4,39138,8,38499,42,0,597,0
2021-01-31,Ballari,5,39143,6,38505,41,0,597,0
2021-02-01,Ballari,4,39147,5,38510,40,0,597,0
2021-02-02,Ballari,11,39158,8,38518,43,0,597,0
2021-02-03,Ballari,5,39163,5,38523,43,0,597,0
2021-02-04,Ballari,6,39169,5,38528,44,0,597,0
2021-02-05,Ballari,3,39172,4,38532,43,0,597,0
2021-02-06,Ballari,2,39174,3,38535,42,0,597,0
2021-02-07,Ballari,1,39175,2,38537,41,0,597,0
2021-02-08,Ballari,3,39178,4,38541,40,0,597,0
2021-02-09,Ballari,5,39183,5,38546,40,0,597,0
2021-02-10,Ballari,1,39184,5,38551,36,0,597,0
2021-02-11,Ballari,4,39188,6,38557,34,0,597,0
2021-02-12,Ballari,3,39191,5,38562,32,0,597,0
2021-02-13,Ballari,1,39192,6,38568,27,0,597,0
2021-02-14,Ballari,1,39193,3,38571,25,0,597,0
2021-02-15,Ballari,5,39198,2,38573,28,0,597,0
2021-02-16,Ballari,0,39198,3,38576,25,0,597,0
2021-02-17,Ballari,2,39200,3,38579,24,0,597,0
2021-02-18,Ballari,0,39200,4,38583,20,0,597,0
2021-02-19,Ballari,6,39206,4,38587,22,0,597,0
2021-02-20,Ballari,6,39212,3,38590,25,0,597,0
2021-02-21,Ballari,5,39217,2,38592,28,0,597,0
2021-02-22,Ballari,4,39221,2,38594,30,0,597,0
2021-02-23,Ballari,5,39226,2,38596,33,0,597,0
2021-02-24,Ballari,8,39234,4,38600,37,0,597,0
2021-02-25,Ballari,9,39243,1,38601,45,0,597,0
2021-02-26,Ballari,10,39253,1,38602,54,0,597,0
2021-02-27,Ballari,10,39263,1,38603,63,0,597,0
2021-02-28,Ballari,8,39271,4,38607,67,0,597,0
2021-03-01,Ballari,8,39279,4,38611,71,0,597,0
2021-03-02,Ballari,5,39284,5,38616,71,0,597,0
2021-03-03,Ballari,4,39288,4,38620,71,0,597,0
2021-03-04,Ballari,8,39296,4,38624,75,0,597,0
2021-03-05,Ballari,7,39303,3,38627,79,0,597,0
2021-03-06,Ballari,8,39311,8,38635,79,0,597,0
2021-03-07,Ballari,2,39313,10,38645,71,0,597,0
2021-03-08,Ballari,4,39317,11,38656,64,0,597,0
2021-03-09,Ballari,26,39343,9,38665,81,0,597,0
2021-03-10,Ballari,6,39349,6,38671,81,0,597,0
2021-03-11,Ballari,20,39369,8,38679,93,0,597,0
2021-03-12,Ballari,17,39386,7,38686,103,0,597,0
2021-03-13,Ballari,4,39390,4,38690,103,0,597,0
2021-03-14,Ballari,9,39399,8,38698,104,0,597,0
2021-03-15,Ballari,18,39417,8,38706,114,0,597,0
2021-03-16,Ballari,9,39426,7,38713,116,0,597,0
2021-03-17,Ballari,5,39431,3,38716,118,0,597,0
2021-03-18,Ballari,8,39439,3,38719,123,0,597,0
2021-03-19,Ballari,8,39447,26,38745,105,0,597,0
2021-03-20,Ballari,26,39473,6,38751,125,0,597,0
2021-03-21,Ballari,11,39484,7,38758,129,0,597,0
2021-03-22,Ballari,9,39493,30,38788,108,0,597,0
2021-03-23,Ballari,39,39532,4,38792,143,0,597,0
2021-03-24,Ballari,34,39566,13,38805,164,0,597,0
2021-03-25,Ballari,15,39581,19,38824,159,1,598,0
2021-03-26,Ballari,27,39608,6,38830,179,0,598,0
2021-03-27,Ballari,21,39629,3,38833,198,0,598,0
2021-03-28,Ballari,53,39682,9,38842,242,0,598,0
2021-03-29,Ballari,33,39715,8,38850,267,0,598,0
2021-03-30,Ballari,48,39763,26,38876,289,0,598,0
2021-03-31,Ballari,68,39831,11,38887,346,0,598,0
2021-04-01,Ballari,25,39856,10,38897,361,0,598,0
2021-04-02,Ballari,34,39890,38,38935,357,0,598,0
2021-04-03,Ballari,23,39913,34,38969,346,0,598,0
2021-04-04,Ballari,93,40006,14,38983,425,0,598,0
2021-04-05,Ballari,40,40046,27,39010,437,1,599,0
2021-04-06,Ballari,87,40133,22,39032,501,1,600,0
2021-04-07,Ballari,49,40182,60,39092,489,1,601,0
2021-04-08,Ballari,126,40308,27,39119,588,0,601,0
2021-04-09,Ballari,87,40395,49,39168,625,1,602,0
2021-04-10,Ballari,62,40457,67,39235,619,1,603,0
2021-04-11,Ballari,103,40560,21,39256,701,0,603,0
2021-04-12,Ballari,132,40692,35,39291,797,1,604,0
2021-04-13,Ballari,168,40860,25,39316,940,0,604,0
2021-04-14,Ballari,159,41019,94,39410,1004,1,605,0
2021-04-15,Ballari,200,41219,38,39448,1160,6,611,0
2021-04-16,Ballari,279,41498,78,39526,1360,1,612,0
2021-04-17,Ballari,355,41853,41,39567,1672,2,614,0
2021-04-18,Ballari,238,42091,101,39668,1807,2,616,0
2021-04-19,Ballari,248,42339,84,39752,1970,1,617,0
2021-04-20,Ballari,406,42745,77,39829,2294,5,622,0
2021-04-21,Ballari,792,43537,59,39888,3023,4,626,0
2021-04-22,Ballari,940,44477,86,39974,3872,5,631,0
2021-04-23,Ballari,695,45172,39,40013,4522,6,637,0
2021-04-24,Ballari,731,45903,203,40216,5047,3,640,0
2021-04-25,Ballari,732,46635,227,40443,5536,16,656,0
2021-04-26,Ballari,786,47421,332,40775,5972,18,674,0
2021-04-27,Ballari,907,48328,272,41047,6589,18,692,0
2021-04-28,Ballari,1106,49434,316,41363,7371,8,700,0
2021-04-29,Ballari,896,50330,305,41668,7946,16,716,0
2021-04-30,Ballari,1282,51612,312,41980,8905,11,727,0
2021-05-01,Ballari,1163,52775,529,42509,9531,8,735,0
2021-05-02,Ballari,1156,53931,365,42874,10304,18,753,0
2021-05-03,Ballari,990,54921,515,43389,10766,13,766,0
2021-05-04,Ballari,1280,56201,557,43946,11462,27,793,0
2021-05-05,Ballari,927,57128,739,44685,11631,19,812,0
2021-05-06,Ballari,922,58050,662,45347,11865,26,838,0
2021-05-07,Ballari,1284,59334,665,46012,12460,24,862,0
2021-05-08,Ballari,940,60274,629,46641,12746,25,887,0
2021-05-09,Ballari,2141,62415,507,47148,14359,21,908,0
2021-05-10,Ballari,973,63388,459,47607,14847,26,934,0
2021-05-11,Ballari,1558,64946,744,48351,15633,28,962,0
2021-05-12,Ballari,1823,66769,688,49039,16751,17,979,0
2021-05-13,Ballari,1865,68634,629,49668,17973,14,993,0
2021-05-14,Ballari,2421,71055,858,50526,19510,26,1019,0
2021-05-15,Ballari,1622,72677,3586,54112,17518,28,1047,0
2021-05-16,Ballari,1729,74406,879,54991,18342,26,1073,0
2021-05-17,Ballari,2322,76728,1274,56265,19373,17,1090,0
2021-05-18,Ballari,1799,78527,854,57119,20290,28,1118,0
2021-05-19,Ballari,1297,79824,1535,58654,20029,23,1141,0
2021-05-20,Ballari,1109,80933,3618,62272,17498,22,1163,0
2021-05-21,Ballari,1650,82583,3117,65389,16008,23,1186,0
2021-05-22,Ballari,2157,84740,1294,66683,16852,19,1205,0
2021-05-23,Ballari,1190,85930,1994,68677,16030,18,1223,0
2021-05-24,Ballari,807,86737,1463,70140,15355,19,1242,0
2021-05-25,Ballari,718,87455,2041,72181,14012,20,1262,0
2021-05-26,Ballari,796,88251,1127,73308,13659,22,1284,0
2021-05-27,Ballari,725,88976,1547,74855,12815,22,1306,0
2021-05-28,Ballari,782,89758,1392,76247,12188,17,1323,0
2021-05-29,Ballari,671,90429,1803,78050,11042,14,1337,0
2021-05-30,Ballari,598,91027,1158,79208,10469,13,1350,0
2021-05-31,Ballari,437,91464,1877,81085,9021,8,1358,0
2021-06-01,Ballari,399,91863,1168,82253,8238,14,1372,0
2021-06-02,Ballari,525,92388,751,83004,8004,8,1380,0
2021-06-03,Ballari,503,92891,1385,84389,7115,7,1387,0
2021-06-04,Ballari,423,93314,1052,85441,6478,8,1395,0
2021-06-05,Ballari,345,93659,768,86209,6046,9,1404,0
2021-06-06,Ballari,285,93944,850,87059,5475,6,1410,0
