Date,District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
2020-07-01,Belagavi,8,336,0,303,30,0,3,0
2020-07-02,Belagavi,7,343,0,303,36,1,4,0
2020-07-03,Belagavi,13,356,0,303,49,0,4,0
2020-07-04,Belagavi,27,383,10,313,66,0,4,0
2020-07-05,Belagavi,11,394,0,313,75,2,6,0
2020-07-06,Belagavi,0,394,0,313,75,0,6,0
2020-07-07,Belagavi,20,414,0,313,94,1,7,0
2020-07-08,Belagavi,27,441,29,342,92,0,7,0
2020-07-10,Belagavi,15,465,0,342,116,0,7,0
2020-07-11,Belagavi,3,468,20,362,97,2,9,0
2020-07-12,Belagavi,2,470,0,362,96,3,12,0
2020-07-13,Belagavi,27,497,0,362,121,2,14,0
2020-07-14,Belagavi,64,561,0,362,185,0,14,0
2020-07-15,Belagavi,41,602,0,362,226,0,14,0
2020-07-16,Belagavi,92,694,15,377,300,3,17,0
2020-07-17,Belagavi,95,789,0,377,391,4,21,0
2020-07-19,Belagavi,87,1013,0,404,583,2,26,0
2020-07-20,Belagavi,60,1073,0,404,643,0,26,0
2020-07-21,Belagavi,23,1096,22,426,640,4,30,0
2020-07-22,Belagavi,219,1315,0,426,859,0,30,0
2020-07-23,Belagavi,214,1529,0,426,1069,4,34,0
2020-07-24,Belagavi,116,1645,0,426,1184,1,35,0
2020-07-25,Belagavi,341,1986,43,469,1477,5,40,0
2020-07-26,Belagavi,163,2149,173,642,1461,6,46,0
2020-07-27,Belagavi,155,2304,38,680,1572,6,52,0
2020-07-28,Belagavi,228,2532,34,714,1760,6,58,0
2020-07-29,Belagavi,279,2811,67,781,1969,3,61,0
2020-07-30,Belagavi,202,3013,50,831,2117,4,65,0
2020-07-31,Belagavi,217,3230,88,918,2242,5,70,0
2020-08-01,Belagavi,219,3449,51,969,2406,4,74,0
2020-08-02,Belagavi,172,3621,56,1025,2521,1,75,0
2020-08-03,Belagavi,60,3681,29,1054,2542,10,85,0
2020-08-04,Belagavi,263,3944,28,1082,2776,1,86,0
2020-08-05,Belagavi,293,4237,52,1134,3013,4,90,0
2020-08-06,Belagavi,229,4466,44,1178,3197,1,91,0
2020-08-07,Belagavi,390,4856,52,1230,3533,2,93,0
2020-08-08,Belagavi,302,5158,378,1608,3456,1,94,0
2020-08-09,Belagavi,235,5393,455,2063,3236,0,94,0
2020-08-10,Belagavi,54,5447,90,2153,3197,3,97,0
2020-08-11,Belagavi,575,6022,444,2597,3324,4,101,0
2020-08-12,Belagavi,314,6336,148,2745,3484,6,107,0
2020-08-13,Belagavi,288,6624,140,2885,3626,6,113,0
2020-08-14,Belagavi,334,6958,178,3063,3777,5,118,0
2020-08-15,Belagavi,358,7316,404,3467,3731,5,118,0
2020-08-16,Belagavi,478,7794,410,3877,3796,3,121,0
2020-08-17,Belagavi,171,7965,279,4156,3679,9,130,0
2020-08-18,Belagavi,395,8360,459,4615,3608,7,137,0
2020-08-19,Belagavi,379,8739,267,4882,3717,3,140,0
2020-08-20,Belagavi,358,9097,89,4971,3982,4,144,0
2020-08-21,Belagavi,384,9481,192,5163,4167,7,151,0
2020-08-22,Belagavi,312,9793,511,5674,3965,3,154,0
2020-08-23,Belagavi,136,9929,134,5808,3965,2,156,0
2020-08-24,Belagavi,319,10248,150,5958,4129,5,161,0
2020-08-25,Belagavi,298,10546,181,6139,4244,2,163,0
2020-08-26,Belagavi,289,10835,170,6309,4358,5,168,0
2020-08-27,Belagavi,318,11153,236,6545,4435,5,173,0
2020-08-28,Belagavi,290,11443,789,7334,3932,4,177,0
2020-08-29,Belagavi,276,11719,536,7870,3669,3,180,0
2020-08-30,Belagavi,357,12076,715,8585,3307,4,184,0
2020-08-31,Belagavi,154,12230,331,8916,3125,5,189,0
2020-09-01,Belagavi,316,12546,95,9011,3339,7,196,0
2020-09-02,Belagavi,470,13016,132,9143,3676,1,197,0
2020-09-03,Belagavi,454,13470,245,9388,3885,0,197,0
2020-09-04,Belagavi,278,13748,285,9673,3872,6,203,0
2020-09-06,Belagavi,427,14648,233,10237,4200,8,211,0
2020-09-07,Belagavi,75,14723,186,10421,4083,8,219,0
2020-09-08,Belagavi,230,14953,160,10581,4153,0,219,0
2020-09-09,Belagavi,390,15343,219,10800,4319,5,224,0
2020-09-10,Belagavi,263,15606,644,11444,3936,2,226,0
2020-09-11,Belagavi,244,15850,608,12052,3563,9,235,0
2020-09-12,Belagavi,201,16051,631,12683,3131,2,237,0
2020-09-13,Belagavi,318,16369,388,13071,3061,0,237,0
2020-09-14,Belagavi,167,16536,533,13604,2691,4,241,0
2020-09-15,Belagavi,249,16785,486,14090,2451,3,244,0
2020-09-16,Belagavi,258,17043,0,14090,2708,0,245,0
2020-09-17,Belagavi,295,17338,344,14434,2655,4,249,0
2020-09-18,Belagavi,221,17559,395,14829,2473,8,257,0
2020-09-19,Belagavi,100,17659,272,15101,2295,6,263,0
2020-09-20,Belagavi,151,17810,260,15361,2180,6,269,0
2020-09-21,Belagavi,171,17981,441,15802,1907,3,272,0
2020-09-22,Belagavi,179,18160,0,15802,2086,0,272,0
2020-09-23,Belagavi,191,18351,0,15802,2277,0,272,0
2020-09-24,Belagavi,191,18542,137,15939,2331,0,272,0
2020-09-25,Belagavi,150,18692,121,16060,2354,6,278,0
2020-09-26,Belagavi,132,18824,150,16210,2336,0,278,0
2020-09-27,Belagavi,184,19008,148,16358,2367,5,283,0
2020-09-28,Belagavi,78,19086,149,16507,2292,4,287,0
2020-09-29,Belagavi,128,19214,174,16681,2243,3,290,0
2020-09-30,Belagavi,243,19457,175,16856,2311,0,290,0
2020-10-01,Belagavi,115,19572,210,17066,2216,0,290,0
2020-10-02,Belagavi,40,19612,204,17270,2045,7,297,0
2020-10-03,Belagavi,258,19870,197,17467,2103,3,300,0
2020-10-04,Belagavi,224,20094,195,17662,2132,0,300,0
2020-10-05,Belagavi,142,20236,247,17909,2025,2,302,0
2020-10-06,Belagavi,153,20389,312,18221,1859,7,309,0
2020-10-07,Belagavi,186,20575,529,18750,1515,1,310,0
2020-10-08,Belagavi,185,20760,193,18943,1507,0,310,0
2020-10-09,Belagavi,269,21029,68,19011,1703,5,315,0
2020-10-10,Belagavi,515,21544,86,19097,2131,1,316,0
2020-10-11,Belagavi,331,21875,469,19566,1993,0,316,0
2020-10-12,Belagavi,444,22319,238,19804,2197,2,318,0
2020-10-13,Belagavi,358,22677,262,20066,2292,1,319,0
2020-10-14,Belagavi,297,22974,299,20365,2289,1,320,0
2020-10-15,Belagavi,303,23277,562,20927,2027,3,323,0
2020-10-16,Belagavi,289,23566,401,21328,1914,1,324,0
