Date,District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
2020-07-01,Bengaluru Rural,29,158,0,14,140,0,4,0
2020-07-02,Bengaluru Rural,5,163,32,46,113,0,4,0
2020-07-03,Bengaluru Rural,44,207,0,46,156,1,5,0
2020-07-04,Bengaluru Rural,11,218,0,46,166,1,6,0
2020-07-05,Bengaluru Rural,0,218,0,46,166,0,6,0
2020-07-06,Bengaluru Rural,68,286,0,46,234,0,6,0
2020-07-07,Bengaluru Rural,0,286,0,46,234,0,6,0
2020-07-08,Bengaluru Rural,37,323,0,46,270,1,7,0
2020-07-10,Bengaluru Rural,1,340,0,46,287,0,7,0
2020-07-11,Bengaluru Rural,5,345,0,46,292,0,7,0
2020-07-12,Bengaluru Rural,19,364,0,46,311,0,7,0
2020-07-13,Bengaluru Rural,21,385,0,46,332,0,7,0
2020-07-14,Bengaluru Rural,14,399,0,46,346,0,7,0
2020-07-15,Bengaluru Rural,10,409,0,46,356,0,7,0
2020-07-16,Bengaluru Rural,31,440,0,46,387,0,7,0
2020-07-17,Bengaluru Rural,33,473,0,46,420,0,7,0
2020-07-19,Bengaluru Rural,70,637,0,46,584,0,7,0
2020-07-20,Bengaluru Rural,208,845,0,46,792,0,7,0
2020-07-21,Bengaluru Rural,95,940,201,247,686,0,7,0
2020-07-22,Bengaluru Rural,139,1079,0,247,825,0,7,0
2020-07-23,Bengaluru Rural,161,1240,0,247,986,0,7,0
2020-07-24,Bengaluru Rural,26,1266,0,247,1010,2,9,0
2020-07-25,Bengaluru Rural,154,1420,0,247,1164,0,9,0
2020-07-26,Bengaluru Rural,213,1633,0,247,1377,0,9,0
2020-07-27,Bengaluru Rural,138,1771,0,247,1514,1,10,0
2020-07-28,Bengaluru Rural,107,1878,0,247,1621,0,10,0
2020-07-29,Bengaluru Rural,49,1927,0,247,1670,0,10,0
2020-07-30,Bengaluru Rural,224,2151,0,247,1894,0,10,0
2020-07-31,Bengaluru Rural,105,2256,193,443,1803,0,10,0
2020-08-01,Bengaluru Rural,93,2349,89,532,1807,0,10,0
2020-08-02,Bengaluru Rural,38,2387,0,532,1845,0,10,0
2020-08-03,Bengaluru Rural,2,2389,116,648,1731,0,10,0
2020-08-04,Bengaluru Rural,82,2471,56,704,1757,0,10,0
2020-08-05,Bengaluru Rural,110,2581,40,744,1827,0,10,0
2020-08-06,Bengaluru Rural,34,2615,32,776,1829,0,10,0
2020-08-07,Bengaluru Rural,119,2734,20,796,1928,0,10,0
2020-08-08,Bengaluru Rural,66,2800,14,810,1980,0,10,0
2020-08-09,Bengaluru Rural,95,2895,102,912,1973,0,10,0
2020-08-10,Bengaluru Rural,50,2945,117,1029,1906,0,10,0
2020-08-11,Bengaluru Rural,28,2973,60,1089,1874,0,10,0
2020-08-12,Bengaluru Rural,182,3155,15,1104,2041,0,10,0
2020-08-13,Bengaluru Rural,70,3225,735,1839,1376,0,10,0
2020-08-14,Bengaluru Rural,39,3264,170,2009,1245,0,10,0
2020-08-15,Bengaluru Rural,152,3416,79,2088,1311,2,17,0
2020-08-16,Bengaluru Rural,87,3503,20,2108,1378,0,17,0
2020-08-17,Bengaluru Rural,25,3528,644,2752,759,0,17,0
2020-08-18,Bengaluru Rural,123,3651,157,2909,722,3,20,0
2020-08-19,Bengaluru Rural,68,3719,63,2972,726,1,21,0
2020-08-20,Bengaluru Rural,77,3796,207,3179,596,0,21,0
2020-08-21,Bengaluru Rural,79,3875,47,3226,628,0,21,0
2020-08-22,Bengaluru Rural,66,3941,45,3271,649,0,21,0
2020-08-23,Bengaluru Rural,35,3976,20,3291,664,0,21,0
2020-08-24,Bengaluru Rural,35,4011,90,3381,609,0,21,0
2020-08-25,Bengaluru Rural,63,4074,98,3479,573,1,22,0
2020-08-26,Bengaluru Rural,136,4210,44,3523,663,2,24,0
2020-08-27,Bengaluru Rural,59,4269,36,3559,683,3,27,0
2020-08-28,Bengaluru Rural,214,4483,58,3617,839,0,27,0
2020-08-29,Bengaluru Rural,182,4665,397,4014,624,0,27,0
2020-08-30,Bengaluru Rural,55,4720,0,4014,677,2,29,0
2020-08-31,Bengaluru Rural,73,6582,0,4014,749,1,30,0
2020-09-01,Bengaluru Rural,145,4938,38,4052,854,2,32,0
2020-09-02,Bengaluru Rural,146,5084,140,4192,860,0,32,0
2020-09-03,Bengaluru Rural,160,5244,107,4299,906,7,39,0
2020-09-04,Bengaluru Rural,204,5448,101,4400,1005,4,43,0
2020-09-06,Bengaluru Rural,93,5665,59,4617,1002,0,46,0
2020-09-07,Bengaluru Rural,77,5742,45,4560,1135,1,47,0
2020-09-08,Bengaluru Rural,104,5846,30,4590,1208,1,48,0
2020-09-09,Bengaluru Rural,79,5925,114,4704,1171,2,50,0
2020-09-10,Bengaluru Rural,77,6002,68,4772,1180,0,50,0
2020-09-11,Bengaluru Rural,146,6148,89,4861,1233,4,54,0
2020-09-12,Bengaluru Rural,211,6359,55,4916,1387,2,56,0
2020-09-13,Bengaluru Rural,216,6575,67,4983,1536,0,56,0
2020-09-14,Bengaluru Rural,275,6850,24,5007,1786,1,57,0
2020-09-15,Bengaluru Rural,143,6993,110,5117,1816,3,60,0
2020-09-16,Bengaluru Rural,168,7165,177,5294,1805,5,66,0
2020-09-17,Bengaluru Rural,66,7231,116,5410,1755,0,66,0
2020-09-18,Bengaluru Rural,112,7343,131,5541,1729,7,73,0
2020-09-19,Bengaluru Rural,189,7532,91,5632,1827,0,73,0
2020-09-20,Bengaluru Rural,179,7711,76,5708,1929,1,74,0
2020-09-21,Bengaluru Rural,114,7825,88,5796,1954,1,75,0
2020-09-22,Bengaluru Rural,80,7905,200,5996,1832,2,77,0
2020-09-23,Bengaluru Rural,128,8033,221,6217,1733,6,83,0
2020-09-24,Bengaluru Rural,189,8222,53,6270,1869,0,83,0
2020-09-25,Bengaluru Rural,308,8530,103,6373,2071,3,86,0
2020-09-26,Bengaluru Rural,241,8771,110,6483,2199,3,89,0
2020-09-27,Bengaluru Rural,213,8984,78,6561,2332,2,91,0
2020-09-28,Bengaluru Rural,110,9094,208,6769,2234,0,91,0
2020-09-29,Bengaluru Rural,305,9399,304,7073,2235,0,91,0
2020-09-30,Bengaluru Rural,188,9587,655,7728,1764,4,95,0
2020-10-01,Bengaluru Rural,169,9756,160,7888,1772,1,96,0
2020-10-02,Bengaluru Rural,298,10054,171,8059,1899,0,96,0
2020-10-03,Bengaluru Rural,283,10337,191,8250,1990,1,97,0
2020-10-04,Bengaluru Rural,274,10611,259,8509,2005,0,97,0
2020-10-05,Bengaluru Rural,141,10752,197,8706,1949,0,97,0
2020-10-06,Bengaluru Rural,212,10964,183,8889,1978,0,97,0
2020-10-07,Bengaluru Rural,189,11153,197,9086,1968,2,99,0
2020-10-08,Bengaluru Rural,368,11521,243,9329,2092,1,100,0
2020-10-09,Bengaluru Rural,242,11763,86,9415,2246,2,102,0
2020-10-10,Bengaluru Rural,224,11987,185,9600,2285,0,102,0
2020-10-11,Bengaluru Rural,155,12142,301,9901,2139,0,102,0
2020-10-12,Bengaluru Rural,113,12255,299,10200,1953,0,102,0
2020-10-13,Bengaluru Rural,208,12463,241,10441,1915,5,107,0
2020-10-14,Bengaluru Rural,344,12807,137,10578,2120,2,109,0
2020-10-15,Bengaluru Rural,454,13261,250,10828,2324,0,109,0
2020-10-16,Bengaluru Rural,345,13606,178,11006,2491,0,109,0
2020-10-17,Bengaluru Rural,220,13826,95,11101,2614,2,111,0
2020-10-18,Bengaluru Rural,288,14114,60,11161,2842,0,111,0
2020-10-19,Bengaluru Rural,173,14287,103,11264,2907,5,116,0
2020-10-20,Bengaluru Rural,319,14606,187,11451,3037,2,118,0
2020-10-21,Bengaluru Rural,366,14972,74,11525,3327,2,120,0
2020-10-22,Bengaluru Rural,280,15252,120,11645,3487,0,120,0
2020-10-24,Bengaluru Rural,102,15506,60,11800,3584,1,122,0
2020-10-25,Bengaluru Rural,234,15740,161,11961,3657,0,122,0
2020-10-26,Bengaluru Rural,87,15827,142,12103,3602,0,122,0
2020-10-27,Bengaluru Rural,93,15920,143,12246,3552,0,122,0
2020-10-28,Bengaluru Rural,61,15981,97,12343,3514,2,124,0
2020-10-29,Bengaluru Rural,81,16062,195,12538,3397,3,127,0
2020-10-30,Bengaluru Rural,72,16134,187,12725,3282,0,127,0
2020-10-31,Bengaluru Rural,44,16178,47,12772,3279,0,127,0
2020-12-01,Bengaluru Rural,38,17653,33,17134,375,0,144,0
2020-12-02,Bengaluru Rural,36,17689,36,17170,374,1,145,0
2020-12-03,Bengaluru Rural,32,17721,25,17195,380,1,146,0
2020-12-04,Bengaluru Rural,19,17740,32,17227,367,0,146,0
2020-12-05,Bengaluru Rural,23,17763,37,17264,353,0,146,0
2020-12-06,Bengaluru Rural,13,17776,28,17292,338,0,146,0
2020-12-07,Bengaluru Rural,11,17787,24,17316,325,0,146,0
2020-12-08,Bengaluru Rural,16,17803,28,17344,313,0,146,0
2020-12-09,Bengaluru Rural,24,17827,24,17368,312,1,147,0
2020-12-10,Bengaluru Rural,35,17862,28,17396,319,0,147,0
2020-12-11,Bengaluru Rural,35,17897,15,17411,339,0,147,0
2020-12-12,Bengaluru Rural,23,17920,21,17432,341,0,147,0
2020-12-13,Bengaluru Rural,27,17947,19,17451,349,0,147,0
2020-12-14,Bengaluru Rural,7,17954,24,17475,332,0,147,0
2020-12-15,Bengaluru Rural,17,17971,26,17501,322,1,148,0
2020-12-16,Bengaluru Rural,28,17999,20,17521,330,0,148,0
2020-12-17,Bengaluru Rural,17,18016,21,17542,326,0,148,0
2020-12-18,Bengaluru Rural,11,18027,20,17562,317,0,148,0
2020-12-19,Bengaluru Rural,31,18058,21,17583,326,1,149,0
2020-12-20,Bengaluru Rural,36,18094,16,17599,346,0,149,0
2020-12-21,Bengaluru Rural,19,18113,19,17618,346,0,149,0
2020-12-22,Bengaluru Rural,19,18132,30,17648,333,2,151,0
2020-12-23,Bengaluru Rural,17,18149,33,17681,317,0,151,0
2020-12-24,Bengaluru Rural,15,18164,25,17706,307,0,151,0
2020-12-25,Bengaluru Rural,17,18181,13,17719,311,0,151,0
2020-12-26,Bengaluru Rural,13,18194,22,17741,301,1,152,0
2020-12-27,Bengaluru Rural,20,18214,13,17754,308,0,152,0
2020-12-28,Bengaluru Rural,10,18224,24,17778,294,0,152,0
2020-12-29,Bengaluru Rural,4,18228,28,17806,270,0,152,0
2020-12-30,Bengaluru Rural,8,18236,22,17828,256,0,152,0
2020-12-31,Bengaluru Rural,24,18260,23,17851,257,0,152,0
2021-01-01,Bengaluru Rural,28,18288,23,17874,262,0,152,0
2021-01-02,Bengaluru Rural,12,18300,19,17893,255,0,152,0
2021-01-03,Bengaluru Rural,20,18320,21,17914,254,0,152,0
2021-01-04,Bengaluru Rural,10,18330,17,17931,247,0,152,0
2021-01-05,Bengaluru Rural,12,18342,26,17957,233,0,152,0
2021-01-06,Bengaluru Rural,25,18367,27,17984,230,1,153,0
2021-01-07,Bengaluru Rural,13,18380,26,18010,217,0,153,0
2021-01-08,Bengaluru Rural,26,18406,19,18029,224,0,153,0
2021-01-09,Bengaluru Rural,15,18421,30,18059,209,0,153,0
2021-01-10,Bengaluru Rural,22,18443,21,18080,210,0,153,0
2021-01-11,Bengaluru Rural,6,18449,15,18095,201,0,153,0
2021-01-12,Bengaluru Rural,17,18466,14,18109,203,1,154,0
2021-01-13,Bengaluru Rural,18,18484,17,18126,204,0,154,0
2021-01-14,Bengaluru Rural,19,18503,15,18141,208,0,154,0
2021-01-15,Bengaluru Rural,5,18508,16,18157,197,0,154,0
2021-01-16,Bengaluru Rural,10,18518,14,18171,193,0,154,0
2021-01-17,Bengaluru Rural,17,18535,28,18199,181,1,155,0
2021-01-18,Bengaluru Rural,4,18539,22,18221,163,0,155,0
2021-01-19,Bengaluru Rural,18,18557,13,18234,167,1,156,0
2021-01-20,Bengaluru Rural,7,18564,20,18254,154,0,156,0
2021-01-21,Bengaluru Rural,13,18577,15,18269,152,0,156,0
2021-01-22,Bengaluru Rural,8,18585,23,18292,137,0,156,0
2021-01-23,Bengaluru Rural,11,18596,16,18308,132,0,156,0
2021-01-24,Bengaluru Rural,9,18605,15,18323,126,0,156,0
2021-01-25,Bengaluru Rural,7,18612,10,18333,123,0,156,0
2021-01-26,Bengaluru Rural,11,18623,9,18342,125,0,156,0
2021-01-27,Bengaluru Rural,7,18630,16,18358,115,1,157,0
2021-01-28,Bengaluru Rural,7,18637,28,18386,94,0,157,0
2021-01-29,Bengaluru Rural,9,18646,18,18404,85,0,157,0
2021-01-30,Bengaluru Rural,10,18656,12,18416,83,0,157,0
2021-01-31,Bengaluru Rural,10,18666,9,18425,84,0,157,0
2021-02-01,Bengaluru Rural,7,18673,6,18431,85,0,157,0
2021-02-02,Bengaluru Rural,7,18680,12,18443,80,0,157,0
2021-02-03,Bengaluru Rural,4,18684,9,18452,75,0,157,0
2021-02-04,Bengaluru Rural,9,18693,11,18463,73,0,157,0
2021-02-05,Bengaluru Rural,4,18697,11,18474,66,0,157,0
2021-02-06,Bengaluru Rural,4,18701,8,18482,61,1,158,0
2021-02-07,Bengaluru Rural,5,18706,8,18490,58,0,158,0
2021-02-08,Bengaluru Rural,2,18708,4,18494,55,1,159,0
2021-02-09,Bengaluru Rural,20,18728,6,18500,69,0,159,0
2021-02-10,Bengaluru Rural,6,18734,5,18505,70,0,159,0
