Date,District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
2020-07-01,Bengaluru Urban,735,5290,0,543,4649,0,97,1
2020-07-02,Bengaluru Urban,889,6179,30,573,5505,3,100,1
2020-07-03,Bengaluru Urban,994,7173,197,770,6297,5,105,1
2020-07-04,Bengaluru Urban,1172,8345,195,965,7250,24,129,1
2020-07-05,Bengaluru Urban,1235,9580,302,1267,8167,16,145,1
2020-07-06,Bengaluru Urban,981,10561,278,1545,8860,10,155,1
2020-07-07,Bengaluru Urban,800,11361,265,1810,9395,0,155,1
2020-07-08,Bengaluru Urban,1148,12509,418,2228,10103,22,177,1
2020-07-10,Bengaluru Urban,1447,15329,601,3435,11687,29,206,1
2020-07-11,Bengaluru Urban,1533,16862,404,3839,12793,23,229,1
2020-07-12,Bengaluru Urban,1525,18387,206,4045,14067,45,274,1
2020-07-13,Bengaluru Urban,1315,19702,283,4328,15052,47,321,1
2020-07-14,Bengaluru Urban,1267,20969,664,4992,15599,56,377,1
2020-07-15,Bengaluru Urban,1975,22944,463,5455,17051,60,437,1
2020-07-16,Bengaluru Urban,2344,25288,497,5952,18828,70,507,1
2020-07-17,Bengaluru Urban,2208,27496,338,6290,20623,75,582,1
2020-07-19,Bengaluru Urban,2156,31777,253,6793,24316,36,667,1
2020-07-20,Bengaluru Urban,1452,33229,163,6956,25574,31,698,1
2020-07-21,Bengaluru Urban,1714,34943,520,7476,26746,22,720,1
2020-07-22,Bengaluru Urban,2050,36993,812,8288,27969,15,735,1
2020-07-23,Bengaluru Urban,2207,39200,1038,9326,29090,48,783,1
2020-07-24,Bengaluru Urban,2267,41467,746,10072,30561,50,833,1
2020-07-25,Bengaluru Urban,2036,43503,686,10758,31882,29,862,1
2020-07-26,Bengaluru Urban,1950,45453,647,11405,33156,29,891,1
2020-07-27,Bengaluru Urban,1470,46923,784,12189,33816,26,917,1
2020-07-28,Bengaluru Urban,1898,48821,572,12761,35102,40,957,1
2020-07-29,Bengaluru Urban,2270,51091,1118,13879,36224,30,987,1
2020-07-30,Bengaluru Urban,2233,53324,1912,15791,36523,22,1009,1
2020-07-31,Bengaluru Urban,2220,55544,1113,16896,37618,20,1029,1
2020-08-01,Bengaluru Urban,1852,57396,1683,18579,37760,27,1056,1
2020-08-02,Bengaluru Urban,2105,59501,2331,20910,37513,21,1077,1
2020-08-03,Bengaluru Urban,1497,60998,2693,23603,36290,27,1104,1
2020-08-04,Bengaluru Urban,2035,63033,4274,27877,34021,30,1134,1
2020-08-05,Bengaluru Urban,1848,64881,3083,30960,32757,29,1163,1
2020-08-06,Bengaluru Urban,2544,67425,2972,33932,32314,15,1178,1
2020-08-07,Bengaluru Urban,2147,69572,1131,35063,33308,22,1200,1
2020-08-08,Bengaluru Urban,2665,72237,2229,37292,33726,18,1218,1
2020-08-09,Bengaluru Urban,1948,74185,1837,39129,33815,22,1240,1
2020-08-10,Bengaluru Urban,1243,75428,2037,41166,32985,36,1276,1
2020-08-11,Bengaluru Urban,1610,77038,1508,42674,33070,17,1293,1
2020-08-12,Bengaluru Urban,2802,79840,2360,45034,33489,23,1316,1
2020-08-13,Bengaluru Urban,1893,81733,2212,47246,33148,22,1338,1
2020-08-14,Bengaluru Urban,2452,84185,2146,49392,33432,22,1360,1
2020-08-15,Bengaluru Urban,3495,87680,2034,51426,34858,35,1395,1
2020-08-16,Bengaluru Urban,2131,89811,2356,53782,34584,49,1444,1
2020-08-17,Bengaluru Urban,2053,91864,2190,55972,34408,39,1483,1
2020-08-18,Bengaluru Urban,2242,94106,3520,59492,33081,49,1532,1
2020-08-19,Bengaluru Urban,2804,96910,2549,62041,33280,56,1588,1
2020-08-20,Bengaluru Urban,2912,99822,1981,64022,34186,25,1613,1
2020-08-21,Bengaluru Urban,2948,102770,2580,66602,34532,22,1635,1
2020-08-22,Bengaluru Urban,2979,105749,3259,69861,34224,28,1663,1
2020-08-23,Bengaluru Urban,2126,107875,1468,71329,34877,5,1668,1
2020-08-24,Bengaluru Urban,1918,109793,2034,73363,34735,26,1694,1
2020-08-25,Bengaluru Urban,2294,112087,1538,74901,35430,61,1755,1
2020-08-26,Bengaluru Urban,3284,115371,2630,77531,36053,31,1786,1
2020-08-27,Bengaluru Urban,3357,118728,3362,80893,35989,59,1845,1
2020-08-28,Bengaluru Urban,2721,121449,2148,83041,36521,41,1886,1
2020-08-29,Bengaluru Urban,2993,124442,2174,85215,37315,25,1911,1
2020-08-30,Bengaluru Urban,2821,127263,2406,87621,37703,27,1938,1
2020-08-31,Bengaluru Urban,1862,127336,2422,90043,37116,27,1965,1
2020-09-01,Bengaluru Urban,2967,132092,1137,91180,38906,40,2005,1
2020-09-02,Bengaluru Urban,3420,135512,2383,93563,39911,32,2037,1
2020-09-03,Bengaluru Urban,3189,138701,2631,96194,40440,29,2066,1
2020-09-04,Bengaluru Urban,2963,141664,1732,97926,41646,25,2091,1
2020-09-06,Bengaluru Urban,2824,147581,4540,105692,39725,38,2163,1
2020-09-07,Bengaluru Urban,2942,150523,2935,108642,39669,48,2211,1
2020-09-08,Bengaluru Urban,3102,153625,2330,110972,40386,55,2266,1
2020-09-09,Bengaluru Urban,3419,157044,1564,112536,42200,41,2307,1
2020-09-10,Bengaluru Urban,3161,160205,1672,114208,43656,33,2340,1
2020-09-11,Bengaluru Urban,3426,163631,6116,120324,40936,30,2370,1
2020-09-12,Bengaluru Urban,3552,167183,3538,123862,40929,21,2391,1
2020-09-13,Bengaluru Urban,3479,170662,3270,127132,41093,45,2436,1
2020-09-14,Bengaluru Urban,2966,173628,3495,130627,40527,37,2473,1
2020-09-15,Bengaluru Urban,3084,176712,3889,134516,39681,41,2514,1
2020-09-16,Bengaluru Urban,3571,180283,3773,138289,39472,27,2521,1
2020-09-17,Bengaluru Urban,3799,184082,2184,140473,41053,34,2555,1
2020-09-18,Bengaluru Urban,3623,187705,2725,143198,41914,37,2592,1
2020-09-19,Bengaluru Urban,3733,191438,4180,147378,41434,33,2625,1
2020-09-20,Bengaluru Urban,3322,194760,2970,150348,41754,32,2657,1
2020-09-21,Bengaluru Urban,2886,197646,3536,153884,41072,32,2689,1
2020-09-22,Bengaluru Urban,3082,200728,4145,158029,39983,26,2715,1
2020-09-23,Bengaluru Urban,3547,204275,3536,161565,39971,23,2738,1
2020-09-24,Bengaluru Urban,4192,208467,3854,165419,40285,24,2762,1
2020-09-25,Bengaluru Urban,4080,212547,2517,167936,41816,32,2794,1
2020-09-26,Bengaluru Urban,4083,216630,2494,170430,43378,27,2821,1
2020-09-27,Bengaluru Urban,4217,220847,3306,173736,44274,15,2836,1
2020-09-28,Bengaluru Urban,2722,223569,2805,176541,44182,9,2845,1
2020-09-29,Bengaluru Urban,4868,228437,2373,178914,46610,67,2912,1
2020-09-30,Bengaluru Urban,4226,232663,3667,182581,47145,24,2936,1
2020-10-01,Bengaluru Urban,4853,237516,2482,185063,49475,41,2977,1
2020-10-02,Bengaluru Urban,4259,241775,2298,187361,51389,47,3024,1
2020-10-03,Bengaluru Urban,3925,245700,2001,189362,53292,21,3045,1
2020-10-04,Bengaluru Urban,4340,250040,2681,192043,54929,22,3067,1
2020-10-05,Bengaluru Urban,2189,252229,2972,195015,54112,34,3101,1
2020-10-06,Bengaluru Urban,5012,257241,3354,198369,55736,34,3135,1
2020-10-07,Bengaluru Urban,5000,262241,2057,200426,58624,55,3190,1
2020-10-08,Bengaluru Urban,5121,267362,3505,203931,60197,43,3233,1
2020-10-09,Bengaluru Urban,5009,272371,3045,206976,62104,57,3290,1
2020-10-10,Bengaluru Urban,4563,276934,1726,208702,64911,30,3320,1
2020-10-11,Bengaluru Urban,4623,281557,2656,211358,66854,24,3344,1
2020-10-12,Bengaluru Urban,3498,285055,5764,217122,64570,18,3362,1
2020-10-13,Bengaluru Urban,3776,288831,4529,221651,63789,28,3390,1
