Date,District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
2020-07-01,Bidar,8,615,23,500,94,0,21,0
2020-07-02,Bidar,32,647,0,500,126,0,21,0
2020-07-03,Bidar,28,675,0,500,153,1,22,0
2020-07-04,Bidar,51,726,12,512,186,6,28,0
2020-07-05,Bidar,29,755,20,532,186,9,37,0
2020-07-06,Bidar,44,799,29,561,194,7,44,0
2020-07-07,Bidar,51,850,0,561,241,4,48,0
2020-07-08,Bidar,29,879,1,562,268,1,49,0
2020-07-10,Bidar,19,913,0,562,299,3,52,0
2020-07-11,Bidar,63,976,29,591,332,1,53,0
2020-07-12,Bidar,62,1038,21,612,373,0,53,0
2020-07-13,Bidar,23,1061,0,612,396,0,53,0
2020-07-14,Bidar,42,1103,0,612,438,0,51,2
2020-07-15,Bidar,35,1138,55,667,418,0,51,2
2020-07-16,Bidar,53,1191,3,670,466,2,53,2
2020-07-17,Bidar,69,1260,44,714,491,0,53,2
2020-07-19,Bidar,45,1377,19,733,585,3,57,2
2020-07-20,Bidar,26,1403,77,810,530,4,61,2
2020-07-21,Bidar,66,1469,25,835,569,2,63,2
2020-07-22,Bidar,77,1546,186,1021,457,3,66,2
2020-07-23,Bidar,94,1640,0,1021,548,3,69,2
2020-07-24,Bidar,87,1727,150,1171,485,0,67,4
2020-07-25,Bidar,62,1789,25,1196,522,0,67,4
2020-07-26,Bidar,77,1866,32,1228,567,0,67,4
2020-07-27,Bidar,42,1908,80,1308,528,1,68,4
2020-07-28,Bidar,39,1947,49,1357,516,2,70,4
2020-07-29,Bidar,91,2038,0,1357,606,1,71,4
2020-07-30,Bidar,69,2107,44,1401,629,2,73,4
2020-07-31,Bidar,104,2211,74,1474,658,2,75,4
2020-08-01,Bidar,52,2263,61,1535,645,4,79,4
2020-08-02,Bidar,135,2398,45,1580,735,0,79,4
2020-08-03,Bidar,50,2448,90,1670,692,3,82,4
2020-08-04,Bidar,114,2562,22,1692,781,3,85,4
2020-08-05,Bidar,52,2614,14,1706,817,2,87,4
2020-08-06,Bidar,98,2712,97,1803,815,3,90,4
2020-08-07,Bidar,84,2796,29,1832,869,1,91,4
2020-08-08,Bidar,47,2843,18,1850,896,2,93,4
2020-08-09,Bidar,70,2913,44,1894,918,4,97,4
2020-08-10,Bidar,28,2941,46,1940,899,1,98,4
2020-08-11,Bidar,73,3014,127,2067,843,2,100,4
2020-08-12,Bidar,91,3105,115,2182,816,3,103,4
2020-08-13,Bidar,143,3248,106,2288,853,0,103,4
2020-08-14,Bidar,97,3345,76,2364,873,1,104,4
2020-08-15,Bidar,113,3458,70,2434,913,3,107,4
