Date,District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
2020-07-01,Chamarajanagara,21,54,0,1,53,0,0,0
2020-07-02,Chamarajanagara,0,54,0,1,53,0,0,0
2020-07-03,Chamarajanagara,24,78,0,1,77,0,0,0
2020-07-04,Chamarajanagara,5,83,0,1,82,0,0,0
2020-07-05,Chamarajanagara,19,102,0,1,101,0,0,0
2020-07-06,Chamarajanagara,12,114,3,4,110,0,0,0
2020-07-07,Chamarajanagara,6,120,20,24,96,0,0,0
2020-07-08,Chamarajanagara,0,120,7,31,89,0,0,0
2020-07-10,Chamarajanagara,9,141,18,49,92,0,0,0
2020-07-11,Chamarajanagara,17,158,0,49,109,0,0,0
2020-07-12,Chamarajanagara,13,171,0,49,121,1,1,0
2020-07-13,Chamarajanagara,9,180,28,77,102,0,1,0
2020-07-14,Chamarajanagara,8,188,16,93,92,2,3,0
2020-07-15,Chamarajanagara,8,196,17,110,83,0,3,0
2020-07-16,Chamarajanagara,16,212,6,116,93,0,3,0
2020-07-17,Chamarajanagara,10,222,19,135,84,0,3,0
2020-07-19,Chamarajanagara,25,281,39,174,104,0,3,0
2020-07-20,Chamarajanagara,49,330,13,187,140,0,3,0
2020-07-21,Chamarajanagara,34,364,11,198,162,1,4,0
2020-07-22,Chamarajanagara,31,395,12,210,180,1,5,0
2020-07-23,Chamarajanagara,27,422,22,232,185,0,5,0
2020-07-24,Chamarajanagara,33,455,0,232,217,1,6,0
2020-07-25,Chamarajanagara,22,477,18,250,221,0,6,0
2020-07-26,Chamarajanagara,28,505,20,270,229,0,6,0
2020-07-27,Chamarajanagara,16,521,18,288,227,0,6,0
2020-07-28,Chamarajanagara,52,573,31,319,248,0,6,0
2020-07-29,Chamarajanagara,20,593,15,334,253,0,6,0
2020-07-30,Chamarajanagara,32,625,30,364,255,0,6,0
2020-07-31,Chamarajanagara,44,669,36,400,262,1,7,0
2020-08-01,Chamarajanagara,43,712,15,415,290,0,7,0
2020-08-02,Chamarajanagara,31,743,48,463,271,2,9,0
2020-08-03,Chamarajanagara,52,795,31,494,291,1,10,0
2020-08-04,Chamarajanagara,57,852,23,517,322,3,13,0
2020-08-05,Chamarajanagara,38,890,28,545,332,0,13,0
