Date,District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
2020-07-01,Chikkaballapura,15,229,6,164,62,0,2,1
2020-07-02,Chikkaballapura,1,230,1,165,62,0,2,1
2020-07-03,Chikkaballapura,3,233,2,167,60,3,5,1
2020-07-04,Chikkaballapura,12,245,0,167,72,0,5,1
2020-07-05,Chikkaballapura,13,258,5,172,79,1,6,1
2020-07-06,Chikkaballapura,7,265,19,191,66,1,7,1
2020-07-07,Chikkaballapura,3,268,0,191,69,0,7,1
2020-07-08,Chikkaballapura,32,300,3,194,96,2,9,1
2020-07-10,Chikkaballapura,12,344,10,210,122,2,11,1
2020-07-11,Chikkaballapura,20,364,0,210,140,2,13,1
2020-07-12,Chikkaballapura,39,403,4,214,175,0,13,1
2020-07-13,Chikkaballapura,42,445,0,214,217,0,13,1
2020-07-14,Chikkaballapura,13,458,0,214,230,0,13,1
2020-07-15,Chikkaballapura,32,490,35,249,225,2,15,1
2020-07-16,Chikkaballapura,77,567,13,262,289,0,15,1
2020-07-17,Chikkaballapura,31,598,0,262,319,1,16,1
2020-07-19,Chikkaballapura,135,840,38,300,522,0,17,1
2020-07-20,Chikkaballapura,60,900,0,300,582,0,17,1
2020-07-21,Chikkaballapura,81,981,0,300,662,1,18,1
2020-07-22,Chikkaballapura,110,1091,92,392,678,2,20,1
2020-07-23,Chikkaballapura,65,1156,49,441,691,3,23,1
2020-07-24,Chikkaballapura,92,1248,78,519,702,3,26,1
2020-07-25,Chikkaballapura,101,1349,29,548,772,2,28,1
2020-07-26,Chikkaballapura,81,1430,37,585,814,2,30,1
2020-07-27,Chikkaballapura,40,1470,29,614,825,0,30,1
2020-07-28,Chikkaballapura,72,1542,152,766,742,3,33,1
2020-07-29,Chikkaballapura,96,1638,95,861,742,1,34,1
2020-07-30,Chikkaballapura,82,1720,176,1037,648,0,34,1
2020-07-31,Chikkaballapura,48,1768,46,1078,655,0,34,1
2020-08-01,Chikkaballapura,72,1840,24,1102,702,1,35,1
2020-08-02,Chikkaballapura,55,1895,65,1167,691,1,36,1
2020-08-03,Chikkaballapura,58,1953,90,1257,657,2,38,1
2020-08-04,Chikkaballapura,171,2124,31,1288,795,2,40,1
2020-08-05,Chikkaballapura,129,2253,62,1350,862,0,40,1
2020-08-06,Chikkaballapura,117,2370,14,1364,964,1,41,1
