Date,District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
2020-07-01,Chikkamagaluru,1,81,5,41,39,0,1,0
2020-07-02,Chikkamagaluru,1,82,2,43,38,0,1,0
2020-07-03,Chikkamagaluru,0,82,0,43,38,0,1,0
2020-07-04,Chikkamagaluru,3,85,6,49,35,0,1,0
2020-07-05,Chikkamagaluru,9,94,2,51,42,0,1,0
2020-07-06,Chikkamagaluru,2,96,1,52,43,0,1,0
2020-07-07,Chikkamagaluru,6,102,0,52,49,0,1,0
2020-07-08,Chikkamagaluru,23,125,19,71,52,1,2,0
2020-07-10,Chikkamagaluru,1,131,13,84,44,1,3,0
2020-07-11,Chikkamagaluru,3,134,2,86,45,0,3,0
2020-07-12,Chikkamagaluru,10,144,2,88,53,0,3,0
2020-07-13,Chikkamagaluru,10,154,9,97,54,0,3,0
2020-07-14,Chikkamagaluru,3,157,0,97,54,3,6,0
2020-07-15,Chikkamagaluru,13,170,8,105,58,1,7,0
2020-07-16,Chikkamagaluru,30,200,22,127,66,0,7,0
2020-07-17,Chikkamagaluru,28,228,5,132,89,0,7,0
2020-07-19,Chikkamagaluru,41,293,6,140,145,1,8,0
2020-07-20,Chikkamagaluru,43,336,18,158,169,1,9,0
2020-07-21,Chikkamagaluru,68,404,11,169,225,1,10,0
2020-07-22,Chikkamagaluru,82,486,50,219,255,2,12,0
2020-07-23,Chikkamagaluru,62,548,53,272,262,2,14,0
2020-07-24,Chikkamagaluru,28,576,42,314,245,3,17,0
2020-07-25,Chikkamagaluru,42,618,55,369,232,0,17,0
2020-07-26,Chikkamagaluru,61,679,5,374,287,1,18,0
2020-07-27,Chikkamagaluru,26,705,3,377,309,1,19,0
2020-07-28,Chikkamagaluru,55,760,10,387,353,1,20,0
2020-07-29,Chikkamagaluru,33,793,9,396,377,0,20,0
2020-07-30,Chikkamagaluru,126,919,30,426,472,1,21,0
2020-07-31,Chikkamagaluru,74,993,5,428,544,0,21,0
2020-08-01,Chikkamagaluru,57,1050,1,429,600,0,21,0
2020-08-02,Chikkamagaluru,40,1090,11,440,628,1,22,0
2020-08-03,Chikkamagaluru,46,1136,53,493,621,0,22,0
2020-08-04,Chikkamagaluru,63,1199,23,516,659,2,24,0
2020-08-05,Chikkamagaluru,48,1247,19,535,687,1,25,0
2020-08-06,Chikkamagaluru,59,1306,30,565,716,0,25,0
2020-08-07,Chikkamagaluru,65,1371,21,586,758,2,27,0
2020-08-08,Chikkamagaluru,89,1460,35,621,810,2,29,0
2020-08-09,Chikkamagaluru,113,1573,20,641,901,2,31,0
2020-08-10,Chikkamagaluru,45,1618,20,661,926,0,31,0
2020-08-11,Chikkamagaluru,93,1711,49,710,967,3,34,0
2020-08-12,Chikkamagaluru,112,1823,216,926,861,2,36,0
2020-08-13,Chikkamagaluru,111,1934,300,1226,670,2,38,0
2020-08-14,Chikkamagaluru,104,2038,9,1235,764,1,39,0
2020-08-15,Chikkamagaluru,79,2117,23,1258,816,4,43,0
2020-08-16,Chikkamagaluru,69,2186,37,1295,844,4,47,0
2020-08-17,Chikkamagaluru,92,2278,118,1413,816,2,49,0
2020-08-18,Chikkamagaluru,145,2423,136,1549,825,0,49,0
2020-08-19,Chikkamagaluru,100,2523,50,1599,874,1,50,0
2020-08-20,Chikkamagaluru,124,2647,62,1661,933,3,53,0
2020-08-21,Chikkamagaluru,102,2749,80,1741,953,2,55,0
2020-08-22,Chikkamagaluru,71,2820,51,1792,972,1,56,0
2020-08-23,Chikkamagaluru,126,2946,42,1834,1056,0,56,0
2020-08-24,Chikkamagaluru,123,3069,105,1939,1071,3,59,0
2020-08-25,Chikkamagaluru,88,3157,108,2047,1050,1,60,0
2020-08-26,Chikkamagaluru,97,3254,145,2192,1001,1,61,0
2020-08-27,Chikkamagaluru,229,3483,65,2257,1165,0,61,0
2020-08-28,Chikkamagaluru,136,3619,113,2370,1184,4,65,0
2020-08-29,Chikkamagaluru,129,3748,222,2592,1088,3,68,0
2020-08-30,Chikkamagaluru,207,3955,97,2689,1196,2,70,0
2020-08-31,Chikkamagaluru,100,4055,75,2764,1219,2,72,0
2020-09-01,Chikkamagaluru,210,4265,67,2831,1360,2,74,0
2020-09-02,Chikkamagaluru,117,4382,105,2936,1368,4,78,0
2020-09-03,Chikkamagaluru,123,4505,130,3066,1360,1,79,0
2020-09-04,Chikkamagaluru,223,4728,118,3184,1463,2,81,0
2020-09-06,Chikkamagaluru,239,5205,209,3510,1608,2,87,0
2020-09-07,Chikkamagaluru,101,5306,89,3597,1620,2,89,0
2020-09-08,Chikkamagaluru,162,5468,105,3702,1675,2,91,0
2020-09-09,Chikkamagaluru,73,5541,123,3825,1623,2,93,0
2020-09-10,Chikkamagaluru,111,5652,93,3966,1591,2,95,0
2020-09-11,Chikkamagaluru,89,5741,170,4136,1508,2,97,0
2020-09-12,Chikkamagaluru,159,5900,215,4351,1451,1,98,0
2020-09-13,Chikkamagaluru,171,6071,103,4454,1519,0,98,0
2020-09-14,Chikkamagaluru,200,6271,223,4677,1493,3,101,0
