Date,District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
2020-07-01,Chitradurga,12,74,0,43,31,0,0,0
2020-07-02,Chitradurga,3,77,0,43,34,0,0,0
2020-07-03,Chitradurga,3,80,0,43,37,0,0,0
2020-07-04,Chitradurga,0,80,5,48,32,0,0,0
2020-07-05,Chitradurga,3,83,0,48,35,0,0,0
2020-07-06,Chitradurga,6,89,0,48,41,0,0,0
2020-07-07,Chitradurga,1,90,4,52,38,0,0,0
2020-07-08,Chitradurga,2,92,12,64,28,0,0,0
2020-07-10,Chitradurga,0,94,6,70,24,0,0,0
2020-07-11,Chitradurga,9,103,0,70,33,0,0,0
2020-07-12,Chitradurga,0,103,3,73,30,0,0,0
2020-07-13,Chitradurga,8,111,0,73,38,0,0,0
2020-07-14,Chitradurga,10,121,1,74,47,0,0,0
2020-07-15,Chitradurga,12,133,0,74,58,1,1,0
2020-07-16,Chitradurga,21,154,0,74,79,0,1,0
2020-07-17,Chitradurga,24,178,0,74,103,0,1,0
2020-07-19,Chitradurga,17,217,34,108,108,0,1,0
2020-07-20,Chitradurga,29,246,4,112,131,2,3,0
2020-07-21,Chitradurga,23,269,0,112,154,0,3,0
2020-07-22,Chitradurga,40,309,9,121,185,0,3,0
2020-07-23,Chitradurga,10,319,0,121,195,0,3,0
2020-07-24,Chitradurga,13,332,10,131,195,3,6,0
2020-07-25,Chitradurga,16,348,3,134,208,0,6,0
2020-07-26,Chitradurga,53,401,0,134,261,0,6,0
2020-07-27,Chitradurga,51,452,12,146,300,0,6,0
2020-07-28,Chitradurga,66,518,0,146,366,0,6,0
2020-07-29,Chitradurga,52,570,14,160,404,0,6,0
2020-07-30,Chitradurga,47,617,0,160,451,0,6,0
2020-07-31,Chitradurga,35,652,27,186,460,0,6,0
2020-08-01,Chitradurga,60,712,72,258,445,3,9,0
2020-08-02,Chitradurga,46,758,0,258,491,0,9,0
2020-08-03,Chitradurga,33,791,0,258,524,0,9,0
2020-08-04,Chitradurga,12,803,79,337,454,3,12,0
2020-08-05,Chitradurga,24,827,42,379,436,0,12,0
2020-08-06,Chitradurga,58,885,72,451,422,0,12,0
2020-08-07,Chitradurga,57,942,8,459,471,0,12,0
2020-08-08,Chitradurga,63,1005,21,480,513,0,12,0
2020-08-09,Chitradurga,98,1103,25,505,584,2,14,0
2020-08-10,Chitradurga,38,1141,6,511,616,0,14,0
2020-08-11,Chitradurga,47,1188,20,531,643,0,14,0
2020-08-12,Chitradurga,61,1249,24,555,680,0,14,0
2020-08-13,Chitradurga,67,1316,82,637,665,0,14,0
2020-08-14,Chitradurga,77,1393,43,680,699,0,14,0
2020-08-15,Chitradurga,34,1427,163,843,570,0,14,0
2020-08-16,Chitradurga,71,1498,0,843,641,0,14,0
2020-08-17,Chitradurga,21,1519,117,960,545,0,14,0
2020-08-18,Chitradurga,41,1560,70,1030,516,0,14,0
2020-08-19,Chitradurga,47,1607,79,1109,484,0,14,0
2020-08-20,Chitradurga,60,1667,0,1109,544,0,14,0
2020-08-21,Chitradurga,98,1765,21,1130,621,0,14,0
2020-08-22,Chitradurga,89,1854,154,1284,556,0,14,0
2020-08-23,Chitradurga,71,1925,92,1376,532,3,17,0
2020-08-24,Chitradurga,28,1953,79,1455,481,0,17,0
2020-08-25,Chitradurga,114,2067,14,1469,578,3,20,0
2020-08-26,Chitradurga,78,2145,2,1471,654,0,20,0
2020-08-27,Chitradurga,61,2206,39,1510,676,0,20,0
2020-08-28,Chitradurga,150,2356,78,1588,748,0,20,0
2020-08-29,Chitradurga,100,2456,28,1616,820,0,20,0
2020-08-30,Chitradurga,95,2551,0,1616,913,2,22,0
2020-08-31,Chitradurga,286,2837,0,1616,1199,0,22,0
2020-09-01,Chitradurga,164,3001,63,1679,1300,0,22,0
2020-09-02,Chitradurga,174,3175,91,1770,1380,3,25,0
2020-09-03,Chitradurga,151,3326,101,1871,1430,0,25,0
2020-09-04,Chitradurga,92,3418,46,1917,1476,0,25,0
2020-09-06,Chitradurga,261,3919,49,2160,1734,0,25,0
2020-09-07,Chitradurga,50,3969,73,2233,1711,0,25,0
2020-09-08,Chitradurga,23,3992,179,2412,1555,0,25,0
2020-09-09,Chitradurga,94,4086,209,2621,1438,2,27,0
2020-09-10,Chitradurga,142,4228,91,2712,1489,0,27,0
2020-09-11,Chitradurga,247,4475,643,3355,1091,2,29,0
2020-09-12,Chitradurga,227,4702,126,3481,1188,4,33,0
2020-09-13,Chitradurga,232,4934,134,3615,1286,0,33,0
2020-09-14,Chitradurga,198,5132,14,3629,1470,0,33,0
2020-09-15,Chitradurga,127,5259,53,3682,1544,0,33,0
2020-09-16,Chitradurga,227,5486,0,3682,1771,0,33,0
2020-09-17,Chitradurga,152,5638,0,3682,1923,0,33,0
2020-09-18,Chitradurga,141,5779,184,3866,1880,0,33,0
2020-09-19,Chitradurga,84,5863,263,4129,1701,0,33,0
2020-09-20,Chitradurga,0,5863,173,4302,1528,0,33,0
2020-09-21,Chitradurga,326,6189,246,4548,1608,0,33,0
2020-09-22,Chitradurga,122,6311,0,4548,1730,0,33,0
2020-09-23,Chitradurga,89,6400,181,4729,1638,0,33,0
2020-09-24,Chitradurga,64,6464,313,5042,1389,0,33,0
2020-09-25,Chitradurga,79,6543,244,5286,1224,0,33,0
2020-09-26,Chitradurga,70,6613,81,5367,1213,0,33,0
2020-09-27,Chitradurga,198,6811,85,5452,1324,2,35,0
2020-09-28,Chitradurga,176,6987,228,5680,1272,0,35,0
2020-09-29,Chitradurga,186,7173,88,5768,1367,3,38,0
2020-09-30,Chitradurga,180,7353,138,5906,1409,0,38,0
2020-10-01,Chitradurga,82,7435,48,5954,1443,0,38,0
2020-10-02,Chitradurga,169,7604,74,6028,1538,0,38,0
2020-10-03,Chitradurga,76,7680,200,6228,1414,0,38,0
2020-10-04,Chitradurga,122,7802,293,6521,1243,0,38,0
2020-10-05,Chitradurga,276,8078,1,6522,1518,0,38,0
2020-10-06,Chitradurga,332,8410,308,6830,1542,0,38,0
2020-10-07,Chitradurga,217,8627,151,6981,1608,0,38,0
2020-10-08,Chitradurga,215,8842,38,7019,1785,0,38,0
2020-10-09,Chitradurga,418,9260,201,7220,2002,0,38,0
2020-10-10,Chitradurga,447,9707,84,7304,2362,3,41,0
2020-10-11,Chitradurga,378,10085,318,7622,2420,2,43,0
2020-10-12,Chitradurga,210,10295,634,8256,1994,2,45,0
2020-10-13,Chitradurga,242,10537,448,8704,1788,0,45,0
2020-10-14,Chitradurga,162,10699,380,9084,1569,1,46,0
2020-10-15,Chitradurga,159,10858,128,9212,1600,0,46,0
2020-10-16,Chitradurga,95,10953,253,9465,1439,3,49,0
2020-10-17,Chitradurga,80,11033,49,9514,1470,0,49,0
2020-10-18,Chitradurga,226,11259,180,9694,1514,2,51,0
2020-10-19,Chitradurga,106,11365,401,10095,1219,0,51,0
2020-10-20,Chitradurga,109,11474,248,10343,1080,0,51,0
2020-10-21,Chitradurga,74,11548,175,10518,978,1,52,0
2020-10-22,Chitradurga,79,11627,237,10755,818,2,54,0
2020-10-24,Chitradurga,84,11810,118,10999,755,1,56,0
2020-10-25,Chitradurga,99,11909,111,11110,743,0,56,0
2020-10-26,Chitradurga,86,11995,56,11166,773,0,56,0
2020-10-27,Chitradurga,70,12065,97,11263,746,0,56,0
2020-10-28,Chitradurga,70,12135,75,11338,741,0,56,0
2020-10-29,Chitradurga,41,12176,100,11438,679,3,59,0
2020-10-30,Chitradurga,122,12298,71,11509,730,0,59,0
2020-10-31,Chitradurga,59,12357,180,11689,609,0,59,0
2020-12-01,Chitradurga,33,13604,17,13236,304,1,64,0
2020-12-02,Chitradurga,46,13650,31,13267,318,1,65,0
2020-12-03,Chitradurga,40,13690,69,13336,289,0,65,0
2020-12-04,Chitradurga,14,13704,22,13358,281,0,65,0
2020-12-05,Chitradurga,8,13712,20,13378,268,1,66,0
2020-12-06,Chitradurga,20,13732,41,13419,247,0,66,0
2020-12-07,Chitradurga,3,13735,35,13454,215,0,66,0
2020-12-08,Chitradurga,52,13787,19,13473,248,0,66,0
2020-12-09,Chitradurga,41,13828,45,13518,244,0,66,0
2020-12-10,Chitradurga,22,13850,25,13543,241,0,66,0
2020-12-11,Chitradurga,40,13890,32,13575,248,1,67,0
2020-12-12,Chitradurga,51,13941,22,13597,277,0,67,0
2020-12-13,Chitradurga,33,13974,13,13610,297,0,67,0
2020-12-14,Chitradurga,5,13979,15,13625,287,0,67,0
2020-12-15,Chitradurga,10,13989,15,13640,281,1,68,0
2020-12-16,Chitradurga,51,14040,34,13674,298,0,68,0
2020-12-17,Chitradurga,27,14067,45,13719,280,0,68,0
2020-12-18,Chitradurga,15,14082,18,13737,277,0,68,0
2020-12-19,Chitradurga,16,14098,13,13750,280,0,68,0
2020-12-20,Chitradurga,7,14105,63,13813,224,0,68,0
2020-12-21,Chitradurga,19,14124,54,13867,189,0,68,0
2020-12-22,Chitradurga,10,14134,5,13872,194,0,68,0
2020-12-23,Chitradurga,18,14152,9,13881,203,0,68,0
2020-12-24,Chitradurga,19,14171,46,13927,176,0,68,0
2020-12-25,Chitradurga,13,14184,29,13956,160,0,68,0
2020-12-26,Chitradurga,9,14193,14,13970,155,0,68,0
2020-12-27,Chitradurga,21,14214,13,13983,163,0,68,0
2020-12-28,Chitradurga,10,14224,10,13993,163,0,68,0
2020-12-29,Chitradurga,7,14231,18,14011,152,0,68,0
2020-12-30,Chitradurga,19,14250,14,14025,157,0,68,0
2020-12-31,Chitradurga,20,14270,17,14042,160,0,68,0
2021-01-01,Chitradurga,39,14309,17,14059,182,0,68,0
2021-01-02,Chitradurga,5,14314,13,14072,174,0,68,0
2021-01-03,Chitradurga,8,14322,9,14081,173,0,68,0
2021-01-04,Chitradurga,37,14359,20,14101,190,0,68,0
2021-01-05,Chitradurga,6,14365,6,14107,190,0,68,0
2021-01-06,Chitradurga,11,14376,11,14118,190,0,68,0
2021-01-07,Chitradurga,4,14380,14,14132,180,0,68,0
2021-01-08,Chitradurga,10,14390,22,14154,168,0,68,0
2021-01-09,Chitradurga,20,14410,38,14192,150,0,68,0
2021-01-10,Chitradurga,5,14415,6,14198,149,0,68,0
2021-01-11,Chitradurga,14,14429,7,14205,156,0,68,0
2021-01-12,Chitradurga,17,14446,38,14243,135,0,68,0
2021-01-13,Chitradurga,24,14470,5,14248,154,0,68,0
2021-01-14,Chitradurga,19,14489,11,14259,162,0,68,0
2021-01-15,Chitradurga,3,14492,4,14263,161,0,68,0
2021-01-16,Chitradurga,8,14500,8,14271,161,0,68,0
2021-01-17,Chitradurga,13,14513,10,14281,164,0,68,0
2021-01-18,Chitradurga,17,14530,5,14286,176,0,68,0
2021-01-19,Chitradurga,16,14546,7,14293,185,0,68,0
2021-01-20,Chitradurga,19,14565,25,14318,178,1,69,0
2021-01-21,Chitradurga,6,14571,19,14337,165,0,69,0
2021-01-22,Chitradurga,8,14579,16,14353,157,0,69,0
2021-01-23,Chitradurga,23,14602,7,14360,173,0,69,0
2021-01-24,Chitradurga,7,14609,10,14370,170,0,69,0
2021-01-25,Chitradurga,10,14619,10,14380,170,0,69,0
2021-01-26,Chitradurga,11,14630,16,14396,165,0,69,0
2021-01-27,Chitradurga,13,14643,19,14415,159,0,69,0
2021-01-28,Chitradurga,15,14658,17,14432,157,0,69,0
2021-01-29,Chitradurga,20,14678,7,14439,170,0,69,0
2021-01-30,Chitradurga,11,14689,19,14458,162,0,69,0
2021-01-31,Chitradurga,14,14703,9,14467,167,0,69,0
2021-02-01,Chitradurga,5,14708,6,14473,166,0,69,0
2021-02-02,Chitradurga,5,14713,11,14484,160,0,69,0
2021-02-03,Chitradurga,9,14722,6,14490,163,0,69,0
2021-02-04,Chitradurga,16,14738,14,14504,165,0,69,0
2021-02-05,Chitradurga,9,14747,12,14516,162,0,69,0
2021-02-06,Chitradurga,10,14757,19,14535,153,0,69,0
2021-02-07,Chitradurga,16,14773,13,14548,156,0,69,0
2021-02-08,Chitradurga,13,14786,8,14556,161,0,69,0
2021-02-09,Chitradurga,9,14795,10,14566,160,0,69,0
2021-02-10,Chitradurga,11,14806,14,14580,157,0,69,0
2021-02-11,Chitradurga,13,14819,15,14595,155,0,69,0
2021-02-12,Chitradurga,6,14825,31,14626,130,0,69,0
2021-02-13,Chitradurga,10,14835,36,14662,104,0,69,0
2021-02-14,Chitradurga,6,14841,23,14685,87,0,69,0
2021-02-15,Chitradurga,4,14845,13,14698,78,0,69,0
2021-02-16,Chitradurga,11,14856,8,14706,81,0,69,0
2021-02-17,Chitradurga,2,14858,10,14716,73,0,69,0
2021-02-18,Chitradurga,3,14861,7,14723,69,0,69,0
2021-02-19,Chitradurga,2,14863,8,14731,63,0,69,0
2021-02-20,Chitradurga,5,14868,2,14733,66,0,69,0
2021-02-21,Chitradurga,7,14875,1,14734,72,0,69,0
2021-02-22,Chitradurga,9,14884,2,14736,79,0,69,0
2021-02-23,Chitradurga,3,14887,3,14739,79,0,69,0
2021-02-24,Chitradurga,5,14892,6,14745,78,0,69,0
2021-02-25,Chitradurga,4,14896,10,14755,72,0,69,0
2021-02-26,Chitradurga,7,14903,3,14758,76,0,69,0
2021-02-27,Chitradurga,4,14907,7,14765,73,0,69,0
2021-02-28,Chitradurga,6,14913,5,14770,74,0,69,0
2021-03-01,Chitradurga,8,14921,6,14776,76,0,69,0
2021-03-02,Chitradurga,11,14932,4,14780,83,0,69,0
2021-03-03,Chitradurga,7,14939,6,14786,84,0,69,0
2021-03-04,Chitradurga,6,14945,8,14794,82,0,69,0
2021-03-05,Chitradurga,4,14949,11,14805,75,0,69,0
2021-03-06,Chitradurga,7,14956,7,14812,75,0,69,0
2021-03-07,Chitradurga,1,14957,6,14818,70,0,69,0
2021-03-08,Chitradurga,6,14963,4,14822,72,0,69,0
2021-03-09,Chitradurga,5,14968,6,14828,71,0,69,0
2021-03-10,Chitradurga,6,14974,1,14829,76,0,69,0
2021-03-11,Chitradurga,8,14982,6,14835,78,0,69,0
2021-03-12,Chitradurga,1,14983,5,14840,74,0,69,0
2021-03-13,Chitradurga,4,14987,1,14841,77,0,69,0
2021-03-14,Chitradurga,5,14992,8,14849,74,0,69,0
2021-03-15,Chitradurga,8,15000,6,14855,76,0,69,0
2021-03-16,Chitradurga,11,15011,4,14859,83,0,69,0
2021-03-17,Chitradurga,7,15018,5,14864,85,0,69,0
2021-03-18,Chitradurga,4,15022,8,14872,81,0,69,0
2021-03-19,Chitradurga,16,15038,11,14883,86,0,69,0
2021-03-20,Chitradurga,5,15043,7,14890,84,0,69,0
2021-03-21,Chitradurga,3,15046,3,14893,84,0,69,0
2021-03-22,Chitradurga,6,15052,10,14903,80,0,69,0
2021-03-23,Chitradurga,7,15059,4,14907,83,0,69,0
2021-03-24,Chitradurga,13,15072,3,14910,93,0,69,0
2021-03-25,Chitradurga,5,15077,4,14914,94,0,69,0
2021-03-26,Chitradurga,20,15097,7,14921,107,0,69,0
2021-03-27,Chitradurga,9,15106,21,14942,95,0,69,0
2021-03-28,Chitradurga,12,15118,18,14960,89,0,69,0
2021-03-29,Chitradurga,5,15123,22,14982,72,0,69,0
2021-03-30,Chitradurga,19,15142,23,15005,68,0,69,0
2021-03-31,Chitradurga,12,15154,13,15018,67,0,69,0
2021-04-01,Chitradurga,28,15182,10,15028,85,0,69,0
2021-04-02,Chitradurga,22,15204,10,15038,97,0,69,0
2021-04-03,Chitradurga,14,15218,11,15049,100,0,69,0
2021-04-04,Chitradurga,29,15247,24,15073,105,0,69,0
2021-04-05,Chitradurga,27,15274,21,15094,111,0,69,0
2021-04-06,Chitradurga,21,15295,10,15104,122,0,69,0
2021-04-07,Chitradurga,20,15315,30,15134,112,0,69,0
2021-04-08,Chitradurga,24,15339,19,15153,117,0,69,0
2021-04-09,Chitradurga,42,15381,34,15187,124,1,70,0
2021-04-10,Chitradurga,59,15440,33,15220,150,0,70,0
2021-04-11,Chitradurga,33,15473,23,15243,160,0,70,0
2021-04-12,Chitradurga,22,15495,43,15286,139,0,70,0
2021-04-13,Chitradurga,45,15540,51,15337,133,0,70,0
2021-04-14,Chitradurga,17,15557,26,15363,124,0,70,0
2021-04-15,Chitradurga,33,15590,17,15380,140,0,70,0
2021-04-16,Chitradurga,57,15647,8,15388,189,0,70,0
2021-04-17,Chitradurga,80,15727,14,15402,255,0,70,0
2021-04-18,Chitradurga,102,15829,7,15409,350,0,70,0
2021-04-19,Chitradurga,74,15903,23,15432,401,0,70,0
2021-04-20,Chitradurga,121,16024,11,15443,511,0,70,0
2021-04-21,Chitradurga,118,16142,18,15461,611,0,70,0
2021-04-22,Chitradurga,142,16284,65,15526,688,0,70,0
2021-04-23,Chitradurga,133,16417,66,15592,755,0,70,0
2021-04-24,Chitradurga,114,16531,58,15650,811,0,70,0
2021-04-25,Chitradurga,100,16631,49,15699,861,1,71,0
2021-04-26,Chitradurga,104,16735,84,15783,881,0,71,0
2021-04-27,Chitradurga,145,16880,98,15881,928,0,71,0
2021-04-28,Chitradurga,110,16990,55,15936,982,1,72,0
2021-04-29,Chitradurga,126,17116,62,15998,1044,2,74,0
2021-04-30,Chitradurga,144,17260,66,16064,1122,0,74,0
2021-05-01,Chitradurga,103,17363,52,16116,1170,3,77,0
2021-05-02,Chitradurga,152,17515,75,16191,1247,0,77,0
2021-05-03,Chitradurga,151,17666,70,16261,1324,4,81,0
2021-05-04,Chitradurga,215,17881,39,16300,1498,2,83,0
2021-05-05,Chitradurga,152,18033,59,16359,1590,1,84,0
2021-05-06,Chitradurga,126,18159,76,16435,1640,0,84,0
2021-05-07,Chitradurga,126,18285,89,16524,1677,0,84,0
2021-05-08,Chitradurga,166,18451,141,16665,1701,1,85,0
2021-05-09,Chitradurga,111,18562,107,16772,1704,1,86,0
2021-05-10,Chitradurga,172,18734,127,16899,1747,2,88,0
2021-05-11,Chitradurga,193,18927,101,17000,1834,5,93,0
2021-05-12,Chitradurga,192,19119,117,17117,1907,2,95,0
2021-05-13,Chitradurga,292,19411,157,17274,2041,1,96,0
2021-05-14,Chitradurga,314,19725,80,17354,2273,2,98,0
2021-05-15,Chitradurga,454,20179,207,17561,2516,4,102,0
2021-05-16,Chitradurga,640,20819,141,17702,3011,4,106,0
2021-05-17,Chitradurga,407,21226,138,17840,3279,1,107,0
2021-05-18,Chitradurga,436,21662,162,18002,3552,1,108,0
2021-05-19,Chitradurga,422,22084,131,18133,3840,3,111,0
2021-05-20,Chitradurga,568,22652,155,18288,4249,4,115,0
2021-05-21,Chitradurga,838,23490,190,18478,4895,2,117,0
2021-05-22,Chitradurga,722,24212,202,18680,5414,1,118,0
2021-05-23,Chitradurga,365,24577,231,18911,5543,5,123,0
2021-05-24,Chitradurga,541,25118,373,19284,5706,5,128,0
2021-05-25,Chitradurga,392,25510,489,19773,5609,0,128,0
2021-05-26,Chitradurga,431,25941,453,20226,5584,3,131,0
