Date,District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
2020-07-01,Dakshina Kannada,84,825,17,402,408,0,13,2
2020-07-02,Dakshina Kannada,90,915,34,436,461,3,16,2
2020-07-03,Dakshina Kannada,97,1012,51,487,507,0,16,2
2020-07-04,Dakshina Kannada,75,1087,26,513,552,4,20,2
2020-07-05,Dakshina Kannada,147,1234,36,549,663,0,20,2
2020-07-06,Dakshina Kannada,34,1268,75,624,620,2,22,2
2020-07-07,Dakshina Kannada,83,1351,26,650,677,0,22,2
2020-07-08,Dakshina Kannada,183,1534,0,650,859,1,23,2
2020-07-10,Dakshina Kannada,139,1840,46,732,1075,8,31,2
2020-07-11,Dakshina Kannada,186,2026,14,746,1242,5,36,2
2020-07-12,"Dakshina
Kannada",196,2222,14,760,1419,5,41,2
2020-07-13,"Dakshina
Kannada",131,2353,61,821,1489,0,41,2
2020-07-14,"Dakshina
Kannada",91,2444,65,886,1511,4,45,2
2020-07-15,"Dakshina
Kannada",76,2520,21,907,1566,0,45,2
2020-07-16,"Dakshina
Kannada",238,2758,39,946,1758,7,52,2
2020-07-17,"Dakshina
Kannada",39,2797,92,1038,1704,1,53,2
2020-07-19,"Dakshina
Kannada",285,3591,90,1151,2377,1,61,2
2020-07-20,Dakshina Kannada,89,3680,0,1151,2459,7,68,2
2020-07-21,"Dakshina
Kannada",149,3829,29,1180,2574,5,73,2
2020-07-22,Dakshina Kannada,162,3991,51,1231,2682,3,76,2
2020-07-23,Dakshina Kannada,218,4209,301,1532,2592,7,83,2
2020-07-24,Dakshina Kannada,180,4389,239,1771,2527,6,89,2
2020-07-25,Dakshina Kannada,218,4607,140,1911,2597,8,97,2
2020-07-26,Dakshina Kannada,199,4806,147,2058,2642,7,104,2
2020-07-27,Dakshina Kannada,119,4925,80,2138,2672,9,113,2
2020-07-28,Dakshina Kannada,173,5098,200,2338,2642,3,116,2
2020-07-29,Dakshina Kannada,208,5306,118,2456,2725,7,123,2
2020-07-30,Dakshina Kannada,198,5504,105,2561,2811,7,130,2
2020-07-31,Dakshina Kannada,204,5708,70,2626,2940,10,140,2
2020-08-01,Dakshina Kannada,139,5847,54,2680,3017,8,148,2
2020-08-02,Dakshina Kannada,163,6010,45,2725,3125,10,158,2
2020-08-03,Dakshina Kannada,153,6163,124,2849,3147,7,165,2
2020-08-04,Dakshina Kannada,225,6388,73,2918,3290,13,178,2
2020-08-05,Dakshina Kannada,149,6537,82,3000,3347,10,188,2
2020-08-06,Dakshina Kannada,173,6710,107,3107,3402,11,199,2
2020-08-07,Dakshina Kannada,166,6876,188,3295,3373,7,206,2
2020-08-08,Dakshina Kannada,194,7070,183,3478,3378,6,212,2
2020-08-09,Dakshina Kannada,132,7202,195,3673,3309,6,218,2
2020-08-10,"Dakshina
Kannada",146,7348,533,4206,2914,8,226,2
2020-08-11,Dakshina Kannada,243,7591,519,4725,2629,9,235,2
2020-08-12,Dakshina Kannada,229,7820,498,5223,2353,7,242,2
2020-08-13,Dakshina Kannada,246,8066,641,5864,1952,6,248,2
2020-08-14,Dakshina Kannada,307,8373,242,6106,2011,6,254,2
2020-08-15,Dakshina Kannada,271,8644,202,6308,2074,6,260,2
2020-08-16,Dakshina Kannada,229,8873,128,6436,2168,7,267,2
2020-08-17,Dakshina Kannada,144,9017,209,6645,2095,8,275,2
2020-08-18,Dakshina Kannada,279,9296,173,6818,2192,9,284,2
2020-08-19,Dakshina Kannada,234,9530,115,6933,2307,4,288,2
2020-08-20,Dakshina Kannada,177,9707,187,7120,2291,6,294,2
2020-08-21,Dakshina Kannada,202,9909,64,7184,2424,5,299,2
