Date,District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
2020-07-01,Dharwada,35,380,0,180,192,0,8,0
2020-07-02,Dharwada,47,427,0,180,239,0,8,0
2020-07-03,Dharwada,38,465,20,200,257,0,8,0
2020-07-04,Dharwada,45,510,9,209,290,3,11,0
2020-07-05,Dharwada,45,555,22,231,312,1,12,0
2020-07-06,Dharwada,56,611,22,253,346,0,12,0
2020-07-07,Dharwada,57,668,0,253,402,1,13,0
2020-07-08,Dharwada,89,757,23,276,461,7,20,0
2020-07-10,Dharwada,50,882,13,306,547,9,29,0
2020-07-11,Dharwada,77,959,12,318,609,3,32,0
2020-07-12,Dharwada,129,1088,64,382,673,1,33,0
2020-07-13,Dharwada,71,1159,36,418,703,5,38,0
2020-07-14,Dharwada,100,1259,32,450,770,1,39,0
2020-07-15,Dharwada,139,1398,32,482,872,5,44,0
2020-07-16,Dharwada,176,1574,42,524,1006,0,44,0
2020-07-17,Dharwada,157,1731,69,593,1086,8,52,0
2020-07-19,Dharwada,126,2043,34,677,1304,4,62,0
2020-07-20,Dharwada,200,2243,33,710,1465,6,68,0
2020-07-21,Dharwada,84,2327,0,710,1544,5,73,0
2020-07-22,Dharwada,158,2485,135,845,1562,5,78,0
2020-07-23,Dharwada,183,2668,76,921,1667,2,80,0
2020-07-24,Dharwada,174,2842,52,973,1784,5,85,0
2020-07-25,Dharwada,183,3025,193,1166,1770,4,89,0
2020-07-26,Dharwada,165,3190,56,1222,1873,6,95,0
2020-07-27,Dharwada,193,3383,55,1277,2003,8,103,0
2020-07-28,Dharwada,173,3556,56,1333,2114,6,109,0
2020-07-29,Dharwada,175,3731,180,1513,2102,7,116,0
2020-07-30,Dharwada,180,3911,152,1665,2122,8,124,0
2020-07-31,Dharwada,180,4091,64,1729,2231,7,131,0
2020-08-01,Dharwada,184,4275,50,1779,2357,8,139,0
2020-08-02,Dharwada,181,4456,67,1846,2463,8,147,0
2020-08-03,Dharwada,191,4647,88,1934,2558,8,155,0
2020-08-04,Dharwada,188,4835,293,2226,2446,8,163,0
2020-08-05,Dharawada,199,5034,279,2505,2365,1,164,0
2020-08-06,Dharawada,212,5246,341,2846,2228,8,172,0
2020-08-07,Dharawada,266,5512,121,2967,2364,9,181,0
2020-08-08,Dharawada,261,5773,183,3150,2436,6,187,0
2020-08-09,Dharawada,196,5969,91,3241,2535,6,193,0
2020-08-10,Dharawada,157,6126,275,3516,2413,4,197,0
2020-08-11,Dharwada,276,6402,436,3952,2244,9,206,0
2020-08-12,Dharawada,269,6671,234,4186,2277,2,208,0
