Date,District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
2020-07-01,Gadag,2,178,7,60,115,0,3,0
2020-07-02,Gadag,2,180,9,69,107,1,4,0
2020-07-03,Gadag,19,199,12,81,114,0,4,0
2020-07-04,Gadag,4,203,3,84,115,0,4,0
2020-07-05,Gadag,7,210,0,84,122,0,4,0
2020-07-06,Gadag,18,228,44,128,96,0,4,0
2020-07-07,Gadag,4,232,9,137,91,0,4,0
2020-07-08,Gadag,5,237,26,163,70,0,4,0
2020-07-10,Gadag,19,262,0,163,93,2,6,0
2020-07-11,Gadag,40,302,0,163,130,3,9,0
2020-07-12,Gadag,14,316,10,173,134,0,9,0
2020-07-13,Gadag,6,322,5,178,134,1,10,0
2020-07-14,Gadag,9,331,0,178,143,0,10,0
2020-07-15,Gadag,39,370,16,194,167,0,9,0
2020-07-16,Gadag,44,414,14,208,197,0,9,0
2020-07-17,Gadag,59,473,2,210,253,1,10,0
2020-07-19,Gadag,30,585,6,226,345,4,14,0
2020-07-20,Gadag,31,616,0,226,376,0,14,0
2020-07-21,Gadag,15,631,21,247,369,1,15,0
2020-07-22,Gadag,71,702,39,286,401,0,15,0
2020-07-23,Gadag,72,774,3,289,468,2,17,0
2020-07-24,Gadag,108,882,11,300,563,2,19,0
2020-07-25,Gadag,61,943,28,328,595,1,20,0
2020-07-26,Gadag,61,1004,26,354,628,2,22,0
2020-07-27,Gadag,63,1067,28,382,662,1,23,0
2020-07-28,Gadag,73,1140,56,438,677,2,25,0
2020-07-29,Gadag,61,1201,10,448,725,3,28,0
2020-07-30,Gadag,88,1289,19,467,793,1,29,0
2020-07-31,Gadag,92,1381,24,490,859,3,32,0
2020-08-01,Gadag,99,1480,43,533,913,2,34,0
2020-08-02,Gadag,88,1568,6,539,992,3,37,0
2020-08-03,Gadag,100,1668,40,578,1051,2,39,0
2020-08-04,Gadag,96,1764,55,633,1091,1,40,0
2020-08-05,Gadaga,78,1842,108,741,1060,1,41,0
2020-08-06,Gadag,124,1966,152,893,1030,2,43,0
2020-08-07,Gadaga,105,2071,75,968,1058,2,45,0
2020-08-08,Gadaga,94,2165,78,1046,1073,1,46,0
2020-08-09,Gadaga,114,2279,86,1132,1100,1,47,0
2020-08-10,Gadaga,42,2321,100,1232,1040,2,49,0
2020-08-11,Gadag,78,2399,89,1321,1027,2,51,0
2020-08-12,Gadaga,148,2547,75,1396,1099,1,52,0
2020-08-13,Gadag,98,2645,50,1446,1147,0,52,0
2020-08-14,Gadag,190,2835,211,1657,1125,1,53,0
2020-08-15,Gadag,142,2977,101,1758,1164,2,55,0
2020-08-16,Gadaga,79,3056,70,1828,1171,2,57,0
2020-08-17,Gadag,99,3155,104,1932,1166,0,57,0
2020-08-18,Gadag,186,3341,206,2138,1144,2,59,0
2020-08-19,Gadag,149,3490,167,2305,1124,2,61,0
2020-08-20,Gadag,114,3604,151,2456,1086,1,62,0
2020-08-21,Gadag,174,3778,179,2635,1080,1,63,0
2020-08-22,Gadag,116,3894,121,2756,1073,2,65,0
2020-08-23,Gadag,182,4076,100,2856,1155,0,65,0
2020-08-24,Gadag,141,4217,102,2958,1193,1,66,0
2020-08-25,Gadag,175,4392,164,3122,1203,1,67,0
2020-08-26,Gadag,124,4516,111,3233,1214,2,69,0
2020-08-27,Gadag,110,4626,78,3311,1244,2,71,0
2020-08-28,Gadag,169,4795,68,3379,1342,3,74,0
2020-08-29,Gadag,181,4976,131,3510,1391,1,75,0
2020-08-30,Gadag,196,5172,134,3644,1450,3,78,0
2020-08-31,Gadag,178,5350,100,3744,1527,1,79,0
2020-09-01,Gadag,194,5544,73,3817,1646,2,81,0
2020-09-02,Gadag,195,5739,192,4009,1646,3,84,0
2020-09-03,Gadag,183,5922,150,4159,1676,3,87,0
2020-09-04,Gadag,186,6108,165,4324,1695,2,89,0
2020-09-06,Gadag,194,6497,181,4704,1699,2,94,0
2020-09-07,Gadag,87,6584,198,4903,1585,2,96,0
2020-09-08,Gadag,196,6780,130,5033,1649,2,98,0
2020-09-09,Gadag,155,6935,155,5188,1647,2,100,0
2020-09-10,Gadag,180,7115,153,5341,1672,2,102,0
2020-09-11,Gadag,195,7310,530,5871,1335,2,104,0
2020-09-12,Gadag,49,7359,206,6077,1177,1,105,0
2020-09-13,Gadag,198,7557,192,6269,1181,2,107,0
2020-09-14,Gadag,96,7653,184,6453,1091,2,109,0
2020-09-15,Gadag,39,7692,129,6582,999,2,111,0
2020-09-16,Gadag,108,7800,0,6582,1107,0,111,0
2020-09-17,Gadag,69,7869,193,6775,981,2,113,0
2020-09-18,Gadag,31,7900,182,6957,828,2,115,0
2020-09-19,Gadag,391,8291,259,7216,960,0,115,0
2020-09-20,Gadag,75,8366,150,7366,881,4,119,0
2020-09-21,Gadag,81,8447,112,7478,846,4,123,0
2020-09-22,Gadag,134,8581,92,7570,886,2,125,0
2020-09-23,Gadag,59,8640,125,7695,820,0,125,0
2020-09-24,Gadag,54,8694,63,7758,811,0,125,0
2020-09-25,Gadag,78,8772,82,7840,805,2,127,0
2020-09-26,Gadag,44,8816,95,7935,753,1,128,0
2020-09-27,Gadag,61,8877,119,8054,694,1,129,0
2020-09-28,Gadag,61,8938,142,8196,613,0,129,0
2020-09-29,Gadag,111,9049,95,8291,628,1,130,0
2020-09-30,Gadag,67,9116,112,8403,582,1,131,0
2020-10-01,Gadag,146,9262,94,8497,634,0,131,0
2020-10-02,Gadag,80,9342,59,8556,655,0,131,0
2020-10-03,Gadag,32,9374,70,8626,616,1,132,0
2020-10-04,Gadag,110,9484,75,8701,651,0,132,0
2020-10-05,Gadag,51,9535,73,8774,627,2,134,0
2020-10-06,Gadag,93,9628,52,8826,667,1,135,0
2020-10-07,Gadag,72,9700,63,8889,676,0,135,0
2020-10-08,Gadag,42,9742,111,9000,607,0,135,0
2020-10-09,Gadag,68,9810,84,9084,590,1,136,0
2020-10-10,Gadag,32,9842,82,9166,539,1,137,0
2020-10-11,Gadag,60,9902,79,9245,520,0,137,0
2020-10-12,Gadag,26,9928,71,9316,474,1,138,0
2020-10-13,Gadag,66,9994,73,9389,467,0,138,0
2020-10-14,Gadag,41,10035,69,9458,438,1,139,0
2020-10-15,Gadag,40,10075,56,9514,422,0,139,0
2020-10-16,Gadag,45,10120,52,9566,415,0,139,0
2020-10-17,Gadag,49,10169,63,9629,400,1,140,0
2020-10-18,Gadag,53,10222,49,9678,404,0,140,0
2020-10-19,Gadag,19,10241,42,9720,381,0,140,0
2020-10-20,Gadag,38,10279,45,9765,374,0,140,0
2020-10-21,Gadag,40,10319,49,9814,365,0,140,0
2020-10-22,Gadag,37,10356,48,9862,354,0,140,0
2020-10-24,Gadag,14,10382,33,9944,298,0,140,0
2020-10-25,Gadag,22,10404,35,9979,285,0,140,0
2020-10-26,Gadag,4,10408,41,10020,248,0,140,0
2020-10-27,Gadag,15,10423,33,10053,230,0,140,0
2020-10-28,Gadag,22,10445,23,10076,229,0,140,0
2020-10-29,Gadag,12,10457,41,10117,200,0,140,0
2020-10-30,Gadag,17,10474,11,10128,205,1,141,0
2020-10-31,Gadag,23,10497,18,10146,210,0,141,0
2020-12-01,Gadag,4,10750,19,10565,44,0,141,0
2020-12-02,Gadag,9,10759,2,10567,51,0,141,0
2020-12-03,Gadag,10,10769,3,10570,58,0,141,0
2020-12-04,Gadag,5,10774,8,10578,55,0,141,0
2020-12-05,Gadag,11,10785,11,10589,55,0,141,0
2020-12-06,Gadag,8,10793,3,10592,60,0,141,0
2020-12-07,Gadag,12,10805,5,10597,67,0,141,0
2020-12-08,Gadag,7,10812,6,10603,68,0,141,0
2020-12-09,Gadag,3,10815,4,10607,67,0,141,0
2020-12-10,Gadag,3,10818,6,10613,64,0,141,0
2020-12-11,Gadag,2,10820,8,10621,58,0,141,0
2020-12-12,Gadag,6,10826,11,10632,53,0,141,0
2020-12-13,Gadag,0,10826,4,10636,49,0,141,0
2020-12-14,Gadag,2,10828,6,10642,45,0,141,0
2020-12-15,Gadag,8,10836,11,10653,42,0,141,0
2020-12-16,Gadag,7,10843,12,10665,37,0,141,0
2020-12-17,Gadag,6,10849,14,10679,29,0,141,0
2020-12-18,Gadag,2,10851,4,10683,27,0,141,0
2020-12-19,Gadag,4,10855,3,10686,28,0,141,0
2020-12-20,Gadag,6,10861,5,10691,29,0,141,0
