Date,District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
2020-07-01,Hassana,28,425,0,244,177,0,4,0
2020-07-02,Hassana,15,440,0,244,191,1,5,0
2020-07-03,Hassana,13,453,9,253,194,1,6,0
2020-07-04,Hassana,25,478,0,253,218,1,7,0
2020-07-05,Hassana,14,492,0,253,231,1,8,0
2020-07-06,Hassana,49,541,0,253,279,1,9,0
2020-07-07,Hassana,26,567,20,273,284,1,10,0
2020-07-08,Hassana,26,593,97,370,210,3,13,0
2020-07-10,Hassana,6,620,0,386,219,2,15,0
2020-07-11,Hassana,34,654,0,386,251,2,17,0
2020-07-12,Hassana,31,685,34,420,245,3,20,0
2020-07-13,Hassana,25,710,0,420,269,1,21,0
2020-07-14,Hassana,4,714,17,437,255,1,22,0
2020-07-15,Hassana,25,739,14,451,266,0,22,0
2020-07-16,Hassana,31,770,29,480,266,2,24,0
2020-07-17,Hassana,21,791,14,494,273,0,24,0
2020-07-19,Hassana,43,885,10,550,309,2,26,0
2020-07-20,Hassana,67,952,17,567,358,1,27,0
2020-07-21,Hassana,107,1059,15,582,447,3,30,0
2020-07-22,Hassana,72,1131,27,609,489,3,33,0
2020-07-23,Hassan,108,1239,24,633,571,2,35,0
2020-07-24,Hassana,118,1357,66,699,621,2,37,0
2020-07-25,Hassana,151,1508,54,753,716,2,39,0
2020-07-26,Hassana,164,1672,0,753,877,3,42,0
2020-07-27,Hassana,66,1738,58,811,884,1,43,0
2020-07-28,Hassana,108,1846,33,844,954,5,48,0
2020-07-29,Hassana,95,1941,0,844,1045,4,52,0
2020-07-30,Hassana,94,2035,21,865,1112,6,58,0
2020-07-31,Hassana,100,2135,20,884,1192,1,59,0
2020-08-01,Hassana,146,2281,0,884,1336,2,61,0
2020-08-02,Hassana,142,2423,135,1019,1341,2,63,0
2020-08-03,Hassana,131,2554,0,1019,1467,5,68,0
2020-08-04,Hassana,188,2742,44,1063,1609,2,70,0
2020-08-05,Hassana,137,2879,82,1145,1662,2,72,0
2020-08-06,Hassana,158,3037,15,1160,1801,4,76,0
2020-08-07,Hassana,138,3175,11,1171,1919,9,85,0
2020-08-08,Hassana,133,3308,0,1171,2046,6,91,0
2020-08-09,Hassana,168,3476,52,1223,2155,7,98,0
2020-08-10,Hassana,126,3602,86,1309,2189,6,104,0
2020-08-11,Hassana,146,3748,136,1445,2196,3,107,0
2020-08-12,Hassana,258,4006,160,1605,2288,6,113,0
2020-08-13,Hassana,129,4135,572,2177,1843,2,115,0
2020-08-14,Hassana,158,4293,139,2316,1860,2,117,0
2020-08-15,Hassana,154,4447,124,2440,1886,4,121,0
2020-08-16,Hassana,145,4592,309,2749,1720,2,123,0
