Date,District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
2020-07-01,Haveri,0,119,0,25,92,0,2,0
2020-07-02,Haveri,4,123,8,33,88,0,2,0
2020-07-03,Haveri,1,124,2,35,87,0,2,0
2020-07-04,Haveri,28,152,2,37,113,0,2,0
2020-07-05,Haveri,15,167,0,37,128,0,2,0
2020-07-06,Haveri,9,176,0,37,137,0,2,0
2020-07-07,Haveri,6,182,21,58,122,0,2,0
2020-07-08,Haveri,31,213,8,66,145,0,2,0
2020-07-10,Haveri,42,273,0,114,156,1,3,0
2020-07-11,Haveri,16,289,4,118,167,1,4,0
2020-07-12,Haveri,12,301,19,137,158,2,6,0
2020-07-13,Haveri,6,307,33,170,130,1,7,0
2020-07-14,Haveri,0,307,12,182,118,0,7,0
2020-07-15,Haveri,6,313,0,182,124,0,7,0
2020-07-16,Haveri,18,331,62,244,80,0,7,0
2020-07-17,Haveri,58,389,31,275,107,0,7,0
2020-07-19,Haveri,54,458,4,292,155,2,11,0
2020-07-20,Haveri,36,494,0,292,190,1,12,0
2020-07-21,Haveri,39,533,0,292,226,3,15,0
2020-07-22,Haveri,50,583,0,292,272,4,19,0
2020-07-23,Haveri,18,601,34,326,255,1,20,0
2020-07-24,Haveri,59,660,62,388,251,1,21,0
2020-07-25,Haveri,52,712,64,452,237,2,23,0
2020-07-26,Haveri,47,759,5,457,279,0,23,0
2020-07-27,Haveri,27,786,23,480,282,1,24,0
2020-07-28,Haveri,40,826,21,501,301,0,24,0
2020-07-29,Haveri,50,876,2,503,349,0,24,0
2020-07-30,Haveri,58,934,18,521,388,1,25,0
2020-07-31,Haveri,57,991,34,553,413,0,25,0
2020-08-01,Haveri,52,1043,12,565,453,0,25,0
2020-08-02,Haveri,146,1189,34,599,565,0,25,0
2020-08-03,Haveri,99,1288,53,652,609,2,27,0
2020-08-04,Haveri,157,1445,16,668,749,1,28,0
2020-08-05,Haveri,71,1516,39,707,779,2,30,0
2020-08-06,Haveri,64,1580,111,818,731,1,31,0
2020-08-07,Haveri,90,1670,92,910,728,1,32,0
2020-08-08,Haveri,95,1765,43,953,778,2,34,0
2020-08-09,Haveri,80,1845,68,1021,789,1,35,0
2020-08-10,Haveri,45,1890,76,1097,755,3,38,0
2020-08-11,Haveri,36,1926,39,1136,749,3,41,0
2020-08-12,Haveri,132,2058,142,1278,738,1,42,0
2020-08-13,Haveri,96,2154,191,1469,640,3,45,0
2020-08-14,Haveri,138,2292,25,1494,751,2,47,0
2020-08-15,Haveri,116,2408,34,1528,831,2,49,0
2020-08-16,Haveri,76,2484,98,1626,807,2,51,0
2020-08-17,Haveri,43,2527,32,1658,814,4,55,0
2020-08-18,Haveri,109,2636,55,1713,865,3,58,0
2020-08-19,Haveri,137,2773,29,1742,970,3,61,0
