Date,District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
2020-07-01,Kalaburagi,14,1450,8,1103,329,0,18,0
2020-07-02,Kalaburagi,38,1488,23,1126,343,1,19,0
2020-07-03,Kalaburagi,72,1560,17,1143,395,3,22,0
2020-07-04,Kalaburagi,37,1597,46,1189,383,3,25,0
2020-07-05,Kalaburagi,49,1646,52,1241,378,2,27,0
2020-07-06,Kalaburagi,53,1699,69,1310,362,0,27,0
2020-07-07,Kalaburagi,51,1750,19,1329,392,2,29,0
2020-07-08,Kalaburagi,66,1816,22,1351,435,1,30,0
2020-07-10,Kalaburagi,58,1959,52,1444,481,4,34,0
2020-07-11,Kalaburagi,65,2024,16,1460,528,2,36,0
2020-07-12,Kalaburagi,79,2103,17,1477,590,0,36,0
2020-07-13,Kalaburagi,89,2192,29,1506,650,0,36,0
2020-07-14,Kalaburagi,121,2313,13,1519,757,1,37,0
2020-07-15,Kalaburagi,67,2380,1,1520,823,0,37,0
2020-07-16,Kalaburagi,123,2503,5,1525,940,1,38,0
2020-07-17,Kalaburagi,89,2592,42,1567,987,0,38,0
2020-07-19,Kalaburagi,69,2743,80,1771,926,3,46,0
2020-07-20,Kalaburagi,124,2867,55,1826,993,2,48,0
2020-07-21,Kalaburagi,99,2966,8,1834,1084,0,48,0
2020-07-22,Kalaburagi,175,3141,47,1881,1211,1,49,0
2020-07-23,Kalaburagi,229,3370,14,1895,1426,0,49,0
2020-07-24,Kalaburagi,159,3529,26,1921,1554,5,54,0
2020-07-25,Kalaburagi,183,3712,145,2066,1588,4,58,0
2020-07-26,Kalaburagi,152,3864,132,2198,1602,6,64,0
2020-07-27,Kalaburagi,631,4495,73,2271,2158,2,66,0
2020-07-28,Kalaburagi,283,4778,39,2310,2396,6,72,0
2020-07-29,Kalaburagi,168,4946,119,2429,2435,10,82,0
2020-07-30,Kalaburagi,220,5166,124,2553,2524,7,89,0
2020-07-31,Kalaburagi,144,5310,148,2702,2513,6,95,0
2020-08-01,Kalaburagi,219,5529,130,2832,2597,5,100,0
2020-08-02,Kalaburagi,238,5767,117,2949,2712,6,106,0
2020-08-03,Kalaburagi,170,5937,369,3318,2508,5,111,0
2020-08-04,Kalaburagi,285,6222,152,3470,2639,2,113,0
2020-08-05,Kalaburagi,197,6419,353,3823,2479,4,117,0
2020-08-06,Kalaburagi,196,6615,230,4053,2440,5,122,0
2020-08-07,Kalaburagi,271,6886,203,4256,2501,7,129,0
2020-08-08,Kalaburagi,261,7147,265,4521,2490,7,136,0
2020-08-09,Kalaburagi,194,7341,208,4729,2472,4,140,0
2020-08-10,Kalaburagi,196,7537,108,4837,2559,1,141,0
2020-08-11,Kalaburagi,156,7693,155,4992,2559,1,142,0
2020-08-12,Kalaburagi,144,7837,334,5326,2366,3,145,0
2020-08-13,Kalaburagi,285,8122,448,5774,2194,9,154,0
2020-08-14,Kalaburagi,229,8351,376,6150,2042,5,159,0
2020-08-15,Kalaburagi,189,8540,219,6369,2010,2,161,0
2020-08-16,Kalaburagi,285,8825,322,6691,1971,2,163,0
2020-08-17,Kalaburagi,211,9036,194,6885,1981,7,170,0
2020-08-18,Kalaburagi,229,9265,246,7131,1962,2,172,0
2020-08-19,Kalaburagi,154,9419,247,7378,1866,3,175,0
2020-08-20,Kalaburagi,210,9629,176,7554,1896,4,179,0
2020-08-21,Kalaburagi,145,9774,161,7715,1873,7,186,0
2020-08-22,Kalaburagi,165,9939,198,7913,1838,2,188,0
2020-08-23,Kalaburagi,203,10142,215,8128,1824,2,190,0
2020-08-24,Kalaburagi,176,10318,225,8353,1773,2,192,0
2020-08-25,Kalaburagi,227,10545,189,8542,1808,3,195,0
2020-08-26,Kalaburagi,180,10725,170,8712,1818,0,195,0
2020-08-27,Kalaburagi,232,10957,205,8917,1842,3,198,0
2020-08-28,Kalaburagi,222,11179,87,9004,1975,2,200,0
2020-08-29,Kalaburagi,173,11352,317,9321,1827,4,204,0
2020-08-30,Kalaburagi,199,11551,159,9480,1865,2,206,0
2020-08-31,Kalaburagi,161,11712,38,9518,1984,4,210,0
2020-09-01,Kalaburagi,220,11932,86,9604,2114,4,214,0
2020-09-02,Kalaburagi,194,12126,96,9700,2207,5,219,0
2020-09-03,Kalaburagi,195,12321,140,9840,2261,1,220,0
2020-09-04,Kalaburagi,226,12547,237,10077,2248,2,222,0
2020-09-06,Kalaburagi,165,12910,215,10522,2163,2,225,0
2020-09-07,Kalaburagi,141,13051,241,10772,2050,4,229,0
2020-09-08,Kalaburagi,199,13250,176,10948,2071,2,231,0
2020-09-09,Kalaburagi,241,13491,195,11143,2115,2,233,0
2020-09-10,Kalaburagi,243,13734,234,11377,2122,2,235,0
2020-09-11,Kalaburagi,261,13995,144,11521,2235,4,239,0
2020-09-12,Kalaburagi,222,14217,136,11657,2318,3,242,0
2020-09-13,Kalaburagi,214,14431,165,11822,2367,0,242,0
2020-09-14,Kalaburagi,185,14616,209,12031,2340,3,245,0
2020-09-15,Kalaburagi,144,14760,87,12118,2394,3,248,0
2020-09-16,Kalaburagi,221,14979,0,12118,2613,0,248,0
2020-09-17,Kalaburagi,175,15154,0,12118,2788,0,248,0
2020-09-18,Kalaburagi,179,15333,202,12320,2759,6,254,0
2020-09-19,Kalaburagi,110,15443,352,12672,2514,3,257,0
2020-09-20,Kalaburagi,136,15579,255,12927,2394,1,258,0
2020-09-21,Kalaburagi,151,15730,115,13042,2429,1,259,0
2020-09-22,Kalaburagi,168,15898,417,13459,2177,3,262,0
2020-09-23,Kalaburagi,100,15998,0,13459,2277,0,262,0
2020-09-24,Kalaburagi,85,16083,113,13572,2249,0,262,0
2020-09-25,Kalaburagi,226,16309,65,13637,2407,3,265,0
2020-09-26,Kalaburagi,249,16558,129,13766,2526,1,266,0
2020-09-27,Kalaburagi,10,16568,18,13784,2512,6,272,0
2020-09-28,Kalaburagi,273,16841,119,13903,2664,2,274,0
2020-09-29,Kalaburagi,161,17002,83,13986,2740,2,276,0
2020-09-30,Kalaburagi,97,17099,99,14085,2737,1,277,0
2020-10-01,Kalaburagi,219,17318,96,14181,2860,0,277,0
2020-10-02,Kalaburagi,98,17416,482,14663,2475,1,278,0
2020-10-03,Kalaburagi,107,17523,322,14985,2258,2,280,0
2020-10-04,Kalaburagi,121,17644,57,15042,2320,2,282,0
2020-10-05,Kalaburagi,127,17771,191,15233,2255,1,283,0
2020-10-06,Kalaburagi,103,17874,198,15431,2159,1,284,0
2020-10-07,Kalaburagi,180,18054,204,15635,2134,1,285,0
2020-10-08,Kalaburagi,128,18182,64,15699,2193,5,290,0
2020-10-09,Kalaburagi,144,18326,357,16056,1980,0,290,0
2020-10-10,Kalaburagi,104,18430,81,16137,1999,4,294,0
2020-10-11,Kalaburagi,81,18511,806,16943,1273,1,295,0
2020-10-12,Kalaburagi,127,18638,52,16995,1348,0,295,0
2020-10-13,Kalaburagi,114,18752,61,17056,1400,1,296,0
2020-10-14,Kalaburagi,39,18791,117,17173,1322,0,296,0
2020-10-15,Kalaburagi,42,18833,85,17258,1278,1,297,0
2020-10-16,Kalaburagi,66,18899,231,17489,1112,1,298,0
2020-10-17,Kalaburagi,40,18939,62,17551,1090,0,298,0
2020-10-18,Kalaburagi,67,19006,168,17719,988,1,299,0
2020-10-19,Kalaburagi,75,19081,202,17921,859,2,301,0
2020-10-20,Kalaburagi,67,19148,216,18137,710,0,301,0
2020-10-21,Kalaburagi,83,19231,44,18181,746,3,304,0
2020-10-22,Kalaburagi,55,19286,103,18284,697,1,305,0
2020-10-24,Kalaburagi,71,19419,111,18475,638,1,306,0
2020-10-25,Kalaburagi,62,19481,65,18540,635,0,306,0
2020-10-26,Kalaburagi,37,19518,34,18574,638,0,306,0
2020-10-27,Kalaburagi,31,19549,62,18636,605,2,308,0
2020-10-28,Kalaburagi,29,19578,78,18714,553,3,311,0
2020-10-29,Kalaburagi,35,19613,61,18775,526,1,312,0
2020-10-30,Kalaburagi,50,19663,77,18852,499,0,312,0
2020-10-31,Kalaburagi,32,19695,35,18887,496,0,312,0
2020-12-01,Kalaburagi,8,20475,10,19902,254,0,319,0
2020-12-02,Kalaburagi,26,20501,49,19951,230,1,320,0
2020-12-03,Kalaburagi,26,20527,27,19978,229,0,320,0
2020-12-04,Kalaburagi,19,20546,42,20020,206,0,320,0
2020-12-05,Kalaburagi,15,20561,20,20040,201,0,320,0
2020-12-06,Kalaburagi,23,20584,21,20061,203,0,320,0
2020-12-07,Kalaburagi,27,20611,18,20079,212,0,320,0
2020-12-08,Kalaburagi,24,20635,32,20111,204,0,320,0
2020-12-09,Kalaburagi,12,20647,20,20131,195,1,321,0
2020-12-10,Kalaburagi,26,20673,14,20145,207,0,321,0
2020-12-11,Kalaburagi,17,20690,14,20159,210,0,321,0
2020-12-12,Kalaburagi,13,20703,21,20180,202,0,321,0
2020-12-13,Kalaburagi,11,20714,19,20199,194,0,321,0
2020-12-14,Kalaburagi,12,20726,16,20215,190,0,321,0
2020-12-15,Kalaburagi,20,20746,17,20232,193,0,321,0
2020-12-16,Kalaburagi,30,20776,20,20252,203,0,321,0
2020-12-17,Kalaburagi,13,20789,27,20279,189,0,321,0
