Date,District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
2020-07-01,Kodagu,7,54,0,3,51,0,0,0
2020-07-02,Kodagu,6,60,0,3,57,0,0,0
2020-07-03,Kodagu,16,76,0,3,73,0,0,0
2020-07-04,Kodagu,0,76,0,3,73,0,0,0
2020-07-05,Kodagu,0,76,0,3,73,0,0,0
2020-07-06,Kodagu,2,78,0,3,74,1,1,0
2020-07-07,Kodagu,14,92,0,3,88,0,1,0
2020-07-08,Kodagu,0,92,12,15,76,0,1,0
2020-07-10,Kodagu,33,129,2,17,111,0,1,0
2020-07-11,Kodagu,12,141,0,17,123,0,1,0
2020-07-12,Kodagu,15,156,44,61,94,0,1,0
2020-07-13,Kodagu,29,185,7,68,114,2,3,0
2020-07-14,Kodagu,10,195,0,68,124,0,3,0
2020-07-15,Kodagu,23,218,0,68,147,0,3,0
2020-07-16,Kodagu,18,236,46,114,119,0,3,0
2020-07-17,Kodagu,13,249,0,114,131,1,4,0
2020-07-19,Kodagu,13,272,59,173,94,0,5,0
2020-07-20,Kodagu,8,280,0,173,102,0,5,0
2020-07-21,Kodagu,1,281,9,182,94,0,5,0
2020-07-22,Kodagu,7,288,28,210,73,0,5,0
2020-07-23,Kodagu,22,310,0,210,95,0,5,0
2020-07-24,Kodagu,3,313,26,236,72,0,5,0
2020-07-25,Kodagu,9,322,0,236,81,0,5,0
2020-07-26,Kodagu,20,342,10,246,91,0,5,0
2020-07-27,Kodagu,10,352,7,253,94,0,5,0
2020-07-28,Kodagu,2,354,13,266,82,1,6,0
2020-07-29,Kodagu,8,362,0,266,90,0,6,0
2020-07-30,Kodagu,24,386,0,266,114,0,6,0
2020-07-31,Kodagu,30,416,23,288,119,3,9,0
2020-08-01,Kodagu,35,451,0,288,154,0,9,0
2020-08-02,Kodagu,16,467,0,288,170,0,9,0
2020-08-03,Kodagu,39,506,32,320,177,0,9,0
2020-08-04,Kodagu,31,537,0,320,208,0,9,0
2020-08-05,Kodagu,13,550,19,339,201,1,10,0
2020-08-06,Kodagu,51,601,24,363,228,0,10,0
2020-08-07,Kodagu,27,628,13,376,242,0,10,0
2020-08-08,Kodagu,22,650,21,397,242,1,11,0
2020-08-09,Kodagu,22,672,0,397,264,0,11,0
2020-08-10,Kodagu,29,701,31,428,262,0,11,0
2020-08-11,Kodagu,41,742,29,457,274,0,11,0
2020-08-12,Kodagu,29,771,47,504,256,0,11,0
2020-08-13,Kodagu,55,826,29,533,282,0,11,0
2020-08-14,Kodagu,60,886,44,577,298,0,11,0
2020-08-15,Kodagu,48,934,23,600,323,0,11,0
2020-08-16,Kodagu,25,959,27,627,321,0,11,0
2020-08-17,Kodagu,18,977,1,628,337,1,12,0
2020-08-18,Kodagu,16,993,25,653,328,0,12,0
2020-08-19,Kodagu,38,1031,14,667,352,0,12,0
2020-08-20,Kodagu,46,1077,49,716,347,2,14,0
2020-08-21,Kodagu,65,1142,107,823,303,2,16,0
2020-08-22,Kodagu,24,1166,64,887,263,0,16,0
2020-08-23,Kodagu,15,1181,0,887,278,0,16,0
2020-08-24,Kodagu,35,1216,38,925,275,0,16,0
2020-08-25,Kodagu,8,1224,17,942,266,0,16,0
2020-08-26,Kodagu,26,1250,50,992,242,0,16,0
2020-08-27,Kodagu,25,1275,54,1046,212,1,17,0
2020-08-28,Kodagu,28,1303,24,1070,215,1,18,0
2020-08-29,Kodagu,46,1349,38,1108,222,1,19,0
2020-08-30,Kodagu,65,1414,39,1147,246,2,21,0
2020-08-31,Kodagu,17,1431,2,1149,261,0,21,0
2020-09-01,Kodagu,54,1485,14,1163,301,0,21,0
2020-09-02,Kodagu,25,1510,31,1194,295,0,21,0
2020-09-03,Kodagu,82,1592,18,1212,359,0,21,0
2020-09-04,Kodagu,44,1636,39,1251,364,0,21,0
2020-09-06,Kodagu,38,1702,71,1357,323,1,22,0
2020-09-07,Kodagu,11,1713,18,1347,343,1,23,0
2020-09-08,Kodagu,29,1742,12,1359,360,0,23,0
2020-09-09,Kodagu,60,1802,41,1400,378,1,24,0
2020-09-10,Kodagu,61,1863,18,1418,420,1,25,0
2020-09-11,Kodagu,18,1881,111,1529,326,1,26,0
2020-09-12,Kodagu,27,1908,43,1572,310,0,26,0
2020-09-13,Kodagu,33,1941,24,1596,319,0,26,0
2020-09-14,Kodagu,32,1973,29,1625,321,1,27,0
2020-09-15,Kodagu,72,2045,0,1625,393,0,27,0
2020-09-16,Kodagu,41,2086,0,1625,433,0,28,0
2020-09-17,Kodagu,47,2133,0,1625,480,0,28,0
2020-09-18,Kodagu,44,2177,141,1766,380,3,31,0
2020-09-19,Kodagu,38,2215,34,1800,384,0,31,0
2020-09-20,Kodagu,32,2247,40,1840,376,0,31,0
2020-09-21,Kodagu,13,2260,20,1860,369,0,31,0
2020-09-22,Kodagu,73,2333,69,1929,373,0,31,0
2020-09-23,Kodagu,33,2366,0,1929,406,0,31,0
2020-09-24,Kodagu,2,2368,28,1957,380,0,31,0
2020-09-25,Kodagu,67,2435,46,2003,399,2,33,0
2020-09-26,Kodagu,79,2514,41,2044,437,0,33,0
2020-09-27,Kodagu,53,2567,44,2088,446,0,33,0
2020-09-28,Kodagu,25,2592,28,2116,442,1,34,0
2020-09-29,Kodagu,57,2649,27,2143,470,2,36,0
2020-09-30,Kodagu,96,2745,31,2174,535,0,36,0
2020-10-01,Kodagu,58,2803,11,2185,578,4,40,0
2020-10-02,Kodagu,30,2833,100,2285,508,0,40,0
2020-10-03,Kodagu,37,2870,42,2327,503,0,40,0
2020-10-04,Kodagu,148,3018,38,2365,609,4,44,0
2020-10-05,Kodagu,47,3065,104,2469,551,1,45,0
2020-10-06,Kodagu,83,3148,4,2473,630,0,45,0
2020-10-07,Kodagu,103,3251,55,2528,677,1,46,0
2020-10-08,Kodagu,94,3345,87,2615,684,0,46,0
2020-10-09,Kodagu,31,3376,199,2814,515,1,47,0
2020-10-10,Kodagu,216,3592,110,2924,619,2,49,0
2020-10-11,Kodagu,40,3632,76,3000,583,0,49,0
2020-10-12,Kodagu,65,3697,63,3063,585,0,49,0
2020-10-13,Kodagu,151,3848,45,3108,688,3,52,0
2020-10-14,Kodagu,160,4008,92,3200,756,0,52,0
2020-10-15,Kodagu,158,4166,130,3330,784,0,52,0
2020-10-16,Kodagu,105,4271,173,3503,713,3,55,0
2020-10-17,Kodagu,77,4348,67,3570,721,2,57,0
2020-10-18,Kodagu,72,4420,47,3617,746,0,57,0
2020-10-19,Kodagu,32,4452,80,3697,696,2,59,0
2020-10-20,Kodagu,24,4476,121,3818,599,0,59,0
2020-10-21,Kodagu,51,4527,88,3906,562,0,59,0
2020-10-22,Kodagu,49,4576,88,3994,522,1,60,0
2020-10-24,Kodagu,33,4646,105,4198,388,0,60,0
2020-10-25,Kodagu,35,4681,73,4271,350,0,60,0
2020-10-26,Kodagu,39,4720,82,4353,306,1,61,0
2020-10-27,Kodagu,43,4763,16,4369,333,0,61,0
2020-10-28,Kodagu,15,4778,55,4424,291,2,63,0
2020-10-29,Kodagu,13,4791,52,4476,252,0,63,0
2020-10-30,Kodagu,48,4839,40,4516,260,0,63,0
2020-10-31,Kodagu,17,4856,70,4586,207,0,63,0
2020-12-01,Kodagu,9,5307,7,5159,80,0,68,0
2020-12-02,Kodagu,7,5314,26,5185,61,0,68,0
2020-12-03,Kodagu,7,5321,14,5199,54,0,68,0
2020-12-04,Kodagu,18,5339,9,5208,63,0,68,0
2020-12-05,Kodagu,18,5357,2,5210,79,0,68,0
2020-12-06,Kodagu,22,5379,8,5218,93,0,68,0
2020-12-07,Kodagu,1,5380,9,5227,85,0,68,0
2020-12-08,Kodagu,5,5385,11,5238,79,0,68,0
2020-12-09,Kodagu,8,5393,14,5252,73,0,68,0
2020-12-10,Kodagu,13,5406,7,5259,79,0,68,0
