Date,District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
2020-07-01,Kolara,5,127,4,57,68,0,2,0
2020-07-02,Kolara,12,139,0,57,80,0,2,0
2020-07-03,Kolara,11,150,5,62,86,0,2,0
2020-07-04,Kolara,11,161,3,65,94,0,2,0
2020-07-05,Kolara,13,174,7,72,100,0,2,0
2020-07-06,Kolara,10,184,10,82,100,0,2,0
2020-07-07,Kolara,6,190,7,89,99,0,2,0
2020-07-08,Kolara,16,206,1,90,114,0,2,0
2020-07-10,Kolara,9,249,0,90,157,0,2,0
2020-07-11,Kolara,12,261,24,114,145,0,2,0
2020-07-12,Kolara,24,285,7,121,162,0,2,0
2020-07-13,Kolara,21,306,0,121,183,0,2,0
2020-07-14,Kolara,11,317,3,124,191,0,2,0
2020-07-15,Kolara,15,332,8,132,198,0,2,0
2020-07-16,Kolara,43,375,0,132,235,6,8,0
2020-07-17,Kolara,51,426,0,132,285,1,9,0
2020-07-19,Kolara,25,486,0,132,340,5,14,0
2020-07-20,Kolara,41,527,52,184,329,0,14,0
2020-07-21,Kolara,103,630,0,184,428,4,18,0
2020-07-22,Kolara,88,718,10,194,505,1,19,0
2020-07-23,Kolara,40,758,50,244,495,0,19,0
2020-07-24,Kolara,36,794,36,280,494,1,20,0
2020-07-25,Kolara,68,862,70,350,492,0,20,0
2020-07-26,Kolara,49,911,8,358,533,0,20,0
2020-07-27,Kolara,142,1053,0,358,673,2,22,0
2020-07-28,Kolara,174,1227,0,358,846,1,23,0
2020-07-29,Kolara,34,1261,0,358,880,0,23,0
2020-07-30,Kolara,32,1293,90,448,820,2,25,0
2020-07-31,Kolara,32,1325,42,490,810,0,25,0
2020-08-01,Kolara,39,1364,0,490,849,0,25,0
2020-08-02,Kolara,51,1415,59,549,841,0,25,0
2020-08-03,Kolara,40,1455,0,549,881,0,25,0
2020-08-04,Kolara,46,1501,38,587,889,0,25,0
2020-08-05,Kolara,49,1550,150,737,784,4,29,0
2020-08-06,Kolara,107,1657,74,811,813,4,33,0
2020-08-07,Kolara,88,1745,43,854,855,3,36,0
2020-08-08,Kolara,57,1802,9,863,903,0,36,0
2020-08-09,Kolara,87,1889,0,863,982,8,44,0
2020-08-10,Kolara,100,1989,38,901,1044,0,44,0
2020-08-11,Kolara,69,2058,26,927,1087,0,44,0
2020-08-12,Kolara,33,2091,51,978,1067,2,46,0
2020-08-13,Kolara,77,2168,39,1017,1105,0,46,0
2020-08-14,Kolara,81,2249,21,1038,1165,0,46,0
2020-08-15,Kolara,55,2304,78,1116,1142,0,46,0
2020-08-16,Kolara,90,2394,160,1276,1072,0,46,0
2020-08-17,Kolara,121,2515,201,1477,992,0,46,0
2020-08-18,Kolara,71,2586,167,1644,896,0,46,0
2020-08-19,Kolara,86,2672,114,1758,868,0,46,0
2020-08-20,Kolara,69,2741,132,1890,804,1,47,0
2020-08-21,Kolara,50,2791,85,1975,767,2,49,0
2020-08-22,Kolara,69,2860,70,2045,766,0,49,0
2020-08-23,Kolara,47,2907,68,2113,743,2,51,0
2020-08-24,Kolara,45,2952,122,2235,666,0,51,0
2020-08-25,Kolara,47,2999,117,2352,594,2,53,0
2020-08-26,Kolara,88,3087,116,2468,563,3,56,0
2020-08-27,Kolara,108,3195,20,2488,651,0,56,0
2020-08-28,Kolara,74,3269,1,2489,721,3,59,0
2020-08-29,Kolara,51,3320,77,2566,692,3,62,0
2020-08-30,Kolara,82,3402,49,2615,725,0,62,0
2020-08-31,Kolara,60,3462,58,2673,726,1,63,0
2020-09-01,Kolara,64,3526,59,2732,730,1,64,0
2020-09-02,Kolara,83,3609,73,2805,740,0,64,0
2020-09-03,Kolara,103,3712,78,2883,765,0,64,0
2020-09-04,Kolara,86,3798,76,2959,774,1,65,0
2020-09-06,Kolara,119,4029,45,3174,789,0,66,0
