Date,District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
2020-07-01,Koppala,13,97,14,41,55,0,1,0
2020-07-02,Koppala,4,101,0,41,58,1,2,0
2020-07-03,Koppala,4,105,26,67,36,0,2,0
2020-07-04,Koppala,3,108,1,68,38,0,2,0
2020-07-05,Koppala,22,130,9,77,51,0,2,0
2020-07-06,Koppala,9,139,0,77,60,0,2,0
2020-07-07,Koppala,5,144,2,79,63,0,2,0
2020-07-08,Koppala,11,155,7,86,67,0,2,0
2020-07-10,Koppala,7,164,1,87,75,0,2,0
2020-07-11,Koppala,23,187,12,99,84,2,4,0
2020-07-12,Koppala,27,214,14,113,96,1,5,0
2020-07-13,Koppala,31,245,0,113,127,0,5,0
2020-07-14,Koppala,98,343,0,113,225,0,5,0
2020-07-15,Koppala,14,357,23,136,216,0,5,0
2020-07-16,Koppala,32,389,38,174,210,0,5,0
2020-07-17,Koppala,30,419,29,203,211,0,5,0
2020-07-19,Koppala,19,451,28,247,195,4,9,0
2020-07-20,Koppala,62,513,37,284,218,2,11,0
2020-07-21,Koppala,45,558,31,315,232,0,11,0
2020-07-22,Koppala,21,579,3,318,250,0,11,0
2020-07-23,Koppala,17,596,29,347,238,0,11,0
2020-07-24,Koppala,39,635,32,379,243,2,13,0
2020-07-25,Koppala,31,666,51,430,221,2,15,0
2020-07-26,Koppala,40,706,29,459,232,0,15,0
2020-07-27,Koppala,28,734,48,507,211,1,16,0
2020-07-28,Koppala,144,878,11,518,343,1,17,0
2020-07-29,Koppala,84,962,49,567,377,1,18,0
2020-07-30,Koppala,78,1040,10,577,444,1,19,0
2020-07-31,Koppala,38,1078,18,595,464,0,19,0
2020-08-01,Koppala,107,1185,71,666,498,2,21,0
2020-08-02,Koppala,87,1272,29,695,554,2,23,0
2020-08-03,Koppala,157,1429,18,713,693,0,23,0
2020-08-04,Koppala,163,1592,33,746,822,1,24,0
2020-08-05,Koppala,154,1746,25,771,948,3,27,0
2020-08-06,Koppala,132,1878,73,844,1007,0,27,0
2020-08-07,Koppala,173,2051,79,923,1098,3,30,0
2020-08-08,Koppala,163,2214,65,988,1195,1,31,0
2020-08-09,Koppala,106,2320,74,1062,1225,2,33,0
2020-08-10,Koppala,110,2430,75,1137,1254,6,39,0
2020-08-11,Koppala,169,2599,82,1219,1338,3,42,0
2020-08-12,Koppala,202,2801,54,1273,1484,2,44,0
2020-08-13,Koppala,148,2949,60,1333,1567,5,49,0
2020-08-14,Koppala,162,3111,213,1546,1511,5,54,0
2020-08-15,Koppala,178,3289,405,1951,1282,2,56,0
2020-08-16,Koppala,211,3500,195,2146,1295,3,59,0
2020-08-17,Koppala,169,3669,217,2363,1243,4,63,0
2020-08-18,Koppala,142,3811,123,2486,1261,1,64,0
2020-08-19,Koppala,133,3944,131,2617,1255,8,72,0
2020-08-20,Koppala,132,4076,143,2760,1237,7,79,0
2020-08-21,Koppala,234,4310,233,2993,1233,5,84,0
2020-08-22,Koppala,170,4480,225,3218,1172,6,90,0
2020-08-23,Koppala,256,4736,177,3395,1246,5,95,0
2020-08-24,Koppala,271,5007,186,3581,1324,7,102,0
2020-08-25,Koppala,238,5245,123,3704,1433,6,108,0
2020-08-26,Koppala,158,5403,117,3821,1468,6,114,0
2020-08-27,Koppala,155,5558,97,3918,1521,5,119,0
2020-08-28,Koppala,217,5775,252,4170,1483,3,122,0
2020-08-29,Koppala,238,6013,111,4281,1607,3,125,0
2020-08-30,Koppala,240,6253,181,4462,1663,3,128,0
2020-08-31,Koppala,200,6453,94,4556,1768,1,129,0
2020-09-01,Koppala,195,6648,210,4766,1749,4,133,0
2020-09-02,Koppala,282,6930,133,4899,1896,2,135,0
2020-09-03,Koppala,226,7156,149,5048,1965,8,143,0
2020-09-04,Koppala,154,7310,214,5262,1904,1,144,0
2020-09-06,Koppala,198,7751,176,5702,1898,4,151,0
2020-09-07,Koppala,139,7890,178,5880,1849,10,161,0
2020-09-08,Koppala,269,8159,256,6136,1856,6,167,0
2020-09-09,Koppala,150,8309,193,6329,1807,6,173,0
2020-09-10,Koppala,139,8448,176,6505,1766,4,177,0
2020-09-11,Koppala,171,8619,137,6642,1795,5,182,0
2020-09-12,Koppala,183,8802,228,6870,1746,4,186,0
2020-09-13,Koppala,259,9061,185,7055,1817,3,189,0
2020-09-14,Koppala,162,9223,141,7196,1835,3,192,0
2020-09-15,Koppala,103,9326,235,7431,1701,2,194,0
2020-09-16,Koppala,152,9478,0,7431,1854,0,193,0
2020-09-17,Koppala,180,9658,0,7431,2034,0,193,0
2020-09-18,Koppala,176,9834,277,7708,1925,8,201,0
2020-09-19,Koppala,96,9930,275,7983,1739,7,208,0
2020-09-20,Koppala,337,10267,116,8099,1956,4,212,0
2020-09-21,Koppala,155,10422,176,8275,1934,1,213,0
2020-09-22,Koppala,180,10602,96,8371,2018,0,213,0
2020-09-23,Koppala,88,10690,0,8371,2106,0,213,0
2020-09-24,Koppala,56,10746,25,8396,2137,0,213,0
2020-09-25,Koppala,44,10790,24,8420,2157,0,213,0
2020-09-26,Koppala,352,11142,13,8433,2494,2,215,0
2020-09-27,Koppala,87,11229,103,8536,2478,0,215,0
2020-09-28,Koppala,45,11274,200,8736,2323,0,215,0
2020-09-29,Koppala,143,11417,324,9060,2137,5,220,0
2020-09-30,Koppala,87,11504,343,9403,1874,7,227,0
2020-10-01,Koppala,103,11607,333,9736,1639,5,232,0
2020-10-02,Koppala,89,11696,110,9846,1615,3,235,0
2020-10-03,Koppala,98,11794,112,9958,1599,2,237,0
2020-10-04,Koppala,85,11879,188,10146,1491,5,242,0
2020-10-05,Koppala,36,11915,82,10228,1443,2,244,0
2020-10-06,Koppala,125,12040,424,10652,1142,2,246,0
2020-10-07,Koppala,98,12138,17,10669,1223,0,246,0
2020-10-08,Koppala,97,12235,102,10771,1218,0,246,0
2020-10-09,Koppala,65,12300,159,10930,1124,0,246,0
2020-10-10,Koppala,84,12384,85,11015,1116,7,253,0
2020-10-11,Koppala,48,12432,49,11064,1113,2,255,0
2020-10-12,Koppala,77,12509,273,11337,913,4,259,0
2020-10-13,Koppala,37,12546,157,11494,790,3,262,0
2020-10-14,Koppala,60,12606,60,11554,789,1,263,0
2020-10-15,Koppala,76,12682,42,11596,822,1,264,0
2020-10-16,Koppala,41,12723,134,11730,729,0,264,0
2020-10-17,Koppala,65,12788,147,11877,647,0,264,0
2020-10-18,Koppala,35,12823,88,11965,593,1,265,0
2020-10-19,Koppala,106,12929,78,12043,620,1,266,0
2020-10-20,Koppala,77,13006,61,12104,636,0,266,0
2020-10-21,Koppala,52,13058,109,12213,578,1,267,0
2020-10-22,Koppala,49,13107,49,12262,573,5,272,0
2020-10-24,Koppala,49,13183,56,12363,548,0,272,0
2020-10-25,Koppala,52,13235,43,12406,556,1,273,0
2020-10-26,Koppala,22,13257,43,12449,535,0,273,0
2020-10-27,Koppala,22,13279,65,12514,492,0,273,0
2020-10-28,Koppala,11,13290,101,12615,402,0,273,0
2020-10-29,Koppala,25,13315,51,12666,376,0,273,0
2020-10-30,Koppala,27,13342,45,12711,358,0,273,0
2020-10-31,Koppala,8,13350,59,12770,307,0,273,0
2020-12-01,Koppala,8,13688,5,13347,63,0,278,0
2020-12-02,Koppala,5,13693,22,13369,46,0,278,0
2020-12-03,Koppala,0,13693,1,13370,45,0,278,0
2020-12-04,Koppala,6,13699,4,13374,47,0,278,0
2020-12-05,Koppala,3,13702,7,13381,43,0,278,0
2020-12-06,Koppala,3,13705,6,13387,40,0,278,0
2020-12-07,Koppala,4,13709,9,13396,35,0,278,0
2020-12-08,Koppala,5,13714,4,13400,36,0,278,0
2020-12-09,Koppala,9,13723,4,13404,41,0,278,0
2020-12-10,Koppala,4,13727,6,13410,39,0,278,0
2020-12-11,Koppala,6,13733,5,13415,40,0,278,0
2020-12-12,Koppala,12,13745,3,13418,49,0,278,0
2020-12-13,Koppala,8,13753,3,13421,54,0,278,0
2020-12-14,Koppala,5,13758,2,13423,57,0,278,0
2020-12-15,Koppala,20,13778,2,13425,75,0,278,0
2020-12-16,Koppala,8,13786,5,13430,78,0,278,0
2020-12-17,Koppala,12,13798,3,13433,87,0,278,0
2020-12-18,Koppala,5,13803,6,13439,85,1,279,0
2020-12-19,Koppala,6,13809,4,13443,87,0,279,0
2020-12-20,Koppala,10,13819,1,13444,96,0,279,0
2020-12-21,Koppala,5,13824,4,13448,97,0,279,0
2020-12-22,Koppala,8,13832,11,13459,94,0,279,0
2020-12-23,Koppala,5,13837,9,13468,90,0,279,0
2020-12-24,Koppala,12,13849,8,13476,94,0,279,0
2020-12-25,Koppala,3,13852,6,13482,91,0,279,0
2020-12-26,Koppala,5,13857,9,13491,87,0,279,0
2020-12-27,Koppala,3,13860,11,13502,79,0,279,0
2020-12-28,Koppala,4,13864,10,13512,73,0,279,0
2020-12-29,Koppala,6,13870,11,13523,68,0,279,0
2020-12-30,Koppala,2,13872,8,13531,62,0,279,0
2020-12-31,Koppala,7,13879,2,13533,67,0,279,0
2021-01-01,Koppala,0,13879,19,13552,48,0,279,0
2021-01-02,Koppala,5,13884,16,13568,37,0,279,0
2021-01-03,Koppala,3,13887,4,13572,36,0,279,0
2021-01-04,Koppala,2,13889,5,13577,33,0,279,0
2021-01-05,Koppala,5,13894,4,13581,34,0,279,0
2021-01-06,Koppala,1,13895,2,13583,33,0,279,0
2021-01-07,Koppala,2,13897,2,13585,33,0,279,0
2021-01-08,Koppala,5,13902,2,13587,36,0,279,0
2021-01-09,Koppala,4,13906,2,13589,38,0,279,0
2021-01-10,Koppala,3,13909,1,13590,40,0,279,0
2021-01-11,Koppala,4,13913,9,13599,35,0,279,0
2021-01-12,Koppala,1,13914,3,13602,33,0,279,0
2021-01-13,Koppala,0,13914,4,13606,29,0,279,0
2021-01-14,Koppala,2,13916,5,13611,26,0,279,0
2021-01-15,Koppala,1,13917,1,13612,26,0,279,0
2021-01-16,Koppala,0,13917,1,13613,25,0,279,0
2021-01-17,Koppala,1,13918,4,13617,22,0,279,0
2021-01-18,Koppala,1,13919,4,13621,19,0,279,0
2021-01-19,Koppala,2,13921,4,13625,17,0,279,0
2021-01-20,Koppala,1,13922,2,13627,16,0,279,0
2021-01-21,Koppala,1,13923,1,13628,16,0,279,0
2021-01-22,Koppala,0,13923,7,13635,9,0,279,0
2021-01-23,Koppala,1,13924,1,13636,9,0,279,0
2021-01-24,Koppala,0,13924,2,13638,7,0,279,0
2021-01-25,Koppala,0,13924,0,13638,7,0,279,0
2021-01-26,Koppala,0,13924,2,13640,5,0,279,0
2021-01-27,Koppala,0,13924,0,13640,5,0,279,0
2021-01-28,Koppala,0,13924,0,13640,5,0,279,0
2021-01-29,Koppala,0,13924,0,13640,5,0,279,0
2021-01-30,Koppala,3,13927,1,13641,7,0,279,0
2021-01-31,Koppala,0,13927,0,13641,7,0,279,0
2021-02-01,Koppala,1,13928,0,13641,8,0,279,0
2021-02-02,Koppala,2,13930,1,13642,9,0,279,0
2021-02-03,Koppala,2,13932,0,13642,11,0,279,0
2021-02-04,Koppala,0,13932,1,13643,10,0,279,0
2021-02-05,Koppala,1,13933,2,13645,9,0,279,0
2021-02-06,Koppala,0,13933,0,13645,9,0,279,0
2021-02-07,Koppala,0,13933,0,13645,9,0,279,0
2021-02-08,Koppala,1,13934,0,13645,10,0,279,0
2021-02-09,Koppala,0,13934,3,13648,7,0,279,0
2021-02-10,Koppala,0,13934,0,13648,7,0,279,0
2021-02-11,Koppala,1,13935,3,13651,5,0,279,0
2021-02-12,Koppala,0,13935,2,13653,3,0,279,0
2021-02-13,Koppala,0,13935,0,13653,3,0,279,0
2021-02-14,Koppala,1,13936,0,13653,4,0,279,0
2021-02-15,Koppala,0,13936,0,13653,4,0,279,0
