Date,District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
2020-07-01,Mandya,5,421,2,340,81,0,0,0
2020-07-02,Mandya,19,440,12,352,88,0,0,0
2020-07-03,Mandya,33,473,2,354,119,0,0,0
2020-07-04,Mandya,35,508,0,354,154,0,0,0
2020-07-05,Mandya,10,518,13,367,151,0,0,0
2020-07-06,Mandya,39,557,0,367,190,0,0,0
2020-07-07,Mandya,29,586,14,381,205,0,0,0
2020-07-08,Mandya,20,606,0,381,225,0,0,0
2020-07-10,Mandya,31,661,35,431,230,0,0,0
2020-07-11,Mandya,23,684,32,463,221,0,0,0
2020-07-12,Mandya,4,688,0,463,225,0,0,0
2020-07-13,Mandya,30,718,42,505,213,0,0,0
2020-07-14,Mandya,38,756,28,533,223,0,0,0
2020-07-15,Mandya,31,787,19,552,234,1,1,0
2020-07-16,Mandya,11,798,27,579,217,1,2,0
2020-07-17,Mandya,22,820,0,579,237,2,4,0
2020-07-19,Mandya,7,869,30,609,253,2,7,0
2020-07-20,Mandya,41,910,0,609,294,0,7,0
2020-07-21,Mandya,13,923,86,695,221,0,7,0
2020-07-22,Mandya,37,960,0,695,258,0,7,0
2020-07-23,Mandya,50,1010,5,700,301,2,9,0
2020-07-24,Mandya,57,1067,39,739,319,0,9,0
2020-07-25,Mandya,60,1127,44,783,335,0,9,0
2020-07-26,Mandya,64,1191,25,808,373,1,10,0
2020-07-27,Mandya,56,1247,0,808,429,0,10,0
2020-07-28,Mandya,96,1343,56,864,469,0,10,0
2020-07-29,Mandya,70,1413,0,864,539,0,10,0
2020-07-30,Mandya,87,1500,50,914,576,0,10,0
2020-07-31,Mandya,65,1565,42,956,599,0,10,0
2020-08-01,Mandya,95,1660,27,983,666,1,11,0
2020-08-02,Mandya,97,1757,26,1009,734,3,14,0
2020-08-03,Mandya,152,1909,44,1053,842,0,14,0
2020-08-04,Mandya,126,2035,40,1093,926,2,16,0
2020-08-05,Mandya,123,2158,90,1183,956,3,19,0
2020-08-06,Mandya,134,2292,63,1246,1026,1,20,0
2020-08-07,Mandya,102,2394,19,1265,1109,0,20,0
2020-08-08,Mandya,101,2495,50,1315,1159,1,21,0
2020-08-09,Mandya,63,2558,34,1349,1187,1,22,0
2020-08-10,Mandya,66,2624,0,1349,1251,2,24,0
2020-08-11,Mandya,141,2765,37,1386,1353,2,26,0
2020-08-12,Mandya,121,2886,135,1521,1336,3,29,0
2020-08-13,Mandya,130,3016,169,1690,1295,2,31,0
2020-08-14,Mandya,163,3179,65,1755,1392,1,32,0
2020-08-15,Mandya,84,3263,36,1791,1439,1,33,0
2020-08-16,Mandya,91,3354,109,1900,1418,3,36,0
2020-08-17,Mandya,26,3380,82,1982,1361,1,37,0
2020-08-18,Mandya,174,3554,130,2112,1403,2,39,0
2020-08-19,Mandya,185,3739,81,2193,1507,0,39,0
2020-08-20,Mandya,109,3848,93,2286,1523,0,39,0
2020-08-21,Mandya,99,3947,64,2350,1557,1,40,0
2020-08-22,Mandya,146,4093,72,2422,1629,2,42,0
2020-08-23,Mandya,51,4144,139,2561,1539,2,44,0
2020-08-24,Mandya,82,4226,86,2647,1534,1,45,0
2020-08-25,Mandya,153,4379,137,2784,1548,2,47,0
2020-08-26,Mandya,155,4534,210,2994,1491,2,49,0
2020-08-27,Mandya,197,4731,254,3248,1432,2,51,0
2020-08-28,Mandya,188,4919,86,3334,1532,2,53,0
