Date,District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
2020-07-01,Mysuru,0.0,268,13,189,76,0,3,0
2020-07-02,Mysuru,68.0,336,8,197,135,1,4,0
2020-07-03,Mysuru,35.0,371,20,217,150,0,4,0
2020-07-04,Mysuru,38.0,409,21,238,167,0,4,0
2020-07-05,Mysuru,25.0,434,12,250,179,1,5,0
2020-07-06,Mysuru,45.0,479,21,271,200,3,8,0
2020-07-07,Mysuru,49.0,528,35,306,210,4,12,0
2020-07-08,Mysuru,59.0,587,18,324,249,2,14,0
2020-07-10,Mysuru,51.0,690,25,363,307,6,20,0
2020-07-11,Mysuru,83.0,773,22,385,360,8,28,0
2020-07-12,Mysuru,42.0,815,43,428,356,3,31,0
2020-07-13,Mysuru,151.0,966,54,482,447,6,37,0
2020-07-14,Mysuru,125.0,1091,16,498,552,4,41,0
2020-07-15,Mysuru,99.0,1190,5,503,640,6,47,0
2020-07-16,Mysuru,130.0,1320,28,531,739,3,50,0
2020-07-17,Mysuru,93.0,1413,20,551,805,7,57,0
2020-07-19,Mysuru,110.0,1624,23,598,956,11,70,0
2020-07-20,Mysuru,149.0,1773,27,625,1073,5,75,0
2020-07-21,Mysuru,135.0,1908,49,674,1154,5,80,0
2020-07-22,Mysuru,145.0,2053,19,693,1275,5,85,0
2020-07-23,Mysuru,116.0,2169,38,731,1345,8,93,0
2020-07-24,Mysuru,281.0,2450,18,749,1602,6,99,0
2020-07-25,Mysuru,187.0,2637,59,808,1722,8,107,0
2020-07-26,Mysuru,230.0,2867,15,823,1932,5,112,0
2020-07-27,Mysuru,296.0,3163,73,896,2152,3,115,0
2020-07-28,Mysuru,220.0,3383,115,1011,2249,8,123,0
2020-07-29,Mysuru,200.0,3583,134,1145,2310,5,128,0
2020-07-30,Mysuru,430.0,4013,70,1215,2661,9,137,0
2020-07-31,Mysuru,204.0,4217,302,1517,2558,5,142,0
2020-08-01,Mysuru,365.0,4582,74,1591,2840,9,151,0
2020-08-02,Mysuru,238.0,4820,101,1692,2967,10,161,0
2020-08-03,Mysuru,372.0,5192,374,2066,2952,13,174,0
2020-08-04,Mysuru,662.0,5854,164,2230,3441,9,183,0
2020-08-05,Mysuru,261.0,6115,112,2342,3579,11,194,0
