Date,District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
2020-07-01,Raichuru,12,500,6,403,95,0,2,0
2020-07-02,Raichuru,11,511,1,404,105,0,2,0
2020-07-03,Raichuru,7,518,0,404,111,1,3,0
2020-07-04,Raichuru,41,559,18,422,134,0,3,0
2020-07-05,Raichuru,10,569,0,422,144,0,3,0
2020-07-06,Raichuru,6,575,0,422,150,0,3,0
2020-07-07,Raichuru,23,598,16,438,157,0,3,0
2020-07-08,Raichuru,17,615,4,442,167,3,6,0
2020-07-10,Raichuru,25,656,20,462,187,1,7,0
2020-07-11,Raichuru,14,670,3,465,197,1,8,0
2020-07-12,Raichuru,48,718,0,465,245,0,8,0
2020-07-13,Raichuru,45,763,10,475,280,0,8,0
2020-07-14,Raichuru,25,788,0,475,303,2,10,0
2020-07-15,Raichuru,26,814,8,483,319,2,12,0
2020-07-16,Raichuru,101,915,52,535,368,0,12,0
2020-07-17,Raichuru,33,948,8,543,392,1,13,0
2020-07-19,Raichuru,32,996,43,612,371,0,13,0
2020-07-20,Raichuru,3,999,9,621,365,0,13,0
2020-07-21,Raichuru,4,1003,59,680,310,0,13,0
2020-07-22,Raichuru,135,1138,12,692,431,2,15,0
2020-07-23,Raichuru,258,1396,27,719,660,2,17,0
2020-07-24,Raichuru,107,1503,32,751,734,1,18,0
2020-07-25,Raichuru,68,1571,43,794,759,0,18,0
2020-07-26,Raichuru,131,1702,22,816,868,0,18,0
2020-07-27,Raichuru,120,1822,142,958,844,2,20,0
2020-07-28,Raichuru,93,1915,131,1089,805,1,21,0
2020-07-29,Raichuru,73,1988,31,1120,845,2,23,0
2020-07-30,Raichuru,166,2154,191,1311,820,0,23,0
2020-07-31,Raichuru,119,2273,46,1356,892,2,25,0
2020-08-01,Raichuru,109,2382,115,1471,886,0,25,0
2020-08-02,Raichuru,212,2594,153,1624,943,2,27,0
2020-08-03,Raichuru,115,2709,141,1765,916,1,28,0
2020-08-04,Raichuru,144,2853,116,1881,942,2,30,0
2020-08-05,Raichuru,91,2944,110,1991,921,2,32,0
2020-08-06,Raichuru,181,3125,62,2053,1038,2,34,0
2020-08-07,Raichuru,171,3296,73,2126,1134,2,36,0
2020-08-08,Raichuru,295,3591,74,2200,1353,2,38,0
2020-08-09,Raichuru,202,3793,117,2317,1436,2,40,0
2020-08-10,Raichuru,165,3958,24,2341,1577,0,40,0
2020-08-11,Raichuru,201,4159,49,2390,1727,2,42,0
2020-08-12,Raichuru,191,4350,69,2459,1845,4,46,0
2020-08-13,Raichuru,181,4531,373,2832,1650,3,49,0
2020-08-14,Raichuru,220,4751,119,2951,1749,2,51,0
2020-08-15,Raichuru,155,4906,109,3060,1792,3,54,0
2020-08-16,Raichuru,183,5089,71,3131,1901,3,57,0
2020-08-17,Raichuru,110,5199,142,3273,1866,3,60,0
2020-08-18,Raichuru,171,5370,143,3416,1890,4,64,0
2020-08-19,Raichuru,153,5523,159,3575,1882,2,66,0
2020-08-20,Raichuru,111,5634,290,3865,1701,2,68,0
2020-08-21,Raichuru,100,5734,292,4157,1506,3,71,0
2020-08-22,Raichuru,52,5786,200,4357,1355,3,74,0
2020-08-23,Raichuru,81,5867,171,4528,1263,2,76,0
2020-08-24,Raichuru,183,6050,113,4641,1331,2,78,0
2020-08-25,Raichuru,88,6138,180,4821,1239,0,78,0
2020-08-26,Raichuru,136,6274,92,4913,1281,2,80,0
2020-08-27,Raichuru,239,6513,79,4992,1440,1,81,0
2020-08-28,Raichuru,178,6691,227,5219,1390,1,82,0
2020-08-29,Raichuru,186,6877,116,5335,1458,2,84,0
2020-08-30,Raichuru,147,7024,134,5469,1469,2,86,0
2020-08-31,Raichuru,140,7164,194,5663,1413,2,88,0
2020-09-01,Raichuru,245,7409,82,5745,1573,3,91,0
2020-09-02,Raichuru,232,7641,147,5892,1655,3,94,0
2020-09-03,Raichuru,161,7802,115,6007,1698,3,97,0
2020-09-04,Raichuru,169,7971,121,6128,1743,3,100,0
2020-09-06,Raichuru,187,8344,187,6434,1805,2,105,0
2020-09-07,Raichuru,22,8366,150,6581,1678,2,107,0
2020-09-08,Raichuru,209,8575,154,6735,1731,2,109,0
2020-09-09,Raichuru,214,8789,176,6911,1766,3,112,0
2020-09-10,Raichuru,107,8896,237,7148,1633,3,115,0
2020-09-11,Raichuru,200,9096,206,7354,1625,2,117,0
2020-09-12,Raichuru,131,9227,191,7545,1563,2,119,0
