Date,District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
2020-07-01,Ramanagara,14,176,4,76,95,0,5,0
2020-07-02,Ramanagara,39,215,0,76,134,0,5,0
2020-07-03,Ramanagara,10,225,0,76,144,0,5,0
2020-07-04,Ramanagara,2,227,0,76,146,0,5,0
2020-07-05,Ramanagara,6,233,0,76,152,0,5,0
2020-07-06,Ramanagara,11,244,27,103,136,0,5,0
2020-07-07,Ramanagara,37,281,13,116,160,0,5,0
2020-07-08,Ramanagara,34,315,0,116,192,2,7,0
2020-07-10,Ramanagara,23,355,10,153,195,0,7,0
2020-07-11,Ramanagara,30,385,0,153,224,1,8,0
2020-07-12,Ramanagara,3,388,0,153,227,0,8,0
2020-07-13,Ramanagara,0,388,0,153,227,0,8,0
2020-07-14,Ramanagara,1,389,0,153,228,0,8,0
2020-07-15,Ramanagara,3,392,28,181,202,1,9,0
2020-07-16,Ramanagara,4,396,14,195,192,0,9,0
2020-07-17,Ramanagara,14,410,0,195,206,0,9,0
2020-07-19,Ramanagara,29,452,0,195,248,0,9,0
2020-07-20,Ramanagara,56,508,0,195,304,0,9,0
2020-07-21,Ramanagara,8,516,0,195,312,0,9,0
2020-07-22,Ramanagara,45,561,0,195,357,0,9,0
2020-07-23,Ramanagara,26,587,0,195,382,1,10,0
2020-07-24,Ramanagara,12,599,0,195,394,0,10,0
2020-07-25,Ramanagara,20,619,0,195,414,0,10,0
2020-07-26,Ramanagara,15,634,0,195,429,0,10,0
2020-07-27,Ramanagara,62,696,0,195,491,0,10,0
2020-07-28,Ramanagara,101,797,117,312,475,0,10,0
2020-07-29,Ramanagara,56,853,0,312,531,0,10,0
2020-07-30,Ramanagara,106,959,0,312,637,0,10,0
2020-07-31,Ramanagara,89,1048,0,312,725,1,11,0
2020-08-01,Ramanagara,51,1099,0,312,776,0,11,0
2020-08-02,Ramanagara,71,1170,93,405,754,0,11,0
2020-08-03,Ramanagara,68,1238,0,405,822,0,11,0
2020-08-04,Ramanagara,65,1303,259,664,628,0,11,0
2020-08-05,Ramanagara,45,1348,14,678,659,0,11,0
2020-08-06,Ramanagara,41,1389,12,690,688,0,11,0
2020-08-07,Ramanagara,93,1482,66,756,715,0,11,0
2020-08-08,Ramanagara,93,1575,32,788,774,2,13,0
2020-08-09,Ramanagara,38,1613,0,788,812,0,13,0
2020-08-10,Ramanagara,84,1697,119,907,775,2,15,0
2020-08-11,Ramanagara,96,1793,185,1092,686,0,15,0
2020-08-12,Ramanagara,63,1856,174,1266,575,0,15,0
2020-08-13,Ramanagara,53,1909,22,1288,604,2,17,0
2020-08-14,Ramanagara,87,1996,19,1307,672,0,17,0
2020-08-15,Ramanagara,53,2049,103,1410,622,0,17,0
2020-08-16,Ramanagara,32,2081,20,1430,634,0,17,0
2020-08-17,Ramanagara,85,2166,32,1462,687,0,17,0
2020-08-18,Ramanagara,115,2281,19,1481,783,0,17,0
2020-08-19,Ramanagara,126,2407,120,1601,789,0,17,0
2020-08-20,Ramanagara,27,2434,82,1683,734,0,17,0
2020-08-21,Ramanagara,75,2509,43,1726,766,0,17,0
2020-08-22,Ramanagara,54,2563,48,1774,772,0,17,0
2020-08-23,Ramanagara,42,2605,40,1814,774,0,17,0
2020-08-24,Ramanagara,49,2654,16,1830,804,3,20,0
2020-08-25,Ramanagara,56,2710,26,1856,833,1,21,0
2020-08-26,Ramanagara,47,2757,25,1881,855,0,21,0
2020-08-27,Ramanagara,105,2862,94,1975,864,2,23,0
2020-08-28,Ramanagara,87,2949,174,2149,776,1,24,0
2020-08-29,Ramanagara,153,3102,195,2344,733,1,25,0
2020-08-30,Ramanagara,114,3216,64,2408,781,2,27,0
2020-08-31,Ramanagara,69,3285,11,2419,837,2,29,0
2020-09-01,Ramanagara,105,3390,45,2464,896,1,30,0
2020-09-02,Ramanagara,59,3449,51,2515,903,1,31,0
2020-09-03,Ramanagara,67,3516,23,2538,947,0,31,0
2020-09-04,Ramanagara,73,3589,43,2581,977,0,31,0
2020-09-06,Ramanagara,68,3749,112,2828,887,0,34,0
2020-09-07,Ramanagara,11,3760,143,2971,754,1,35,0
2020-09-08,Ramanagara,28,3788,89,3060,692,1,36,0
2020-09-09,Ramanagara,109,3897,78,3138,722,1,37,0
2020-09-10,Ramanagara,126,4023,143,3281,705,0,37,0
2020-09-11,Ramanagara,76,4099,163,3444,617,1,38,0
2020-09-12,Ramanagara,81,4180,76,3520,622,0,38,0
2020-09-13,Ramanagara,38,4218,73,3593,587,0,38,0
2020-09-14,Ramanagara,113,4331,47,3640,652,1,39,0
2020-09-15,Ramanagara,78,4409,86,3726,644,0,39,0
2020-09-16,Ramanagara,62,4471,44,3770,657,5,44,0
2020-09-17,Ramanagara,42,4513,0,3770,699,0,44,0
2020-09-18,Ramanagara,70,4583,127,3897,642,0,44,0
2020-09-19,Ramanagara,47,4630,44,3941,645,0,44,0
2020-09-20,Ramanagara,57,4687,47,3988,655,0,44,0
2020-09-21,Ramanagara,27,4714,64,4052,618,0,44,0
2020-09-22,Ramanagara,33,4747,18,4070,633,0,44,0
2020-09-23,Ramanagara,57,4804,15,4085,675,0,44,0
2020-09-24,Ramanagara,12,4816,42,4127,645,0,44,0
2020-09-25,Ramanagara,49,4865,19,4146,675,0,44,0
2020-09-26,Ramanagara,73,4938,72,4218,674,2,46,0
2020-09-27,Ramanagara,79,5017,69,4287,684,0,46,0
2020-09-28,Ramanagara,75,5092,49,4336,710,0,46,0
2020-09-29,Ramanagara,10,5102,86,4422,633,1,47,0
2020-09-30,Ramanagara,44,5146,70,4492,607,0,47,0
2020-10-01,Ramanagara,74,5220,21,4513,659,1,48,0
2020-10-02,Ramanagara,150,5370,15,4528,794,0,48,0
2020-10-03,Ramanagara,58,5428,92,4620,760,0,48,0
2020-10-04,Ramanagara,182,5610,37,4657,905,0,48,0
2020-10-05,Ramanagara,89,5699,152,4809,840,2,50,0
2020-10-06,Ramanagara,111,5810,56,4865,893,2,52,0
2020-10-07,Ramanagara,77,5887,92,4957,875,3,55,0
2020-10-08,Ramanagara,91,5978,86,5043,879,1,56,0
2020-10-09,Ramanagara,125,6103,96,5139,908,0,56,0
2020-10-10,Ramanagara,68,6171,52,5191,924,0,56,0
2020-10-11,Ramanagara,24,6195,52,5243,896,0,56,0
2020-10-12,Ramanagara,53,6248,211,5454,736,2,58,0
2020-10-13,Ramanagara,59,6307,135,5589,657,3,61,0
2020-10-14,Ramanagara,42,6349,101,5690,598,0,61,0
2020-10-15,Ramanagara,79,6428,108,5798,569,0,61,0
2020-10-16,Ramanagara,75,6503,100,5898,544,0,61,0
2020-10-17,Ramanagara,25,6528,107,6005,461,1,62,0
2020-10-18,Ramanagara,32,6560,47,6052,446,0,62,0
2020-10-19,Ramanagara,11,6571,44,6096,412,1,63,0
2020-10-20,Ramanagara,23,6594,49,6145,385,1,64,0
2020-10-21,Ramanagara,23,6617,372,6517,35,1,65,0
2020-10-22,Ramanagara***,16,6633,50,6234,333,1,66,0
2020-10-24,Ramanagara,22,6666,45,6332,268,0,66,0
2020-10-25,Ramanagara,23,6689,28,6360,263,0,66,0
2020-10-26,Ramanagara,10,6699,20,6380,252,1,67,0
2020-10-27,Ramanagara,27,6726,42,6422,237,0,67,0
2020-10-28,Ramanagara,17,6743,15,6437,237,2,69,0
2020-10-29,Ramanagara,48,6791,42,6479,242,1,70,0
2020-10-30,Ramanagara,9,6800,20,6499,231,0,70,0
2020-10-31,Ramanagara,12,6812,10,6509,232,1,71,0
2020-12-01,Ramanagara,5,7240,6,7097,68,0,75,0
2020-12-02,Ramanagara,2,7242,15,7112,55,0,75,0
2020-12-03,Ramanagara,2,7244,4,7116,53,0,75,0
2020-12-04,Ramanagara,4,7248,11,7127,46,0,75,0
2020-12-05,Ramanagara,6,7254,3,7130,49,0,75,0
2020-12-06,Ramanagara,2,7256,4,7134,47,0,75,0
2020-12-07,Ramanagara,4,7260,7,7141,44,0,75,0
2020-12-08,Ramanagara,6,7266,9,7150,41,0,75,0
2020-12-09,Ramanagara,8,7274,5,7155,44,0,75,0
2020-12-10,Ramanagara,13,7287,3,7158,54,0,75,0
2020-12-11,Ramanagara,5,7292,2,7160,56,1,76,0
2020-12-12,Ramanagara,2,7294,3,7163,55,0,76,0
2020-12-13,Ramanagara,5,7299,5,7168,55,0,76,0
2020-12-14,Ramanagara,2,7301,12,7180,45,0,76,0
2020-12-15,Ramanagara,11,7312,9,7189,47,0,76,0
2020-12-16,Ramanagara,4,7316,7,7196,44,0,76,0
2020-12-17,Ramanagara,10,7326,8,7204,46,0,76,0
2020-12-18,Ramanagara,7,7333,7,7211,46,0,76,0
2020-12-19,Ramanagara,9,7342,2,7213,53,0,76,0
2020-12-20,Ramanagara,1,7343,3,7216,51,0,76,0
2020-12-21,Ramanagara,5,7348,5,7221,51,0,76,0
2020-12-22,Ramanagara,7,7355,4,7225,54,0,76,0
2020-12-23,Ramanagara,8,7363,2,7227,60,0,76,0
2020-12-24,Ramanagara,1,7364,9,7236,52,0,76,0
2020-12-25,Ramanagara,6,7370,8,7244,50,0,76,0
2020-12-26,Ramanagara,2,7372,9,7253,43,0,76,0
2020-12-27,Ramanagara,0,7372,4,7257,39,0,76,0
2020-12-28,Ramanagara,0,7372,3,7260,36,0,76,0
2020-12-29,Ramanagara,0,7372,3,7263,33,0,76,0
2020-12-30,Ramanagara,4,7376,2,7265,35,0,76,0
2020-12-31,Ramanagara,5,7381,5,7270,35,0,76,0
2021-01-01,Ramanagara,0,7381,6,7276,28,1,77,0
2021-01-02,Ramanagara,0,7381,6,7282,22,0,77,0
2021-01-03,Ramanagara,1,7382,2,7284,21,0,77,0
2021-01-04,Ramanagara,1,7383,3,7287,19,0,77,0
2021-01-05,Ramanagara,1,7384,5,7292,15,0,77,0
2021-01-06,Ramanagara,1,7385,3,7295,13,0,77,0
2021-01-07,Ramanagara,2,7387,2,7297,13,0,77,0
2021-01-08,Ramanagara,5,7392,2,7299,16,0,77,0
2021-01-09,Ramanagara,0,7392,2,7301,14,0,77,0
2021-01-10,Ramanagara,1,7393,2,7303,13,0,77,0
2021-01-11,Ramanagara,0,7393,2,7305,11,0,77,0
2021-01-12,Ramanagara,2,7395,2,7307,11,0,77,0
2021-01-13,Ramanagara,5,7400,2,7309,14,0,77,0
2021-01-14,Ramanagara,0,7400,0,7309,14,0,77,0
2021-01-15,Ramanagara,0,7400,1,7310,13,0,77,0
2021-01-16,Ramanagara,1,7401,0,7310,14,0,77,0
2021-01-17,Ramanagara,1,7402,3,7313,12,0,77,0
2021-01-18,Ramanagara,1,7403,3,7316,10,0,77,0
2021-01-19,Ramanagara,2,7405,0,7316,12,0,77,0
2021-01-20,Ramanagara,1,7406,0,7316,13,0,77,0
2021-01-21,Ramanagara,2,7408,5,7321,10,0,77,0
2021-01-22,Ramanagara,1,7409,1,7322,10,0,77,0
2021-01-23,Ramanagara,0,7409,0,7322,10,0,77,0
2021-01-24,Ramanagara,0,7409,0,7322,10,0,77,0
2021-01-25,Ramanagara,0,7409,1,7323,9,0,77,0
2021-01-26,Ramanagara,1,7410,0,7323,10,0,77,0
2021-01-27,Ramanagara,0,7410,1,7324,9,0,77,0
2021-01-28,Ramanagara,2,7412,2,7326,9,0,77,0
2021-01-29,Ramanagara,0,7412,1,7327,8,0,77,0
2021-01-30,Ramanagara,0,7412,2,7329,6,0,77,0
2021-01-31,Ramanagara,1,7413,1,7330,6,0,77,0
2021-02-01,Ramanagara,2,7415,0,7330,8,0,77,0
2021-02-02,Ramanagara,0,7415,0,7330,8,0,77,0
2021-02-03,Ramanagara,1,7416,0,7330,9,0,77,0
2021-02-04,Ramanagara,0,7416,2,7332,7,0,77,0
2021-02-05,Ramanagara,1,7417,0,7332,8,0,77,0
2021-02-06,Ramanagara,0,7417,1,7333,7,0,77,0
2021-02-07,Ramanagara,1,7418,1,7334,7,0,77,0
2021-02-08,Ramanagara,0,7418,1,7335,6,0,77,0
2021-02-09,Ramanagara,0,7418,0,7335,6,0,77,0
2021-02-10,Ramanagara,1,7419,1,7336,6,0,77,0
2021-02-11,Ramanagara,3,7422,1,7337,8,0,77,0
2021-02-12,Ramanagara,0,7422,0,7337,8,0,77,0
2021-02-13,Ramanagara,1,7423,1,7338,8,0,77,0
2021-02-14,Ramanagara,0,7423,0,7338,8,0,77,0
2021-02-15,Ramanagara,0,7423,0,7338,8,0,77,0
2021-02-16,Ramanagara,0,7423,2,7340,6,0,77,0
2021-02-17,Ramanagara,1,7424,0,7340,7,0,77,0
2021-02-18,Ramanagara,3,7427,0,7340,10,0,77,0
2021-02-19,Ramanagara,0,7427,1,7341,9,0,77,0
2021-02-20,Ramanagara,0,7427,3,7344,6,0,77,0
2021-02-21,Ramanagara,1,7428,0,7344,7,0,77,0
2021-02-22,Ramanagara,0,7428,1,7345,6,0,77,0
2021-02-23,Ramanagara,2,7430,0,7345,8,0,77,0
2021-02-24,Ramanagara,0,7430,0,7345,8,0,77,0
2021-02-25,Ramanagara,0,7430,1,7346,7,0,77,0
2021-02-26,Ramanagara,1,7431,0,7346,8,0,77,0
2021-02-27,Ramanagara,0,7431,2,7348,6,0,77,0
2021-02-28,Ramanagara,0,7431,0,7348,6,0,77,0
2021-03-01,Ramanagara,0,7431,0,7348,6,0,77,0
2021-03-02,Ramanagara,1,7432,1,7349,6,0,77,0
2021-03-03,Ramanagara,2,7434,1,7350,7,0,77,0
2021-03-04,Ramanagara,2,7436,0,7350,9,0,77,0
2021-03-05,Ramanagara,0,7436,0,7350,9,0,77,0
2021-03-06,Ramanagara,0,7436,1,7351,8,0,77,0
2021-03-07,Ramanagara,0,7436,0,7351,8,0,77,0
2021-03-08,Ramanagara,0,7436,0,7351,8,0,77,0
2021-03-09,Ramanagara,1,7437,0,7351,9,0,77,0
2021-03-10,Ramanagara,1,7438,1,7352,9,0,77,0
2021-03-11,Ramanagara,1,7439,0,7352,10,0,77,0
2021-03-12,Ramanagara,2,7441,1,7353,11,0,77,0
2021-03-13,Ramanagara,0,7441,2,7355,9,0,77,0
2021-03-14,Ramanagara,0,7441,0,7355,9,0,77,0
2021-03-15,Ramanagara,2,7443,2,7357,9,0,77,0
2021-03-16,Ramanagara,1,7444,2,7359,8,0,77,0
2021-03-17,Ramanagara,2,7446,0,7359,10,0,77,0
2021-03-18,Ramanagara,1,7447,1,7360,10,0,77,0
2021-03-19,Ramanagara,4,7451,1,7361,13,0,77,0
2021-03-20,Ramanagara,5,7456,1,7362,17,0,77,0
2021-03-21,Ramanagara,1,7457,2,7364,16,0,77,0
2021-03-22,Ramanagara,0,7457,0,7364,16,0,77,0
2021-03-23,Ramanagara,3,7460,0,7364,19,0,77,0
2021-03-24,Ramanagara,2,7462,2,7366,19,0,77,0
2021-03-25,Ramanagara,10,7472,2,7368,27,0,77,0
2021-03-26,Ramanagara,1,7473,1,7369,27,0,77,0
2021-03-27,Ramanagara,5,7478,1,7370,31,0,77,0
2021-03-28,Ramanagara,3,7481,7,7377,27,0,77,0
2021-03-29,Ramanagara,6,7487,3,7380,30,0,77,0
2021-03-30,Ramanagara,13,7500,0,7380,43,0,77,0
2021-03-31,Ramanagara,6,7506,2,7382,47,0,77,0
2021-04-01,Ramanagara,3,7509,3,7385,47,0,77,0
2021-04-02,Ramanagara,5,7514,9,7394,43,0,77,0
2021-04-03,Ramanagara,7,7521,1,7395,49,0,77,0
2021-04-04,Ramanagara,18,7539,5,7400,62,0,77,0
2021-04-05,Ramanagara,16,7555,1,7401,77,0,77,0
2021-04-06,Ramanagara,14,7569,8,7409,83,0,77,0
2021-04-07,Ramanagara,28,7597,12,7421,99,0,77,0
2021-04-08,Ramanagara,10,7607,8,7429,101,0,77,0
2021-04-09,Ramanagara,65,7672,1,7430,165,0,77,0
2021-04-10,Ramanagara,72,7744,6,7436,231,0,77,0
2021-04-11,Ramanagara,33,7777,9,7445,255,0,77,0
2021-04-12,Ramanagara,64,7841,27,7472,291,1,78,0
2021-04-13,Ramanagara,37,7878,3,7475,325,0,78,0
2021-04-14,Ramanagara,35,7913,13,7488,347,0,78,0
2021-04-15,Ramanagara,62,7975,30,7518,378,1,79,0
2021-04-16,Ramanagara,100,8075,7,7525,470,1,80,0
2021-04-17,Ramanagara,102,8177,100,7625,472,0,80,0
2021-04-18,Ramanagara,122,8299,24,7649,570,0,80,0
2021-04-19,Ramanagara,71,8370,63,7712,577,1,81,0
2021-04-20,Ramanagara,114,8484,72,7784,618,1,82,0
2021-04-21,Ramanagara,90,8574,32,7816,674,2,84,0
2021-04-22,Ramanagara,260,8834,34,7850,900,0,84,0
2021-04-23,Ramanagara,206,9040,52,7902,1053,1,85,0
2021-04-24,Ramanagara,385,9425,105,8007,1333,0,85,0
2021-04-25,Ramanagara,225,9650,94,8101,1464,0,85,0
2021-04-26,Ramanagara,168,9818,137,8238,1490,5,90,0
2021-04-27,Ramanagara,169,9987,124,8362,1529,6,96,0
2021-04-28,Ramanagara,164,10151,138,8500,1550,5,101,0
2021-04-29,Ramanagara,183,10334,138,8638,1591,4,105,0
2021-04-30,Ramanagara,286,10620,146,8784,1726,5,110,0
2021-05-01,Ramanagara,577,11197,174,8958,2125,4,114,0
2021-05-02,Ramanagara,441,11638,216,9174,2342,8,122,0
2021-05-03,Ramanagara,492,12130,301,9475,2530,3,125,0
2021-05-04,Ramanagara,529,12659,168,9643,2887,4,129,0
2021-05-05,Ramanagara,475,13134,122,9765,3238,2,131,0
2021-05-06,Ramanagara,413,13547,256,10021,3386,9,140,0
2021-05-07,Ramanagara,501,14048,212,10233,3665,10,150,0
2021-05-08,Ramanagara,407,14455,230,10463,3835,7,157,0
2021-05-09,Ramanagara,604,15059,271,10734,4155,13,170,0
2021-05-10,Ramanagara,337,15396,250,10984,4235,7,177,0
2021-05-11,Ramanagara,440,15836,682,11666,3990,3,180,0
2021-05-12,Ramanagara,135,15971,406,12072,3714,5,185,0
2021-05-13,Ramanagara,518,16489,469,12541,3759,4,189,0
2021-05-14,Ramanagara,459,16948,378,12919,3827,13,202,0
2021-05-15,Ramanagara,524,17472,357,13276,3988,6,208,0
2021-05-16,Ramanagara,403,17875,416,13692,3970,5,213,0
2021-05-17,Ramanagara,397,18272,423,14115,3938,6,219,0
2021-05-18,Ramanagara,427,18699,415,14530,3947,3,222,0
2021-05-19,Ramanagara,304,19003,450,14980,3795,6,228,0
2021-05-20,Ramanagara,480,19483,290,15270,3981,4,232,0
2021-05-21,Ramanagara,375,19858,398,15668,3956,2,234,0
2021-05-22,Ramanagara,335,20193,334,16002,3954,3,237,0
2021-05-23,Ramanagara,279,20472,417,16419,3809,7,244,0
2021-05-24,Ramanagara,285,20757,450,16869,3642,2,246,0
2021-05-25,Ramanagara,252,21009,527,17396,3364,3,249,0
2021-05-26,Ramanagara,240,21249,423,17819,3176,5,254,0
2021-05-27,Ramanagara,263,21512,503,18322,2935,1,255,0
2021-05-28,Ramanagara,339,21851,414,18736,2860,0,255,0
2021-05-29,Ramanagara,181,22032,407,19143,2634,0,255,0
2021-05-30,Ramanagara,164,22196,543,19686,2252,3,258,0
2021-05-31,Ramanagara,90,22286,345,20031,1994,3,261,0
2021-06-01,Ramanagara,138,22424,288,20319,1841,3,264,0
2021-06-02,Ramanagara,165,22589,172,20491,1833,1,265,0
2021-06-03,Ramanagara,62,22651,198,20689,1696,1,266,0
2021-06-04,Ramanagara,146,22797,202,20891,1636,4,270,0
2021-06-05,Ramanagara,57,22854,144,21035,1548,1,271,0
2021-06-06,Ramanagara,60,22914,303,21338,1305,0,271,0
2021-06-07,Ramanagara,48,22962,389,21727,961,3,274,0
2021-06-08,Ramanagara,42,23004,134,21861,867,2,276,0
2021-06-09,Ramanagara,50,23054,161,22022,755,1,277,0
2021-06-10,Ramanagara,59,23113,220,22242,593,1,278,0
2021-06-11,Ramanagara,57,23170,68,22310,581,1,279,0
2021-06-12,Ramanagara,32,23202,102,22412,511,0,279,0
2021-06-13,Ramanagara,47,23249,46,22458,512,0,279,0
2021-06-14,Ramanagara,26,23275,64,22522,474,0,279,0
2021-06-15,Ramanagara,25,23300,33,22555,464,2,281,0
2021-06-16,Ramanagara,58,23358,117,22672,403,2,283,0
2021-06-17,Ramanagara,37,23395,58,22730,381,1,284,0
2021-06-18,Ramanagara,41,23436,73,22803,348,1,285,0
2021-06-19,Ramanagara,24,23460,58,22861,313,1,286,0
2021-06-20,Ramanagara,12,23472,25,22886,300,0,286,0
2021-06-21,Ramanagara,21,23493,32,22918,286,3,289,0
2021-06-22,Ramanagara,20,23513,17,22935,289,0,289,0
2021-06-23,Ramanagara,26,23539,25,22960,290,0,289,0
2021-06-24,Ramanagara,32,23571,81,23041,241,0,289,0
2021-06-25,Ramanagara,11,23582,35,23076,215,2,291,0
2021-06-26,Ramanagara,13,23595,29,23105,199,0,291,0
2021-06-27,Ramanagara,15,23610,22,23127,192,0,291,0
