Date,District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
2020-07-01,Shivamogga,3.0,176,0,109,65,0,2,0
2020-07-02,Shivamogga,23.0,199,8,117,80,0,2,0
2020-07-03,Shivamogga,23.0,222,0,117,101,2,4,0
2020-07-04,Shivamogga,31.0,253,0,117,132,0,4,0
2020-07-05,Shivamogga,8.0,261,0,117,140,0,4,0
2020-07-06,Shivamogga,24.0,285,8,125,156,0,4,0
2020-07-07,Shivamogga,33.0,318,12,137,177,0,4,0
2020-07-08,Shivamogga,17.0,335,4,141,190,0,4,0
2020-07-10,Shivamogga,6.0,378,28,169,205,0,4,0
2020-07-11,Shivamogga,26.0,404,0,169,228,3,7,0
2020-07-12,Shivamogga,42.0,446,28,197,242,0,7,0
2020-07-13,Shivamogga,74.0,520,0,197,313,3,10,0
2020-07-14,Shivamogga,10.0,530,32,229,291,0,10,0
2020-07-15,Shivamogga,29.0,559,9,238,310,1,11,0
2020-07-16,Shivamogga,46.0,605,28,266,328,0,11,0
2020-07-17,Shivamogga,10.0,615,0,266,338,0,11,0
2020-07-19,Shivamogga,104.0,833,27,293,528,0,12,0
2020-07-20,Shivamogga,19.0,852,0,293,546,1,13,0
2020-07-21,Shivamogga,20.0,872,108,401,458,0,13,0
2020-07-22,Shivamogga,59.0,931,0,401,517,0,13,0
2020-07-23,Shivamogga,82.0,1013,23,424,574,2,15,0
2020-07-24,Shivamogga,67.0,1080,0,424,638,3,18,0
2020-07-25,Shivamogga,42.0,1122,0,424,678,2,20,0
2020-07-26,Shivamogga,39.0,1161,67,491,649,1,21,0
2020-07-27,Shivamogga,76.0,1237,0,491,724,1,22,0
2020-07-28,Shivamogga,54.0,1291,61,552,717,0,22,0
2020-07-29,Shivamogga,131.0,1422,30,582,818,0,22,0
2020-07-30,Shivamogga,143.0,1565,0,582,960,1,23,0
2020-07-31,Shivamogga,158.0,1723,0,575,1121,4,27,0
2020-08-01,Shivamogga,119.0,1842,131,706,1105,4,31,0
2020-08-02,Shivamogga,99.0,1941,26,732,1174,4,35,0
2020-08-03,Shivamogga,155.0,2096,0,732,1329,0,35,0
2020-08-04,Shivamogga,15.0,2111,43,775,1297,4,39,0
2020-08-05,Shivamogga,35.0,2146,41,816,1285,6,45,0
2020-08-06,Shivamogga,292.0,2438,99,915,1475,3,48,0
2020-08-07,Shivamogga,151.0,2589,135,1050,1490,1,49,0
2020-08-08,Shivamogga,73.0,2662,79,1129,1483,1,50,0
2020-08-09,Shivamogga,149.0,2811,27,1156,1603,2,52,0
2020-08-10,Shivamogga,0.0,2811,56,1212,1544,3,55,0
2020-08-11,Shivamogga,189.0,3000,453,1665,1280,0,55,0
2020-08-12,Shivamogga,69.0,3069,159,1824,1186,4,59,0
2020-08-13,Shivamogga,105.0,3174,153,1977,1138,0,59,0
2020-08-14,Shivamogga,413.0,3587,74,2051,1474,3,62,0
2020-08-15,Shivamogga,133.0,3720,90,2141,1512,5,67,0
2020-08-16,Shivamogga,1.0,3721,6,2147,1505,2,69,0
2020-08-17,Shivamogga,397.0,4118,64,2211,1834,4,73,0
2020-08-18,Shivamogga,318.0,4436,45,2256,2104,3,76,0
2020-08-19,Shivamogga,915.0,5351,570,2826,2447,2,78,0
2020-08-20,Shivamogga,188.0,5539,13,2839,2618,4,82,0
