Date,District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
2020-07-01,Tumakuru,19,113,10,49,59,0,5,0
2020-07-02,Tumakuru,26,139,0,49,84,1,6,0
2020-07-03,Tumakuru,57,196,0,49,141,0,6,0
2020-07-04,Tumakuru,12,208,11,60,142,0,6,0
2020-07-05,Tumakuru,13,221,1,61,153,1,7,0
2020-07-06,Tumakuru,31,252,0,61,183,1,8,0
2020-07-07,Tumakuru,16,268,6,67,193,0,8,0
2020-07-08,Tumakuru,24,292,1,68,214,2,10,0
2020-07-10,Tumakuru,10,329,0,85,233,1,11,0
2020-07-11,Tumakuru,78,407,0,85,309,2,13,0
2020-07-12,Tumakuru,26,433,0,85,334,1,14,0
2020-07-13,Tumakuru,48,481,40,125,341,1,15,0
2020-07-14,Tumakuru,47,528,22,147,366,0,15,0
2020-07-15,Tumakuru,24,552,25,172,364,1,16,0
2020-07-16,Tumakuru,12,564,23,195,353,0,16,0
2020-07-17,Tumakuru,36,600,0,195,388,1,17,0
2020-07-19,Tumakuru,19,643,0,230,391,2,22,0
2020-07-20,Tumakuru,55,698,18,248,427,1,23,0
2020-07-21,Tumakuru,47,745,32,280,439,3,26,0
2020-07-22,Tumakuru,52,797,0,280,489,2,28,0
2020-07-23,Tumakuru,56,853,17,297,526,2,30,0
2020-07-24,Tumakuru,59,912,9,306,571,5,35,0
2020-07-25,Tumakuru,27,939,6,312,591,1,36,0
2020-07-26,Tumakuru,46,985,0,312,632,5,41,0
2020-07-27,Tumakuru,89,1074,15,327,706,0,41,0
2020-07-28,Tumakuru,207,1281,57,384,855,1,42,0
2020-07-29,Tumakuru,128,1409,11,395,969,3,45,0
2020-07-30,Tumakuru,104,1513,60,455,1012,1,46,0
2020-07-31,Tumakuru,95,1608,9,464,1094,4,50,0
2020-08-01,Tumakuru,99,1707,225,689,966,2,52,0
2020-08-02,Tumakuru,35,1742,150,839,851,0,52,0
2020-08-03,Tumakuru,122,1864,20,859,950,3,55,0
2020-08-04,Tumakuru,78,1942,59,918,968,1,56,0
2020-08-05,Tumukuru,31,1973,9,927,986,4,60,0
2020-08-06,Tumakuru,160,2133,13,940,1128,5,65,0
2020-08-07,Tumakuru,76,2209,31,971,1173,0,65,0
2020-08-08,Tumakuru,177,2386,57,1028,1291,2,67,0
2020-08-09,Tumakuru,78,2464,23,1051,1342,4,71,0
2020-08-10,Tumakuru,98,2562,148,1199,1287,5,76,0
2020-08-11,Tumakuru,89,2651,56,1255,1319,1,77,0
2020-08-12,Tumakuru,121,2772,23,1278,1411,6,83,0
2020-08-13,Tumakuru,85,2857,29,1307,1464,3,86,0
2020-08-14,Tumakuru,185,3042,273,1580,1374,2,88,0
2020-08-15,Tumakuru,161,3203,208,1788,1325,2,90,0
2020-08-16,Tumakuru,169,3372,91,1879,1398,5,95,0
2020-08-17,Tumakuru,130,3502,212,2091,1314,2,97,0
2020-08-18,Tumakuru,46,3548,159,2250,1197,4,101,0
2020-08-19,Tumakuru,94,3642,42,2292,1244,5,106,0
2020-08-20,Tumakuru,138,3780,77,2369,1304,1,107,0
2020-08-21,Tumakuru,136,3916,264,2633,1173,3,110,0
2020-08-22,Tumakuru,103,4019,79,2712,1191,6,116,0
2020-08-23,Tumakuru,112,4131,55,2767,1243,5,121,0
2020-08-24,Tumakuru,85,4216,57,2824,1267,4,125,0
2020-08-25,Tumakuru,223,4439,167,2991,1319,4,129,0
2020-08-26,Tumakuru,88,4527,70,3061,1334,3,132,0
2020-08-27,Tumakuru,127,4654,126,3187,1332,3,135,0
2020-08-28,Tumakuru,250,4904,36,3223,1542,4,139,0
2020-08-29,Tumakuru,138,5042,143,3366,1532,5,144,0
2020-08-30,Tumakuru,314,5356,193,3559,1651,2,146,0
2020-08-31,Tumakuru,316,5672,156,3715,1808,3,149,0
2020-09-01,Tumakuru,327,5999,233,3948,1899,3,152,0
2020-09-02,Tumakuru,357,6356,168,4116,2085,3,155,0
2020-09-03,Tumakuru,132,6488,530,4646,1684,3,158,0
2020-09-04,Tumakuru,424,6912,142,4788,1962,4,162,0
2020-09-06,Tumakuru,304,7408,117,5018,2223,3,167,0
2020-09-07,Tumakuru,25,7433,74,5093,2171,2,169,0
2020-09-08,Tumakuru,153,7586,207,5300,2111,6,175,0
2020-09-09,Tumakuru,242,7828,85,5385,2263,5,180,0
2020-09-10,Tumakuru,365,8193,279,5664,2347,2,182,0
