Date,District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
2020-07-01,Udupi,22,1228,2,1058,168,0,2,0
2020-07-02,Udupi,14,1242,21,1079,160,1,3,0
2020-07-03,Udupi,16,1258,14,1093,162,0,3,0
2020-07-04,Udupi,18,1276,10,1103,170,0,3,0
2020-07-05,Udupi,45,1321,22,1125,193,0,3,0
2020-07-06,Udupi,40,1361,18,1143,215,0,3,0
2020-07-07,Udupi,28,1389,28,1171,215,0,3,0
2020-07-08,Udupi,31,1420,7,1178,239,0,3,0
2020-07-10,Udupi,34,1476,7,1213,260,0,3,0
2020-07-11,Udupi,90,1566,21,1234,329,0,3,0
2020-07-12,Udupi,43,1609,28,1262,344,0,3,0
2020-07-13,Udupi,53,1662,7,1269,390,0,3,0
2020-07-14,Udupi,73,1735,80,1349,383,0,3,0
2020-07-15,Udupi,52,1787,22,1371,413,0,3,0
2020-07-16,Udupi,113,1900,80,1451,446,0,3,0
2020-07-17,Udupi,80,1980,81,1532,442,3,6,0
2020-07-19,Udupi,134,2223,42,1617,597,1,9,0
2020-07-20,Udupi,98,2321,0,1617,694,1,10,0
2020-07-21,Udupi,84,2405,114,1731,664,0,10,0
2020-07-22,Udupi,281,2686,34,1765,910,1,11,0
2020-07-23,Udupi,160,2846,65,1830,1005,0,11,0
2020-07-24,Udupi,190,3036,88,1918,1104,3,14,0
2020-07-25,Udupi,182,3218,79,1997,1207,0,14,0
2020-07-26,Udupi,169,3387,125,2122,1251,0,14,0
2020-07-27,Udupi,225,3612,51,2173,1425,0,14,0
2020-07-28,Udupi,109,3721,55,2228,1472,7,21,0
2020-07-29,Udupi,173,3894,83,2311,1558,4,25,0
2020-07-30,Udupi,248,4142,61,2372,1741,4,29,0
2020-07-31,Udupi,213,4355,54,2428,1898,0,29,0
2020-08-01,Udupi,136,4491,100,2528,1928,6,35,0
2020-08-02,Udupi,182,4673,78,2606,2032,0,35,0
2020-08-03,Udupi,126,4799,122,2728,2035,1,36,0
2020-08-04,Udupi,170,4969,161,2889,2038,6,42,0
2020-08-05,Udupi,173,5142,89,2978,2120,2,44,0
2020-08-06,Udupi,217,5359,80,3058,2251,6,50,0
2020-08-07,Udupi,246,5605,103,3161,2389,5,55,0
2020-08-08,Udupi,313,5918,99,3260,2598,5,60,0
2020-08-09,Udupi,282,6200,85,3345,2795,0,60,0
2020-08-10,Udupi,90,6290,117,3462,2762,6,66,0
2020-08-11,Udupi,219,6509,161,3623,2820,0,66,0
2020-08-12,Udupi,263,6772,225,3848,2855,3,69,0
2020-08-13,Udupi,402,7174,290,4138,2966,1,70,0
2020-08-14,Udupi,322,7496,614,4752,2667,7,77,0
2020-08-15,Udupi,241,7737,229,4981,2677,2,79,0
2020-08-16,Udupi,237,7974,259,5240,2655,0,79,0
2020-08-17,Udupi,268,8242,269,5509,2653,1,80,0
2020-08-18,Udupi,421,8663,321,5830,2753,0,80,0
2020-08-19,Udupi,375,9038,181,6011,2947,0,80,0
