Date,District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
2020-07-01,Uttara Kannada,23,276,0,143,133,0,0,0
2020-07-02,Uttara Kannada,17,293,0,143,149,1,1,0
2020-07-03,Uttara Kannada,5,298,8,151,146,0,1,0
2020-07-04,Uttara Kannada,35,333,8,159,173,0,1,0
2020-07-05,Uttara Kannada,21,354,0,159,194,0,1,0
2020-07-06,Uttara Kannada,81,435,6,165,269,0,1,0
2020-07-07,Uttara Kannada,35,470,5,170,299,0,1,0
2020-07-08,Uttara Kannada,19,489,2,172,316,0,1,0
2020-07-10,Uttara Kannada,33,545,10,220,322,2,3,0
2020-07-11,Uttara Kannada,40,585,7,227,354,1,4,0
2020-07-12,Uttara Kannada,12,597,0,227,366,0,4,0
2020-07-13,Uttara Kannada,37,634,27,254,375,1,5,0
2020-07-14,Uttara Kannada,64,698,7,261,432,0,5,0
2020-07-15,Uttara Kannada,48,746,47,308,430,3,8,0
2020-07-16,Uttara Kannada,79,825,7,315,502,0,8,0
2020-07-17,Uttara Kannada,75,900,6,321,569,2,10,0
2020-07-19,Uttara Kannada,69,1085,98,443,632,0,10,0
2020-07-20,Uttara Kannada,78,1163,40,483,670,0,10,0
2020-07-21,Uttara Kannada,109,1272,35,518,744,0,10,0
2020-07-22,Uttara Kannada,63,1335,96,614,708,3,13,0
2020-07-23,Uttara Kannada,83,1418,84,698,707,0,13,0
2020-07-24,Uttara Kannada,88,1506,53,751,741,1,14,0
2020-07-25,Uttara Kannada,155,1661,55,806,841,0,14,0
2020-07-26,Uttara Kannada,85,1746,91,897,833,2,16,0
2020-07-27,Uttara Kannada,32,1778,89,986,775,1,17,0
2020-07-28,Uttara Kannada,47,1825,85,1071,736,1,18,0
2020-07-29,Uttara Kannada,75,1900,106,1177,703,2,20,0
2020-07-30,Uttara Kannada,120,2020,50,1227,771,2,22,0
2020-07-31,Uttara Kannada,92,2112,82,1309,780,1,23,0
2020-08-01,Uttara Kannada,51,2163,65,1374,765,1,24,0
2020-08-02,Uttara Kannada,26,2189,71,1445,720,0,24,0
2020-08-03,Uttara Kannada,31,2220,64,1509,686,1,25,0
2020-08-04,Uttara Kannada,57,2277,0,1509,743,0,25,0
2020-08-05,Uttara Kannada,125,2402,78,1587,790,0,25,0
2020-08-06,Uttara Kannada,77,2479,72,1659,794,1,26,0
2020-08-07,Uttara Kannada,120,2599,78,1737,836,0,26,0
2020-08-08,Uttara Kannada,117,2716,69,1806,884,0,26,0
2020-08-09,Uttara Kannada,59,2775,35,1841,908,0,26,0
2020-08-10,Uttara Kannada,53,2828,40,1881,921,0,26,0
2020-08-11,Uttara Kannada,73,2901,69,1950,925,0,26,0
2020-08-12,Uttara Kannada,84,2985,74,2024,935,0,26,0
2020-08-13,Uttara Kannada,64,3049,43,2067,954,2,28,0
2020-08-14,Uttara Kannada,87,3136,117,2184,923,1,29,0
2020-08-15,Uttara Kannada,75,3211,42,2226,955,1,30,0
2020-08-16,Uttara Kannada,61,3272,110,2336,904,2,32,0
2020-08-17,Uttara Kannada,89,3361,39,2375,953,1,33,0
2020-08-18,Uttara Kannada,80,3441,113,2488,919,1,34,0
2020-08-19,Uttara Kannada,119,3560,130,2618,907,1,35,0
2020-08-20,Uttara Kannada,115,3675,116,2734,903,3,38,0
2020-08-21,Uttara Kannada,91,3766,127,2861,867,0,38,0
2020-08-22,Uttara Kannada,64,3830,70,2931,860,1,39,0
2020-08-23,Uttara Kannada,108,3938,63,2994,904,1,40,0
2020-08-24,Uttara Kannada,91,4029,50,3044,944,1,41,0
2020-08-25,Uttara Kannada,141,4170,107,3151,975,3,44,0
2020-08-26,Uttara Kannada,129,4299,38,3189,1065,1,45,0
2020-08-27,Uttara Kannada,164,4463,111,3300,1115,3,48,0
2020-08-28,Uttara Kannada,147,4610,88,3388,1171,3,51,0
2020-08-29,Uttara Kannada,130,4740,50,3438,1250,1,52,0
2020-08-30,Uttara Kannada,113,4853,180,3618,1183,0,52,0
2020-08-31,Uttara Kannada,86,4939,78,3696,1190,1,53,0
2020-09-01,Uttara Kannada,114,5053,68,3764,1235,1,54,0
2020-09-02,Uttara Kannada,126,5179,130,3894,1231,0,54,0
2020-09-03,Uttara Kannada,182,5361,43,3937,1369,1,55,0
2020-09-04,Uttara Kannada,178,5539,135,4072,1411,1,56,0
2020-09-06,Uttara Kannada,247,5993,97,4248,1688,1,57,0
2020-09-07,Uttara Kannada,77,6070,67,4314,1696,3,60,0
2020-09-08,Uttara Kannada,24,6094,72,4386,1644,4,64,0
2020-09-09,Uttara Kannada,260,6354,82,4468,1820,2,66,0
2020-09-10,Uttara Kannada,214,6568,116,4584,1910,8,74,0
2020-09-11,Uttara Kannada,114,6682,182,4766,1838,4,78,0
2020-09-12,Uttara Kannada,130,6812,86,4852,1880,2,80,0
2020-09-13,Uttara Kannada,141,6953,36,4888,1984,1,81,0
2020-09-14,Uttara Kannada,191,7144,99,4987,2074,2,83,0
2020-09-15,Uttara Kannada,195,7339,162,5149,2105,2,85,0
2020-09-16,Uttara Kannada,294,7633,136,5285,2261,4,87,0
2020-09-17,Uttara Kannada,127,7760,51,5336,2333,4,91,0
2020-09-18,Uttara Kannada,181,7941,105,5441,2406,3,94,0
2020-09-19,Uttara Kannada,129,8070,407,5848,2122,6,100,0
2020-09-20,Uttara Kannada,108,8178,140,5988,2088,2,102,0
2020-09-21,Uttara Kannada,184,8362,21,6009,2251,0,102,0
2020-09-22,Uttara Kannada,155,8517,456,6465,1943,7,109,0
2020-09-23,Uttara Kannada,115,8632,0,6465,2058,0,109,0
2020-09-24,Uttara Kannada,109,8741,38,6503,2129,0,109,0
2020-09-25,Uttara Kannada,92,8833,63,6566,2158,0,109,0
2020-09-26,Uttara Kannada,104,8937,51,6617,2211,0,109,0
2020-09-27,Uttara Kannada,100,9037,47,6664,2264,0,109,0
2020-09-28,Uttara Kannada,176,9213,43,6707,2395,2,111,0
2020-09-29,Uttara Kannada,125,9338,54,6761,2466,0,111,0
2020-09-30,Uttara Kannada,146,9484,142,6903,2470,0,111,0
2020-10-01,Uttara Kannada,87,9571,34,6937,2523,0,111,0
2020-10-02,Uttara Kannada,80,9651,18,6955,2585,0,111,0
2020-10-03,Uttara Kannada,92,9743,32,6987,2641,4,115,0
2020-10-04,Uttara Kannada,84,9827,42,7029,2683,0,115,0
2020-10-05,Uttara Kannada,64,9891,40,7069,2707,0,115,0
2020-10-06,Uttara Kannada,150,10041,286,7355,2571,0,115,0
2020-10-07,Uttara Kannada,462,10503,818,8173,2208,7,122,0
2020-10-08,Uttara Kannada,213,10716,335,8508,2084,2,124,0
2020-10-09,Uttara Kannada,196,10912,296,8804,1981,3,127,0
2020-10-10,Uttara Kannada,89,11001,234,9038,1834,2,129,0
2020-10-11,Uttara Kannada,115,11116,597,9635,1350,2,131,0
2020-10-12,Uttara Kannada,151,11267,162,9797,1336,3,134,0
2020-10-13,Uttara Kannada,115,11382,226,10023,1224,1,135,0
2020-10-14,Uttara Kannada,192,11574,99,10122,1314,3,138,0
