Date,District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
2020-07-01,Vijayapura,28,427,3,308,110,0,9,0
2020-07-02,Vijayapura,39,466,14,322,135,0,9,0
2020-07-03,Vijayapura,4,470,28,350,109,2,11,0
2020-07-04,Vijayapura,37,507,24,374,122,0,11,0
2020-07-05,Vijayapura,51,558,30,404,143,0,11,0
2020-07-06,Vijayapura,36,594,20,424,159,0,11,0
2020-07-07,Vijayapura,22,616,18,442,163,0,11,0
2020-07-08,Vijayapura,4,620,2,444,163,2,13,0
2020-07-10,Vijayapura,89,710,13,463,234,0,13,0
2020-07-11,Vijayapura,48,758,17,480,263,2,15,0
2020-07-12,Vijayapura,0,758,10,490,252,1,16,0
2020-07-13,Vijayapura,86,844,84,574,254,0,16,0
2020-07-14,Vijayapura,52,896,80,654,223,3,19,0
2020-07-15,Vijayapura,80,976,0,654,303,0,19,0
2020-07-16,Vijayapura,144,1120,65,719,382,0,19,0
2020-07-17,Vijayapura,118,1238,84,803,415,1,20,0
2020-07-19,Vijayapura,171,1585,127,1033,531,1,21,0
2020-07-20,Vijayapura,160,1745,58,1091,632,1,22,0
2020-07-21,Vijayapura,13,1758,102,1193,542,1,23,0
2020-07-22,Vijayapura,52,1810,52,1245,542,0,23,0
2020-07-23,Vijayapura,20,1830,57,1302,504,1,24,0
2020-07-24,Vijayapura,158,1988,85,1387,577,0,24,0
2020-07-25,Vijayapura,175,2163,194,1581,558,0,24,0
2020-07-26,Vijayapura,132,2295,143,1724,546,1,25,0
2020-07-27,Vijayapura,110,2405,20,1744,634,2,27,0
2020-07-28,Vijayapura,153,2558,201,1945,585,1,28,0
2020-07-29,Vijayapura,90,2648,39,1984,635,1,29,0
2020-07-30,Vijayapura,124,2772,30,2014,729,0,29,0
2020-07-31,Vijayapura,118,2890,49,2061,795,5,34,0
2020-08-01,Vijayapura,129,3019,55,2116,868,1,35,0
2020-08-02,Vijayapura,113,3132,68,2184,912,1,36,0
2020-08-03,Vijayapura,92,3224,9,2193,993,2,38,0
2020-08-04,Vijayapura,71,3295,78,2271,985,1,39,0
2020-08-05,Vijayapura,66,3361,63,2334,988,0,39,0
2020-08-06,Vijayapura,58,3419,62,2396,983,1,40,0
2020-08-07,Vijayapura,143,3562,128,2524,998,0,40,0
2020-08-08,Vijayapura,143,3705,167,2691,973,1,41,0
2020-08-09,Vijayapura,129,3834,110,2801,992,0,41,0
2020-08-10,Vijayapura,139,3973,101,2902,1030,0,41,0
2020-08-11,Vijayapura,121,4094,197,3099,952,2,43,0
2020-08-12,Vijayapura,121,4215,90,3189,981,2,45,0
2020-08-13,Vijayapura,121,4336,149,3338,951,2,47,0
2020-08-14,Vijayapura,144,4480,122,3460,971,2,49,0
2020-08-15,Vijayapura,232,4712,135,3595,1066,2,51,0
2020-08-16,Vijayapura,158,4870,185,3780,1036,3,54,0
2020-08-17,Vijayapura,106,4976,163,3943,976,3,57,0
2020-08-18,Vijayapura,64,5040,220,4163,817,3,60,0
2020-08-19,Vijayapura,107,5147,19,4182,903,2,62,0
2020-08-20,Vijayapura,112,5259,150,4332,861,4,66,0
2020-08-21,Vijayapura,124,5383,186,4518,795,4,70,0
2020-08-22,Vijayapura,151,5534,130,4648,813,3,73,0
2020-08-23,Vijayapura,134,5668,155,4803,788,4,77,0
2020-08-24,Vijayapura,138,5806,90,4893,832,4,81,0
2020-08-25,Vijayapura,135,5941,108,5001,855,4,85,0
2020-08-26,Vijayapura,131,6072,102,5103,881,3,88,0
2020-08-27,Vijayapura,121,6193,176,5279,823,3,91,0
2020-08-28,Vijayapura,139,6332,152,5431,806,4,95,0
2020-08-29,Vijayapura,130,6462,86,5517,846,4,99,0
2020-08-30,Vijayapura,127,6589,196,5713,773,4,103,0
2020-08-31,Vijayapura,84,6673,112,5825,742,3,106,0
2020-09-01,Vijayapura,67,6740,112,5937,693,4,110,0
2020-09-02,Vijayapura,122,6862,79,6016,733,3,113,0
2020-09-03,Vijayapura,131,6993,173,6189,689,2,115,0
2020-09-04,Vijayapura,85,7078,123,6312,649,2,117,0
2020-09-06,Vijayapura,96,7277,125,6512,644,2,121,0
2020-09-07,Vijayapura,112,7389,119,6637,629,2,123,0
2020-09-08,Vijayapura,61,7450,73,6710,615,2,125,0
2020-09-09,Vijayapura,57,7507,21,6731,649,2,127,0
2020-09-10,Vijayapura,63,7570,55,6786,654,3,130,0
2020-09-11,Vijayapura,92,7662,96,6882,648,2,132,0
2020-09-12,Vijayapura,58,7720,73,6955,632,1,133,0
2020-09-13,Vijayapura,30,7750,84,7039,577,1,134,0
2020-09-14,Vijayapura,176,7926,68,7107,683,2,136,0
2020-09-15,Vijayapura,131,8057,87,7194,725,2,138,0
2020-09-16,Vijayapura,115,8172,65,7259,773,2,140,0
2020-09-17,Vijayapura,107,8279,74,7333,804,2,142,0
2020-09-18,Vijayapura,86,8365,77,7410,812,1,143,0
2020-09-19,Vijayapura,87,8452,84,7494,813,2,145,0
2020-09-20,Vijayapura,81,8533,102,7596,791,1,146,0
2020-09-21,Vijayapura,102,8635,90,7686,801,2,148,0
2020-09-22,Vijayapura,80,8715,75,7761,804,2,150,0
2020-09-23,Vijayapura,82,8797,119,7880,765,2,152,0
2020-09-24,Vijayapura,79,8876,138,8018,704,2,154,0
2020-09-25,Vijayapura,183,9059,192,8210,693,2,156,0
2020-09-26,Vijayapura,67,9126,109,8319,649,2,158,0
2020-09-27,Vijayapura,35,9161,93,8412,588,3,161,0
2020-09-28,Vijayapura,117,9278,62,8474,642,1,162,0
2020-09-29,Vijayapura,138,9416,81,8555,698,1,163,0
2020-09-30,Vijayapura,80,9496,79,8634,698,1,164,0
2020-10-01,Vijayapura,257,9753,73,8707,881,1,165,0
2020-10-02,Vijayapura,146,9899,61,8768,965,1,166,0
2020-10-03,Vijayapura,97,9996,131,8899,930,1,167,0
2020-10-04,Vijayapura,152,10148,43,8942,1038,1,168,0
2020-10-05,Vijayapura,136,10284,79,9021,1094,1,169,0
2020-10-06,Vijayapura,80,10364,57,9078,1116,1,170,0
2020-10-07,Vijayapura,73,10437,89,9167,1099,1,171,0
2020-10-08,Vijayapura,110,10547,113,9280,1095,1,172,0
2020-10-09,Vijayapura,92,10639,156,9436,1030,1,173,0
2020-10-10,Vijayapura,130,10769,236,9672,923,1,174,0
2020-10-11,Vijayapura,165,10934,140,9812,947,1,175,0
2020-10-12,Vijayapura,91,11025,89,9901,948,1,176,0
2020-10-13,Vijayapura,87,11112,132,10033,902,1,177,0
2020-10-14,Vijayapura,128,11240,135,10168,893,2,179,0
2020-10-15,Vijayapura,160,11400,216,10384,835,2,181,0
2020-10-16,Vijayapura,73,11473,136,10520,770,2,183,0
2020-10-17,Vijayapura,69,11542,177,10697,661,1,184,0
2020-10-18,Vijayapura,95,11637,128,10825,627,1,185,0
2020-10-19,Vijayapura,44,11681,172,10997,498,1,186,0
2020-10-20,Vijayapura,80,11761,89,11086,488,1,187,0
2020-10-21,Vijayapura,38,11799,75,11161,450,1,188,0
2020-10-22,Vijayapura,83,11882,93,11254,439,1,189,0
2020-10-24,Vijayapura,62,12036,81,11407,438,1,191,0
2020-10-25,Vijayapura,49,12085,98,11505,389,0,191,0
2020-10-26,Vijayapura,63,12148,59,11564,393,0,191,0
2020-10-27,Vijayapura,128,12276,63,11627,457,1,192,0
2020-10-28,Vijayapura,37,12313,39,11666,454,1,193,0
2020-10-29,Vijayapura,71,12384,52,11718,472,1,194,0
2020-10-30,Vijayapura,75,12459,72,11790,475,0,194,0
2020-10-31,Vijayapura,122,12581,69,11859,527,1,195,0
2020-12-01,Vijayapura,12,13792,22,13472,119,0,201,0
2020-12-02,Vijayapura,22,13814,22,13494,118,1,202,0
2020-12-03,Vijayapura,12,13826,24,13518,106,0,202,0
2020-12-04,Vijayapura,12,13838,11,13529,107,0,202,0
2020-12-05,Vijayapura,9,13847,26,13555,90,0,202,0
2020-12-06,Vijayapura,13,13860,11,13566,92,0,202,0
2020-12-07,Vijayapura,14,13874,15,13581,91,0,202,0
2020-12-08,Vijayapura,6,13880,10,13591,87,0,202,0
2020-12-09,Vijayapura,10,13890,12,13603,85,0,202,0
2020-12-10,Vijayapura,16,13906,16,13619,85,0,202,0
2020-12-11,Vijayapura,14,13920,9,13628,89,1,203,0
2020-12-12,Vijayapura,18,13938,13,13641,94,0,203,0
2020-12-13,Vijayapura,11,13949,16,13657,89,0,203,0
2020-12-14,Vijayapura,15,13964,19,13676,85,0,203,0
2020-12-15,Vijayapura,17,13981,8,13684,94,0,203,0
2020-12-16,Vijayapura,6,13987,7,13691,93,0,203,0
2020-12-17,Vijayapura,14,14001,7,13698,100,0,203,0
2020-12-18,Vijayapura,25,14026,13,13711,112,0,203,0
2020-12-19,Vijayapura,10,14036,12,13723,110,0,203,0
2020-12-20,Vijayapura,23,14059,11,13734,121,1,204,0
2020-12-21,Vijayapura,15,14074,22,13756,114,0,204,0
2020-12-22,Vijayapura,8,14082,12,13768,110,0,204,0
2020-12-23,Vijayapura,17,14099,12,13780,115,0,204,0
2020-12-24,Vijayapura,21,14120,19,13799,117,0,204,0
2020-12-25,Vijayapura,12,14132,11,13810,118,0,204,0
2020-12-26,Vijayapura,12,14144,19,13829,111,0,204,0
2020-12-27,Vijayapura,5,14149,25,13854,91,0,204,0
2020-12-28,Vijayapura,9,14158,14,13868,86,0,204,0
2020-12-29,Vijayapura,5,14163,17,13885,74,0,204,0
2020-12-30,Vijayapura,19,14182,9,13894,84,0,204,0
2020-12-31,Vijayapura,7,14189,18,13912,72,1,205,0
2021-01-01,Vijayapura,19,14208,12,13924,79,0,205,0
2021-01-02,Vijayapura,25,14233,8,13932,96,0,205,0
2021-01-03,Vijayapura,8,14241,10,13942,94,0,205,0
2021-01-04,Vijayapura,11,14252,13,13955,91,1,206,0
2021-01-05,Vijayapura,9,14261,22,13977,78,0,206,0
2021-01-06,Vijayapura,7,14268,12,13989,73,0,206,0
2021-01-07,Vijayapura,15,14283,13,14002,75,0,206,0
2021-01-08,Vijayapura,6,14289,19,14021,62,0,206,0
2021-01-09,Vijayapura,15,14304,11,14032,66,0,206,0
2021-01-10,Vijayapura,6,14310,9,14041,63,0,206,0
2021-01-11,Vijayapura,5,14315,5,14046,63,0,206,0
2021-01-12,Vijayapura,9,14324,7,14053,65,0,206,0
2021-01-13,Vijayapura,3,14327,4,14057,64,0,206,0
2021-01-14,Vijayapura,4,14331,12,14069,56,0,206,0
2021-01-15,Vijayapura,7,14338,9,14078,54,0,206,0
2021-01-16,Vijayapura,15,14353,7,14085,62,0,206,0
2021-01-17,Vijayapura,11,14364,5,14090,68,0,206,0
2021-01-18,Vijayapura,2,14366,3,14093,67,0,206,0
2021-01-19,Vijayapura,2,14368,6,14099,63,0,206,0
2021-01-20,Vijayapura,12,14380,14,14113,61,0,206,0
2021-01-21,Vijayapura,2,14382,18,14131,45,0,206,0
2021-01-22,Vijayapura,3,14385,6,14137,42,0,206,0
2021-01-23,Vijayapura,7,14392,10,14147,39,0,206,0
2021-01-24,Vijayapura,2,14394,6,14153,35,0,206,0
2021-01-25,Vijayapura,5,14399,9,14162,31,0,206,0
2021-01-26,Vijayapura,2,14401,11,14173,22,0,206,0
2021-01-27,Vijayapura,2,14403,3,14176,21,0,206,0
2021-01-28,Vijayapura,2,14405,2,14178,21,0,206,0
2021-01-29,Vijayapura,1,14406,3,14181,19,0,206,0
2021-01-30,Vijayapura,3,14409,5,14186,17,0,206,0
2021-01-31,Vijayapura,4,14413,6,14192,15,0,206,0
2021-02-01,Vijayapura,4,14417,4,14196,15,0,206,0
2021-02-02,Vijayapura,4,14421,2,14198,17,0,206,0
2021-02-03,Vijayapura,0,14421,1,14199,16,0,206,0
2021-02-04,Vijayapura,4,14425,2,14201,18,0,206,0
2021-02-05,Vijayapura,2,14427,1,14202,19,0,206,0
2021-02-06,Vijayapura,0,14427,3,14205,16,0,206,0
2021-02-07,Vijayapura,7,14434,2,14207,21,0,206,0
2021-02-08,Vijayapura,5,14439,6,14213,20,0,206,0
2021-02-09,Vijayapura,6,14445,3,14216,23,0,206,0
2021-02-10,Vijayapura,4,14449,4,14220,23,0,206,0
2021-02-11,Vijayapura,5,14454,2,14222,26,0,206,0
2021-02-12,Vijayapura,1,14455,4,14226,23,0,206,0
2021-02-13,Vijayapura,3,14458,2,14228,24,0,206,0
2021-02-14,Vijayapura,6,14464,6,14234,24,0,206,0
2021-02-15,Vijayapura,0,14464,4,14238,20,0,206,0
2021-02-16,Vijayapura,5,14469,2,14240,23,0,206,0
2021-02-17,Vijayapura,6,14475,2,14242,27,0,206,0
2021-02-18,Vijayapura,3,14478,10,14252,20,0,206,0
2021-02-19,Vijayapura,9,14487,2,14254,27,0,206,0
2021-02-20,Vijayapura,6,14493,1,14255,32,0,206,0
2021-02-21,Vijayapura,10,14503,2,14257,40,0,206,0
2021-02-22,Vijayapura,5,14508,5,14262,40,0,206,0
2021-02-23,Vijayapura,1,14509,3,14265,38,0,206,0
2021-02-24,Vijayapura,8,14517,1,14266,45,0,206,0
