Date,District Name,Today’s Positives,Total Positives,Today’s Discharges,Total Discharges,Total Active Cases,Today’s Reported Covid Deaths,Total Covid Deaths,Death due to Non- Covid reasons
2020-07-01,Yadagiri,8,949,14,838,110,0,1,0
2020-07-02,Yadagiri,7,956,0,838,117,0,1,0
2020-07-03,Yadagiri,14,970,17,855,114,0,1,0
2020-07-04,Yadagiri,1,971,0,855,115,0,1,0
2020-07-05,Yadagiri,0,971,12,867,103,0,1,0
2020-07-06,Yadagiri,35,1006,2,869,136,0,1,0
2020-07-07,Yadagiri,10,1016,0,869,146,0,1,0
2020-07-08,Yadagiri,11,1027,3,872,154,0,1,0
2020-07-10,Yadagiri,51,1094,5,877,216,0,1,0
2020-07-11,Yadagiri,74,1168,6,883,284,0,1,0
2020-07-12,Yadagiri,120,1288,11,894,393,0,1,0
2020-07-13,Yadagiri,162,1450,0,894,555,0,1,0
2020-07-14,Yadagiri,2,1452,0,894,557,0,1,0
2020-07-15,Yadagiri,49,1501,144,1038,462,0,1,0
2020-07-16,Yadagiri,34,1535,45,1083,451,0,1,0
2020-07-17,Yadagiri,4,1539,60,1143,395,0,1,0
2020-07-19,Yadagiri,10,1553,83,1363,189,0,1,0
2020-07-20,Yadagiri,43,1596,73,1436,159,0,1,0
2020-07-21,Yadagiri,117,1713,44,1480,232,0,1,0
2020-07-22,Yadagiri,43,1756,27,1507,248,0,1,0
2020-07-23,Yadagiri,55,1811,0,1507,303,0,1,0
2020-07-24,Yadagiri,53,1864,0,1507,356,0,1,0
2020-07-25,Yadagiri,68,1932,21,1528,402,1,2,0
2020-07-26,Yadagiri,56,1988,46,1574,412,0,2,0
2020-07-27,Yadagiri,64,2052,5,1579,471,0,2,0
2020-07-28,Yadagiri,67,2119,12,1591,526,0,2,0
2020-07-29,Yadagiri,114,2233,28,1619,612,0,2,0
2020-07-30,Yadagiri,58,2291,23,1642,646,1,3,0
2020-07-31,Yadagiri,56,2347,237,1879,464,1,4,0
2020-08-01,Yadagiri,39,2386,15,1894,485,3,7,0
2020-08-02,Yadagiri,39,2425,9,1903,515,0,7,0
2020-08-03,Yadagiri,86,2511,12,1915,588,1,8,0
2020-08-04,Yadagiri,76,2587,13,1928,649,2,10,0
2020-08-05,Yadagiri,76,2663,39,1967,684,2,12,0
2020-08-06,Yadagiri,37,2700,25,1992,695,1,13,0
2020-08-07,Yadagiri,70,2770,71,2063,693,1,14,0
2020-08-08,Yadagiri,200,2970,25,2088,866,2,16,0
2020-08-09,Yadagiri,91,3061,31,2119,925,1,17,0
2020-08-10,Yadagiri,68,3129,15,2134,978,0,17,0
2020-08-11,Yadagiri,102,3231,82,2216,998,0,17,0
2020-08-12,Yadagiri,107,3338,25,2241,1078,2,19,0
2020-08-13,Yadagiri,83,3421,47,2288,1114,0,19,0
2020-08-14,Yadagiri,116,3537,43,2331,1187,0,19,0
2020-08-15,Yadagiri,64,3601,149,2480,1101,1,20,0
2020-08-16,Yadagiri,236,3837,38,2518,1296,3,23,0
2020-08-17,Yadagiri,69,3906,135,2653,1230,0,23,0
2020-08-18,Yadagiri,107,4013,79,2732,1255,3,26,0
2020-08-19,Yadagiri,41,4054,65,2797,1231,0,26,0
2020-08-20,Yadagiri,68,4122,54,2851,1241,4,30,0
2020-08-21,Yadagiri,255,4377,31,2882,1465,0,30,0
2020-08-22,Yadagiri,123,4500,34,2916,1553,1,31,0
2020-08-23,Yadagiri,73,4573,238,3154,1387,1,32,0
2020-08-24,Yadagiri,122,4695,30,3184,1478,1,33,0
2020-08-25,Yadagiri,132,4827,18,3202,1592,0,33,0
2020-08-26,Yadagiri,102,4929,78,3280,1614,2,35,0
2020-08-27,Yadagiri,112,5041,131,3411,1595,0,35,0
2020-08-28,Yadagiri,66,5107,27,3438,1631,3,38,0
2020-08-29,Yadagiri,98,5205,65,3503,1663,1,39,0
2020-08-30,Yadagiri,67,5272,334,3837,1395,1,40,0
2020-08-31,Yadagiri,122,5394,318,4155,1199,0,40,0
2020-09-01,Yadagiri,142,5536,99,4254,1241,1,41,0
2020-09-02,Yadagiri,106,5642,13,4267,1334,0,41,0
2020-09-03,Yadagiri,112,5754,36,4303,1410,0,41,0
2020-09-04,Yadagiri,94,5848,0,4303,1504,0,41,0
2020-09-06,Yadagiri,139,6125,30,4668,1414,2,43,0
2020-09-07,Yadagiri,137,6262,222,4892,1327,0,43,0
2020-09-08,Yadagiri,79,6341,149,5041,1255,2,45,0
2020-09-09,Yadagiri,95,6436,72,5113,1278,0,45,0
2020-09-10,Yadagiri,103,6539,162,5275,1218,1,46,0
2020-09-11,Yadagiri,98,6637,30,5305,1286,0,46,0
2020-09-12,Yadagiri,151,6788,22,5327,1415,0,46,0
2020-09-13,Yadagiri,235,7023,412,5739,1238,0,46,0
2020-09-14,Yadagiri,104,7127,69,5808,1273,0,46,0
2020-09-15,Yadagiri,76,7203,135,5943,1212,2,48,0
2020-09-16,Yadagiri,109,7312,188,6131,1132,1,49,0
2020-09-17,Yadagiri,50,7362,148,6279,1034,0,49,0
